patient,Q53GG5_N,Q53GG5_C,Q53GG5.2_N,Q53GG5.2_C
1,0,0,2.81725624355927,2.670452451469
2,0,0,3.69786711012185,3.11484557450856
3,0,0,3.59827151964193,3.02978867315978
4,0,0,3.05291633491144,3.19215841208596
5,0,0,1.77657960414599,2.34914496382194
6,0,0,1.58388626112638,2.25306527867589
7,0,0,2.39243363824936,1.70197450139125
8,0,0,2.62148325564607,2.42706596809123
9,0,0,3.53100973961856,3.75778813085125
10,0,0,3.66813845380201,3.59528468371886
11,0,0,3.79260646830115,3.94810725831467
12,0,0,3.74389693226941,3.59239875233589
13,0,0,3.65157303472775,4.76402019832484
14,0,0,4.96911069442713,6.91608483535081
15,0,0,5.67346792075043,4.95192141618339
16,0,0,4.26601524698637,3.35130124771675
17,0,0,2.08255315926167,2.4604802910585
18,0,0,1.82812103813013,1.32769654530312
19,0,0,1.54239474694331,1.91038761320262
20,0,0,1.60644392653393,1.87175508706907
21,0,0,1.15555735910607,1.09998094999769
22,0,0,1.32130365140074,1.25687180926552
23,0,0,1.06919659715107,1.18458325020093
24,0,0,1.1452996655541,1.33072720283969
33,0,0,2.99404733377749,3.02484745744931
34,0,0,2.68739394667603,2.87942093362985
35,0,0,3.05763147937777,2.44851564984605
36,0,0,2.48446988563388,3.19459372892953
37,0,0,0.973860483201075,0.893374100846574
38,0,0,1.03011611671763,1.23228645658437
39,0,0,1.80529977672128,1.01394461038158
40,0,0,1.27237058376487,1.020413212916
41,0,0,1.00507275557612,1.14503633271026
42,0,0,1.08629093815926,1.19497051911599
43,0,0,0.702552605797607,0.895846230594005
44,0,0,0.576631065218567,1.32285324470035
45,0,0,2.1204287174413,1.45789756334194
46,0,0,1.69129438948617,1.56899719292805
47,0,0,2.59205172033081,1.98961099680738
48,0,0,2.36915059810044,2.86673161803068
50,0,0,2.17294040075246,2.25176471829986
51,0,0,2.38276082377401,3.42348199653601
52,0,0,2.20818527046779,3.88334907115565
53,0,0,2.09511799617411,2.24523210140134
54,0,0,1.83674025033874,1.66286284013739
55,0,0,1.93687602531498,2.60046476672742
56,0,0,2.14239570269874,1.90534134046984
57,0,0,3.27816709102564,3.34890457295326
58,0,0,3.27345287527027,4.09096629753177
59,0,0,3.11455226669253,3.74939064457165
60,0,0,3.14965741707816,3.45130323151973
61,0,0,0.785060766403879,0.8579347047073
62,0,0,0.943358392168225,1.24122051266411
63,0,0,0.866657009103524,1.19546653654371
64,0,0,1.12712148706141,1.23784290702816
65,0,0,3.08748981681936,3.65001216217954
66,0,0,3.15652173610955,3.37661982431931
67,0,0,3.86517656224889,3.72653256142887
68,0,0,2.93431279396951,3.29591050398809
69,0,0,5.56678482158376,5.38508519377484
70,0,0,6.18229474879139,6.74910283337235
71,0,0,6.2870060090836,8.55672991777321
72,0,0,5.23312316843587,7.16127483328766
73,0,0,1.99179707473552,1.10587337530637
74,0,0,1.09983385890285,1.43927302002241
75,0,0,0.955545988757112,1.1002985566395
76,0,0,1.2251794681309,1.15178209250749
81,0,0,2.31652175711657,1.88870947761988
82,0,0,2.159846112142,2.4965940560749
83,0,0,2.0454708225584,2.86621641115993
84,0,0,2.30835567257066,2.33820381627734
85,0,0,3.6583200620988,4.75174097032701
86,0,0,3.58182399768845,5.11635161507745
87,0,0,2.48949022085507,4.30951614606437
88,0,0,3.01719525551318,5.60224449278238
89,0.599429096875763,1.62046196600927,1.88571121461622,2.17840703066111
90,0.732338004320141,2.04716856861133,1.64314465888631,2.26337672333315
91,0.989113961932118,0.939643364594031,1.86450239051034,2.19383926066335
92,1.45275917326475,1.36164999187895,2.23426688206449,2.79216264103282
93,1.13974987925068,0.857120617597867,3.15229883270637,2.71600318370516
94,0.947277452009628,1.66706317684487,3.0653242989808,3.30683145688741
95,0.638841764496904,1.54316439072486,3.40399342436472,2.59277354000393
96,0.904494269895696,1.18816936040779,3.20227783993522,2.82798214645535
97,0.986290870533248,0.694016744369759,2.34672203635547,1.36234740503564
98,1.02840571123603,1.23644545384013,2.23198314531341,1.87766428672281
99,1.20025532695251,1.25070708638092,2.51565780207208,2.26240430302214
100,1.21241509673506,1.81811598802832,2.56421040473959,2.11164816465021
