patient,Q9NZS2_N,Q9NZS2_C,Q9NZS2.4_N,Q9NZS2.4_C
1,0,0,0.321958426285697,2.8401022352889
2,0,0,0.366816375374887,0.429986555764031
3,0,0,0.761787344689527,1.21211458625733
4,0,0,0.42726963818754,0.806293675299541
5,0,0,0.625952932127857,3.70904936772812
6,0,0,0.47387589826342,1.55640679550887
7,0,0,0.50143646742122,0.757455680644261
8,0,0,0.837660330123589,1.17133927022931
9,0,0,0.885635258459347,1.63833910263842
10,0,0,0.572405883034931,2.14509664276132
11,0,0,0.495815459529291,2.25002070324793
12,0,0,0.574814084833629,1.72525133742982
21,0,0,0.820356412635899,0.984737028737844
22,0,0,0.725119395215138,1.8309190225059
23,0,0,1.24747817689354,1.29846917604098
24,0,0,0.691051206023706,2.04628309303396
25,0,0,0.815961364741853,2.70993550261843
26,0,0,0.853146853146853,1.61517931030126
27,0,0,0.562640160201136,1.45211337894265
28,0,0,0.700317749098237,0.890013329037719
41,0,0,0.632773806175876,0.930940102352092
42,0,0,0.464186619712003,0.745085254599485
43,0,0,0.430835314158587,0.422550777492571
44,0,0,0.358868215860096,4.12011055602228
45,0.701196942872072,0.81358221391422,0.584287020849017,1.63591058129624
46,0.471416778255516,0.877717450613107,0.23324892519614,0.938460868429075
47,2.58922507481695,0.916894444865265,0.426252589795118,3.44704996671374
48,0.614134530575773,1.59681397250742,0.177561330703615,1.07405103062958
61,0,0,0.743714530908286,0.889621570744401
62,0,0,0.604841790548958,2.1169670293165
63,0,0,0.813163358525039,4.20286244221133
64,0,0,0.728679788500401,1.07447609556238
65,0,0,0.829446105870251,1.03575320479178
66,0,0,0.830018645714253,2.27027315875957
67,0,0,0.754304068277285,1.29289420799609
68,0,0,0.695227498707014,7.35436971951273
69,0,0,0.523680501398736,1.16311914659188
70,0,0,0.811968319155177,1.21071196044903
71,0,0,0.458394923051607,1.14725726019361
72,0,0,0.181572451688143,1.2536613984503
73,0,0,1.19891112985072,1.68884351929934
74,0,0,0.554085482224491,0.672284112260145
75,0,0,0.172171674581687,1.0567100143506
76,0,0,0.745620108591126,1.12940985013241
77,0,0,1.1450484683986,1.71339278790229
78,0,0,1.01489724699496,1.46226599457154
79,0,0,0.547185730903451,4.01962000775494
80,0,0,0.485639395114385,1.29332454439705
81,0,0,0.826292594761277,1.77605357282057
82,0,0,0.904895191099718,0.879354196616167
83,0,0,0.773606249195556,1.33667377901212
84,0,0,0.828585827639529,1.88300705373054
85,0,0,0.539152081366056,1.15958865217078
86,0,0,0.649053981559621,2.42231543150425
87,0,0,0.161100775826099,0.742640945924325
88,0,0,0.456698990139824,0.78283457304467
89,0,0,0.394991075093306,2.92537441654019
90,0,0,0.262183690806869,1.37047430867768
91,0,0,0.54420453786165,1.22718898847876
92,0,0,0.512714412531142,2.52806334297414
93,0,0,0.465489852400349,1.40599300874994
94,0,0,0.449054282091203,0.905323360152249
95,0,0,0.278459076260809,0.257936374480948
96,0,0,1.10722092864533,1.08780804330065
97,0,0,0.431673671613107,0.962900598818232
98,0,0,0.549204697979181,1.17281537135767
99,0,0,0.385460860826003,0.446543846850639
100,0,0,0.656939084515579,2.5305745525393
