patient,Q86YL5_N,Q86YL5_C,Q86YL5.2_N,Q86YL5.2_C
33,0.469919699089376,1.31137997652979,0,0
34,1.0404476762956,1.1862550668491,0,0
35,1.13596322659,1.20884386161801,0,0
36,0.369489753562808,1.20942805458617,0,0
37,0.863029764702331,1.3053350523243,0,0
38,0.742474743337113,1.06610928815664,0,0
39,0.504831428214161,1.03753034464619,0,0
40,0.435151928043843,0.759993790935628,0,0
41,0.699835552857461,0.93123957797023,0,0
42,0.633226775683339,1.45402780232531,0,0
43,0.538261624645555,1.62901032021086,0,0
44,0.295566843152774,1.61117472124672,0,0
45,0.766911046917024,0.819264867018627,0,0
46,0.599061659527841,0.965528439087558,0,0
47,0.935752564996514,1.21062854866023,0,0
48,0.322568980974201,1.4625161868712,0,0
49,0,0,0.319399918549262,0.945528674778184
50,0,0,0.426677404741531,0.722381107089417
51,0,0,0.946512489875856,1.42379551288798
52,0,0,0.663677089005523,1.34735079185676
57,0.569088655635348,0.68623993647506,0,0
58,0.629547550862976,0.652762534777942,0,0
59,0.777092073422029,0.649990866780291,0,0
60,0.82120326018203,0.908426263214863,0,0
61,0.956439805754874,1.21758353265203,0,0
62,0.549326846415887,1.78551496702182,0,0
63,0.722534790171776,1.41114010292092,0,0
64,0.78012339639052,1.46703993621802,0,0
69,0.629933227266696,1.20097211031113,0,0
70,0.807839263899358,1.73851244960581,0,0
71,0.649208535856315,1.13861669222572,0,0
72,0.300254313688205,0.959084087678714,0,0
77,0.340869051449157,0.599867002668319,0,0
78,0.55698373533531,0.573537836664446,0,0
79,0.381107920397748,0.688187038261849,0,0
80,0.260452310529633,0.444354610115691,0,0
81,1.64018395533791,1.12292509857412,0,0
82,1.07560206614342,0.975760828246238,0,0
83,0.912352884178201,2.27790076250531,0,0
84,1.19954085701721,1.28931970811625,0,0
89,0.627659037361158,1.21313170168774,0,0
90,0.570893638505554,1.27371736308121,0,0
91,0.736668750300524,0.951259797086118,0,0
92,0.783150213973169,1.20772226763475,0,0
93,0.929726053483501,1.10606926194945,0,0
94,0.882330857749123,1.08124268886531,0,0
95,0.588636796430806,1.09906145433771,0,0
96,1.286808672706,1.59401779156125,0,0
97,0.473002929724851,0.690544561650437,0,0
98,0.589588385132603,1.26824193560725,0,0
99,0.616089008559692,1.08201699699378,0,0
100,0.57962579075798,1.38471188489165,0,0
