patient,Q5TBK1_N,Q5TBK1_C,Q5TBK1.2_N,Q5TBK1.2_C
1,1.29051216163853,3.58407319402159,0,0
2,1.37261279649875,1.18869093205093,0,0
3,2.4071720523111,2.37005092374758,0,0
4,1.65219076598395,1.88981055009687,0,0
9,1.07116126030311,1.1839105291146,0,0
10,0.621503589470885,1.6375,0,0
11,0.716096118053709,1.16136333421962,0,0
12,1.0532704068067,1.48693499069396,0,0
13,0.970983131093181,0.903277103643937,0,0
14,1.14483587375878,0.885021278133668,0,0
15,1.00276931973219,1.12618701265846,0,0
16,0.866688652565574,0.696210594793859,0,0
17,3.0221828523205,2.28119688833389,0,0
18,2.24989924706691,1.107766267352,0,0
19,1.10019228529201,1.80974248961802,0,0
20,1.99303119211973,1.56400480725583,0,0
25,1.11829106571954,1.61469309292022,0,0
26,0.741316035650771,1.08102634744081,0,0
27,0.669839736011596,2.33677539397802,0,0
28,0.670651849872015,1.26894332678845,0,0
29,2.00904531935106,3.27398958726206,0,0
30,1.54975414528171,1.62409382583362,0,0
31,1.90161146025493,2.81118074467081,0,0
32,1.40332321366202,2.01978893504489,0,0
33,0.55574814868593,2.32467420502396,0,0
34,1.1061873820241,1.44804523014375,0,0
35,1.1674259474372,1.0126551836794,0,0
36,0.447874618847103,1.99000834906345,0,0
37,1.05165107539778,0.870631557438945,0,0
38,0.705191759281469,1.36635484128888,0,0
39,0.950623206559882,1.38850243863436,0,0
40,0.957526007657934,1.04353117809582,0,0
41,2.70674103741679,2.27962426340198,0,0
42,1.20634913223354,2.03585375967216,0,0
43,1.42750056554409,2.29528336922012,0,0
44,0.535565924437354,3.32934122412187,0,0
45,0.931317300188165,1.65382865952628,0,0
46,0.554010121661025,2.31660593989246,0,0
47,1.432229398781,2.17745464643611,0,0
48,0.410415639259022,0.571059901656141,0,0
53,1.28265838846217,0.59438412289453,0,0
54,1.00767606520539,0.795288784711796,0,0
55,0.769287021880418,1.38868494716349,0,0
56,1.03862247319431,0.850435380606918,0,0
57,2.53761506816207,2.92929991325575,0,0
58,2.16410358268599,2.2328195340921,0,0
59,2.26639713150426,3.65435066895649,0,0
60,2.34143822956861,1.61510195689503,0,0
61,2.3869695304946,3.10859406400703,0.815522479470711,1.33158730286644
62,1.4878947204288,3.58333442906252,0.588665576069175,2.18509803289521
63,1.86118786679894,2.54749701916971,0.592590115318597,1.07046441724219
64,1.74757269429607,1.95956961739849,0.610667977532617,1.12990466673651
65,2.11216492046161,3.60792837656883,0,0
66,2.63766245896395,2.34102757776472,0,0
67,2.72460428308969,3.6522872468109,0,0
68,2.42511445759178,2.90756104233864,0,0
69,1.73422771913855,1.92192488365757,0,0
70,3.07738721292557,4.386290313917,0,0
71,1.44950380049365,3.35291681786414,0,0
72,0.74958209278996,3.35351998390642,0,0
73,1.175873312115,0.879716496420101,0,0
74,0.746963056772925,1.20212683230297,0,0
75,0.361158787555615,1.26462370787578,0,0
76,0.869718329417385,0.936739375558925,0,0
81,2.26476149609448,2.05486744151981,0,0
82,2.057640531258,2.41954675389197,0,0
83,2.18794324737801,3.10128082833905,0,0
84,2.38143692671465,1.71774605365052,0,0
85,0.937741391586858,1.56177723801275,0.685134020256631,1.05653074479103
86,1.1001548399559,2.58888912863224,0.904360266109639,1.34976917270796
87,0.193745164462227,0.788897759392888,0.406939739156383,1.27595709947515
88,0.607090786354767,1.08999314676506,0.70147360845372,1.75178605908477
