patient,Q8TD91_N,Q8TD91_C,Q8TD91.2_N,Q8TD91.2_C
17,0,0,0.576250683596072,0.54657072544404
18,0,0,0.525364386427943,0.485822811898138
19,0,0,0.707322800009511,0.488643388734337
20,0,0,0.623142401978268,0.795563164277053
21,0,0,0.748903252461226,7.6715791533707
22,0,0,0.823030882888564,0.953841470375585
23,0,0,1.42490201301419,0.969992334998614
24,0,0,1.00137535131256,0.77501318271515
37,0,0,0.101198588641276,1.0811288931109
38,0,0,0.0614100985818559,0.15258813721974
39,0,0,0.123165766796235,0.316557292827855
40,0,0,0.141324893614959,1.11016061960199
49,0,0,3.12784918401984,116.910223488636
57,0,0,0.673308741983702,0.751090939775303
58,0,0,0.692791962003954,0.437298085732195
59,0,0,0.874924658855297,0.815435290997637
60,0,0,0.77310863590337,12.9999336997927
69,1.2570750121773,0.500558329274233,0,0
70,1.486282269849,1.03315879201169,0,0
71,1.22196785192401,1.22352045786654,0,0
72,0.792608377983439,0.822661958110083,0,0
73,1.2260722610278,1.13277610983737,0,0
74,1.02719611800117,1.39652771684603,0,0
75,0.763394917847047,1.42921722942171,0,0
76,0.843129251181652,1.50890959932553,0,0
77,1.17777614861376,0.947173648342821,0,0
78,1.30929059115279,1.0102430146051,0,0
79,1.22351032429572,1.12230736375053,0,0
80,1.20149429757177,0.943954278574297,0,0
89,0,0,0.357891766784163,0.53506661323432
90,0,0,0.45754909096857,0.392092285296018
91,0,0,0.353430438445119,0.441681319669919
92,0,0,0.509644811201165,2.67050779812387
