patient,Q14789_N,Q14789_C,Q14789.2_N,Q14789.2_C,Q14789.4_N,Q14789.4_C
1,0,0,1.07982173890713,3.56976531208985,0,0
2,0,0,1.34414353897299,2.39097695705915,0,0
3,0,0,1.30525707297175,3.27840706415139,0,0
4,0,0,1.07120332561625,2.68070693398962,0,0
5,0,0,0,0,0.762196063437911,0.964141551537788
6,0,0,0,0,0.717219701927107,1.11639106810679
7,0,0,0,0,1.03721867256832,1.86001455807422
8,0,0,0,0,1.08767931062372,2.43453645768232
9,0,0,1.00564863176823,1.20868365603058,0,0
10,0,0,0.663395767987426,1.2139685241491,0,0
11,0,0,0.610440016746855,1.11264318904042,0,0
12,0,0,0.930617231415452,1.14418767458939,0,0
13,0,0,0.747828209798877,1.20053144541887,0,0
14,0,0,1.05010234549586,1.75966648513643,0,0
15,0,0,1.2869241892171,1.40455578298999,0,0
16,0,0,0.936115753694766,1.6264107716287,0,0
17,0,0,0.808528494195345,1.47536746595961,0.889340465074113,1.17833280449662
18,0,0,0.579591576105134,0.630101497838078,0.658317392683922,0.93994832509859
19,0,0,0.356871628648054,0.603222510748797,0.487404922714292,0.847363220162277
20,0,0,0.594259807707511,1.59018955587854,0.680957345541907,1.23204750464621
25,0,0,0.78773561714073,1.43229936107398,0.826392772300876,0.93970815175651
26,0,0,0.638005913987306,1.44854292557413,0.937931833426535,1.41952291121698
27,0,0,0.460015030799091,1.32316218044919,0.830797812925934,2.46683705211249
28,0,0,0.579959402794979,1.59778799081295,0.787489684624835,1.23977580059468
29,0,0,0.714260812977898,1.52144583633532,1.25593048331853,1.23623908756473
30,0,0,0.828044018871871,1.40260185464941,1.15264147244358,1.41530105059218
31,0,0,0.699572361540428,1.64971994329142,1.01748296103237,2.25119070958219
32,0,0,0.511219118228089,1.20746275594394,0.654209864726166,1.24290475476572
33,0,0,0.343864367542172,1.38291317003421,0,0
34,0,0,0.627138407067595,1.607937426592,0,0
35,0,0,0.469258004664068,1.48340766337004,0,0
36,0,0,0.196497267945597,1.1663446644084,0,0
37,0,0,0.601419773901006,1.05970859140682,0,0
38,0,0,0.520851154453653,1.72759508048343,0,0
39,0,0,0.465742630486095,0.899600688590342,0,0
40,0,0,0.425648215521678,1.51297495873782,0,0
41,0,0,0.858522144559991,0.91166800613721,1.14062150348346,1.24466291715773
42,0,0,1.03788130937981,2.11573837298978,1.09115185511181,1.81929256612612
43,0,0,0.677193010940362,1.00537953018409,0.804888782801987,1.75268159508287
44,0,0,0.829045674592544,1.41667816717134,0.86372723068431,1.66909340454417
45,1.86274091829461,2.01163286442085,0.494145846936321,1.28902195951751,1.40980805482892,2.19055769390745
46,2.1212254783514,1.9430767809306,0.391565861369806,1.1418863191175,1.09351106043423,2.92954725128408
47,2.65436553966708,2.55333947622238,0.659826798171758,2.00149489673185,1.45229998305669,2.28593492250869
48,1.47259894369885,2.80890510454225,0.363606996804014,1.028841197292,1.26738044030411,2.62390950139063
49,0,0,0.255509477756286,1.67687427466151,0,0
50,0,0,0.346794584139265,0.894514506769826,0,0
51,0,0,0.817818181818182,1.89924951644101,0,0
52,0,0,0.438811605415861,2.16685493230174,0,0
53,0,0,0.902287503829526,1.77953501038227,0,0
54,0,0,0.701296932974776,1.38639752187085,0,0
55,0,0,0.635892024372809,2.00957551826259,0,0
56,0,0,0.636916635463117,1.8310821390884,0,0
57,0,0,1.21004996610059,3.23457742552888,0,0
58,0,0,1.19191027413124,3.39030381410554,0,0
59,0,0,1.35164330275455,3.47297579324568,0,0
60,0,0,1.31561309486149,1.74967783677067,0,0
61,0,0,0,0,0.649843987791088,0.778522177539343
62,0,0,0,0,0.524651629413615,1.29412764944439
63,0,0,0,0,0.638774347681922,1.69016910533162
64,0,0,0,0,0.635828395072225,2.10941684591775
65,0,0,0,0,0.932454340794013,1.93805561318181
66,0,0,0,0,0.80644492082152,1.84755933583815
67,0,0,0,0,0.936365242913891,1.96905854059578
68,0,0,0,0,0.627244926968321,1.08880590707574
73,0,0,0.837297448455167,1.42143191849568,0,0
74,0,0,0.612465233690066,2.04995011790314,0,0
75,0,0,0.391752070862809,1.10427625612189,0,0
76,0,0,0.498514873934337,1.6854782634984,0,0
77,0,0,1.2391749314635,1.56823235416213,1.01555971342983,1.06081375847059
78,0,0,1.10384873058475,1.52129461037974,0.94950121666295,1.55930625975512
79,0,0,1.07171774879676,1.67431494321848,0.82000271446714,1.08943199775087
80,0,0,0.9874044907337,1.89033337306464,0.556365910170527,1.09266996926835
85,0,0,0.592366050260787,1.5924893314367,0.727806502338827,1.5070780780672
86,0,0,0.918117591275486,2.87582740635372,0.897267321997297,1.61058976133453
87,0,0,0.231582740635372,0.892660028449502,0.321269017692478,0.953931802618182
88,0,0,0.544006638217165,2.39093883357041,0.571472827209386,1.77776972604378
93,0,0,0,0,0.570162618242396,0.895129165236639
94,0,0,0,0,0.587897531611644,1.30199869658606
95,0,0,0,0,0.403622565257463,1.15957180152631
96,0,0,0,0,0.720679934752178,2.61409692309472
97,0,0,0.492726687349997,0.983883831879646,0,0
98,0,0,0.688670754551308,1.15912749517064,0,0
99,0,0,0.754350084879705,1.74384622138969,0,0
100,0,0,0.759863607094773,1.56679886436809,0,0
