patient,Q96HN2.2_N,Q96HN2.2_C,Q96HN2.4_N,Q96HN2.4_C
1,0,0,1.95102224445128,5.25994792427073
2,0,0,2.04755938945002,11.4802429326413
3,0,0,1.89145018387629,4.39139348879583
4,0,0,1.98164261473838,6.06226906372616
5,0,0,1.25646235473411,8.68236592650656
6,0,0,1.11422282776875,2.23251098893933
7,0,0,1.53442822871934,3.37425107376457
8,0,0,1.54087829552868,3.52415108251936
9,0,0,1.18266787816701,4.36727348702257
10,0,0,1.10754652130967,4.01775661162092
11,0,0,0.937283957240189,2.04946966703482
12,0,0,1.2210136130554,1.78042034907176
13,0,0,0.991003362324959,2.34089295660394
14,0,0,1.53907591751402,2.3702563602763
15,0,0,1.69747068335146,8.68291869166586
16,0,0,1.66127181391023,10.0003430679912
17,0,0,1.66734036049629,4.22806355368197
18,0,0,1.42595219537828,3.16360041818947
19,0,0,0.998941354104643,1.04004764912709
20,0,0,1.48006552517974,3.23650729217013
21,0,0,0.407959794116177,0.285449639132204
22,0,0,0.380326815582636,1.19453308490209
23,0,0,0.777254263665503,0.636878475717274
24,0,0,0.617687876127043,1.49060887070867
25,0.963815358835389,1.32894334913029,0.55234403204456,1.01052278705152
26,0.778043096902574,0.913736374030145,0.586047551101102,0.47370420670804
27,0.564538004346346,1.35037834158092,0.450738365796214,0.361121903419347
28,0.56825247209349,1.14271376081132,0.622860974058347,0.588082999535835
29,0,0,1.01472655931734,2.75765036448935
30,0,0,1.20023875832752,7.00473801710694
31,0,0,1.05093291918751,1.96364520187125
32,0,0,0.736485895794236,1.13890291306755
33,0.443568734128321,1.3319512816509,0.664147355533267,2.86821385661177
34,0.828783109657377,1.3976857140509,0.956417281739438,3.88167041264239
35,0.582458764454014,1.06911628136326,0.728378293890819,1.86637463820044
36,0.246137377854848,1.02209091133228,0.562789043115214,1.35894292620342
37,0,0,1.18160668418841,6.5597917885918
38,0,0,0.612367426343315,1.76605751047414
39,0,0,1.04436798032679,2.2931275194015
41,1.11384889353568,1.13968959284961,0.959533802652041,0.701982342022975
42,0.745972750387557,1.51315782483363,0.688677825527148,0.578766951490728
43,0.589634394480801,1.30275588083102,0.526000367874521,0.550648796883099
44,0.397517507817555,1.80168750816819,0.513901476514556,1.28537029914887
45,0.732119353664342,1.12948416365622,0.408051730331697,0.91820540454237
46,0.450758212215408,1.03229928029348,0.345338282840378,0.367022711850876
47,0.859643227197625,1.49817272956398,0.448117191553906,0.901249351375085
48,0.375308045590747,0.974936290571005,0.311479663114198,0.274254580289786
49,0.416311718303553,0.951780043948793,0,0
50,0.5980010957742,0.709693477787007,0,0
51,1.26048202282274,1.16633675615489,0,0
52,0.875862333056444,1.18168937747065,0,0
53,0,0,1.1391487535885,5.85106203108961
54,0,0,0.837052950111298,1.63809963175852
55,0,0,0.786546361419795,5.92435070921272
56,0,0,0.79033699591819,2.8336574063576
57,0.974933212812728,1.28110721206973,1.21411464919988,2.09449280614229
58,1.07112687554276,1.42376795682081,1.41205322593382,2.62155894272773
59,0.930760202644986,1.03749665768283,1.71541376849699,2.56517332509207
60,1.10804262075526,1.36325131148976,1.72048731943689,1.11234988443838
61,0.883396539321908,1.20016240705801,1.94639478393254,13.70108085265
62,0.842563009989923,1.6028495056542,0.847061851462331,3.60232392210791
63,0.75850104809206,1.46952464175166,1.19273376423107,7.66841637342658
64,0.758058119752029,1.00909548195925,1.14318430269746,1.76524415043952
65,0.899821557308737,1.12295417244006,1.40710379174484,3.5699733125641
66,1.18181213921598,1.65553402426616,1.19639028756428,2.02108901596547
67,0.976498228355515,1.58175385134548,1.53473419131039,1.34655527819149
68,1.14231188101094,1.24591601433677,0.998021712818425,3.57267157852564
69,1.23333550262484,1.59555078311423,0.633586137883815,0.74663453942171
70,1.25368128769144,1.41549307996009,0.839613946384368,0.686069415916153
71,1.02824634474381,1.09918434639247,0.891639016168958,0.503012587559909
72,0.373311206559938,1.04066120005206,1.13250908516353,0.746518670669405
73,0.89935226425702,0.928031866851345,0.583522167992782,0.479062423099007
74,1.15533117374451,1.24403447639365,0.566788512017062,1.3019594372898
75,0.449245670371972,1.36773410849327,0.309097131080305,2.38895496677877
76,0.972895704259387,1.67839222886193,0.414561715609876,1.13359368591584
77,1.02382719714964,1.28433949091609,2.16762598105311,7.79610748809283
78,1.1717797072607,1.18348767413494,1.74982500077701,2.9797490592873
79,1.0122917602876,0.896720726070489,1.70171065140182,7.97259901520099
80,0.97186757719715,1.11675266418437,1.73533315994944,2.33721888555953
85,0,0,0.492009479088954,0.334318690481415
86,0,0,0.519730548119542,2.34412603677535
87,0,0,0.216905252995129,1.02682231096678
88,0,0,0.359876245227542,1.33829815245535
89,0,0,0.387006302174415,2.78238030817963
90,0,0,0.484729600422345,0.473266902035833
91,0,0,0.664958590424654,2.27067344177913
92,0,0,0.538116606724519,1.52621836539413
97,0,0,1.00404078596359,2.95275968799214
98,0,0,0.956268824844555,3.67905037077004
99,0,0,1.23015898093459,4.78810749126284
100,0,0,1.61416118735598,4.67153711217381
