patient,Q9Y2Z0_N,Q9Y2Z0_C,Q9Y2Z0.2_N,Q9Y2Z0.2_C
1,1.52388556789069,1.09498719043553,0,0
2,1.40224167378309,1.43476515798463,0,0
3,1.09752775405636,1.33765584970111,0,0
4,0.942472245943638,1.27697267292912,0,0
5,2.41988388942158,3.42078577834901,1.63548437451963,3.17492257951256
6,2.05513995267555,3.05404899716213,1.42234508658138,3.04746765935675
7,1.49739192997755,2.09333657075873,1.30024321433857,2.56047006892804
8,1.83918513460201,1.93163630053302,2.11853343650048,1.93457888933714
9,1.46326432682171,2.40652351821635,2.29523917887555,2.88304374153372
10,1.42254211269801,2.22663108670806,1.59918220548571,2.03613258948343
11,1.4546157881827,2.98839608015524,1.60139297653171,2.69886247625714
12,1.59548160289882,2.35647289403511,1.99416001864346,2.29389758630766
13,1.27249914946549,4.01348951745772,0.732765261610734,1.72666865160946
14,1.74769646075111,2.85611392939871,0.811274475053523,1.96549507781448
15,1.74970719949766,2.82171649669362,0.974904651855213,1.19908976194865
16,1.66292597501284,2.71971709152642,0.969261743063334,1.01642776462359
17,2.69955829412086,2.38909921536771,1.38759520525182,1.22742503084354
18,2.56575690992472,2.5808457767748,1.07154449892332,1.54191534984089
19,1.41091422305299,1.663182241953,0.637009064131805,1.14216710598797
20,2.09242082626886,2.17775374165613,1.05686707002281,1.22884770346495
21,2.51990764241166,4.88477253220129,0.895377280067267,1.14839905596377
22,2.61993652631522,2.93485486220694,1.04765567520567,1.16732755572967
23,2.66641947613085,4.10580418665674,1.10821540842944,1.34013491691908
24,2.59282782590794,3.90894385059965,0.999847119638438,1.94597112472171
25,1.93590328360961,3.83125345521898,1.88864546295853,2.85824648404227
26,2.29192032125535,4.901908359704,1.73628200237301,2.55754637225735
27,1.70506781543512,4.79401623379948,1.2574775471238,4.33425350122364
28,1.86923612859258,4.86268725490325,1.46823765982997,3.04175138604581
29,0,0,2.99094850486527,3.73812322776243
30,0,0,3.00706283388301,5.70988738045583
31,0,0,2.84214672555663,6.02407224923099
32,0,0,2.59932882692982,4.24218778758542
33,0.531866112048039,1.98241836496568,0,0
34,1.05862469656764,1.30047562797568,0,0
35,1.45551783785344,1.10876411306329,0,0
37,0.716711140675819,1.11209989260225,1.8046991025113,3.20691811264182
38,0.678334852474084,1.52007677796594,1.30926897189098,3.98225506456362
39,0.423040498853662,1.29988092306208,1.48860742723374,2.78334501148564
41,1.02134557225273,0.966695763774348,2.03375433922278,2.65298735582354
42,0.701755470544742,1.48519385844958,1.62247294464754,3.344179926716
43,0.676700635273113,1.00053907955875,1.52371893567094,2.71202551120442
44,0.622303056680012,1.29672620445952,1.2738143124086,3.271507528007
45,1.79883202709322,2.17193385502274,1.44237892932166,1.98760353987849
46,1.63032586853823,2.18972861586283,0.855511851531679,2.17209558882227
47,1.86879838100644,2.74311867532528,1.79888699040082,2.22099954128803
48,1.54981591443922,2.34110331789079,0.896230802044017,2.15222378584528
49,0.538941573144462,1.13885836713276,0.4280738486237,1.05418241412756
50,0.663833216883572,0.558344229358676,0.757175825278437,0.988454463359979
51,1.01656292490875,1.58477011077706,0.971029131409077,1.14520886986187
52,0.723350158149406,0.428250035514761,0.690999698986588,1.31846550051841
53,2.40136434677033,4.57433537189205,0.915391588217124,1.22440640463207
54,2.0061275708951,5.81641314821106,0.759402336628786,1.1758689678981
55,2.20056816941147,5.11677956167767,0.674281134357165,2.30781965118134
56,1.81878543575557,3.08549228556644,0.769296770429351,1.09082448231378
57,2.1056256932255,2.78180106313545,2.03505127649838,3.95060885582255
58,2.44088307697157,3.39623091362805,1.95004654149308,2.87606348405468
59,1.73116390989802,2.4150090294384,1.62335820864668,2.60043921777121
60,1.56855864423017,1.61802583967984,1.95541281765437,2.47609082078529
61,1.67855089040468,2.02930170153017,1.99919814459192,3.286088060383
62,1.95500365876713,3.64009779270012,1.56456434986861,2.42991126462204
63,1.52742037268943,1.68811905245775,1.80209559407892,3.68101422970133
64,2.23571542280035,2.16234908234329,1.79367618259081,2.30316981668138
65,2.2828620688275,3.89741565962721,1.8159154695223,2.41179828791663
66,1.89529088774481,2.50462218056304,1.85978269079306,3.86244055992067
67,2.56374985856052,3.05649207242672,1.75787108996063,2.22372243612369
68,2.12301689185724,2.31214985114468,1.90214096791081,1.83536372227278
69,2.06861613851114,2.95417625269504,1.81788610342298,2.08942989577558
70,2.91986208852943,4.20638361544488,2.21452056696882,2.8894488039853
71,2.79237519803075,3.32530310786695,1.66220446775442,2.55199550942202
72,1.51883163565152,3.00160113547078,0.954362136395306,2.20849178115359
73,2.09532717149508,3.05520476772826,0,0
74,1.9798191295552,2.91542864274289,0,0
75,0.853126094283337,2.7434338248546,0,0
76,1.59041036374383,2.71401567046709,0,0
77,1.74059865280814,1.40667350671365,2.55992680551736,3.13192068682439
78,2.0055404380604,1.35933443368872,2.32217842825987,3.39103323506097
79,1.5180978721506,1.53650354641567,1.86161852649503,2.1982635641005
80,1.07264129901414,0.964446625328991,1.8068492943226,2.47994967199005
81,1.03610250728178,1.44806224975448,2.99603801966618,3.9189106597893
82,1.06611937918125,0.945187311660077,2.83506970160324,6.3169314816392
83,0.922464808239531,1.0321405487984,2.72826162663253,6.32536342440751
84,1.06031074513359,1.01677956569548,2.73466294289371,4.40601090711526
85,1.43300918104059,2.71122473755144,0.669359744581705,1.26824884994175
86,2.07985074607166,3.83750475665328,0.957206302756561,1.49762831548772
87,0.568530202716518,1.90924930338791,0.285530537674596,0.972541738069015
88,1.3404323951079,3.6454120531788,0.554962247871846,1.71674174681622
89,2.19521239759884,3.96760682241008,1.65010982413554,5.65611600526339
90,1.98893821344612,4.0891495056506,1.55498348344158,4.75983964368359
91,2.37855143597655,2.48016825242783,2.1065479466277,3.105079350722
92,2.84314394529964,4.82083916066687,2.21560221372198,5.48333572465239
93,0.840957445661898,1.09717159480148,1.64301422274022,1.91867053815877
94,0.812947158984352,1.22173912106247,1.65564941684715,2.97227584271312
95,0.394187552947719,1.4533057699811,1.06281278293226,2.13032646760803
96,0.963923337091319,1.48735613848644,1.75417365986054,3.23663070521767
97,2.84600952150499,2.16370074826848,1.28634995480289,1.71679362301212
98,3.07662695320881,2.70508076977398,1.36023311880121,2.52468694529252
99,1.86189797694825,3.21910722578036,1.38303608470671,3.2203636814972
100,1.8801848342123,3.64906841381799,1.46523403401572,3.51054282146288
