patient,Q9H1H9_N,Q9H1H9_C,Q9H1H9.3_N,Q9H1H9.3_C
1,0,0,0.937643169512703,1.29205929820908
2,0,0,0.936634475218659,0.538628436068305
3,0,0,1.31230476884631,1.12260516451479
4,0,0,1.00558361099542,1.101747969596
5,0,0,0.867445464567783,3.82416728416259
6,0,0,0.421287343442193,1.20932207984674
7,0,0,0.402766984149934,0.463661871283729
8,0,0,1.13814136740706,0.895564873217545
13,0,0,0.800299275602777,1.36765506921531
14,0,0,1.20470639059849,1.3883820960562
15,0,0,1.50173742635504,0.881770484413251
16,0,0,1.28591776808019,1.72727415022633
21,0,0,0.89991961143274,0.517056112120659
22,0,0,1.01437536732171,1.573202009489
23,0,0,1.04456048620447,0.600124298288872
24,0,0,0.971463184513154,1.04172774621532
25,0,0,1.0614220849478,1.93248379370613
26,0,0,0.740165715712476,0.941629599489536
27,0,0,0.571598990169877,0.754512331579385
28,0,0,0.762017625789508,1.33506570369069
41,0,0,1.11973593240457,0.955403412810582
42,0,0,0.670043990871435,1.29359470885875
43,0,0,0.638730321885917,0.703242108869759
44,0,0,0.309442435589166,1.69103601867318
45,0.829811306463677,0.770831558118177,0.858751871581499,1.40173967956488
46,0.929786690146846,0.493609225438123,0.411941453875065,0.785595697654284
47,0.665762490413838,0.951695212126376,1.18665295022357,3.55483351836951
48,0.379206313138486,0.7143607805266,0.295957383961947,0.849978101223276
49,0,0,0.291237142350105,0.694163710820531
50,0,0,0.659877393224504,0.425149888917093
51,0,0,1.24527869566878,1.14337220299081
52,0,0,0.898610172004412,1.99264763693299
53,0,0,1.31188174587079,1.18801059560202
54,0,0,0.672927135206592,0.966105089744649
55,0,0,0.868303577017158,1.43411172952172
56,0,0,0.835068388201627,1.3364429121882
61,0,0,1.1246264865834,2.60861770154784
62,0,0,0.574385943943106,0.97196408294986
63,0,0,0.994061136676029,2.30448813721389
64,0,0,0.750971134883165,1.34047989003765
65,0,0,1.07382468597706,1.13143292632294
66,0,0,1.1296356097498,0.831945364528647
67,0,0,1.42624635785053,0.898922163644382
68,0,0,1.01483432025819,1.59267897969992
69,0,0,1.09444273978313,1.23346398114966
70,0,0,0.895396835505329,0.95930619641172
71,0,0,1.03086916499256,1.00563310156372
72,0,0,0.281426396262353,0.962322482038337
73,0,0,0.945154295058779,1.05450143414979
74,0,0,0.935604522670419,0.945030806622722
75,0,0,0.369692569925327,1.06929946507055
76,0,0,0.779487073941508,1.18099101340972
77,0,0,1.35094761991885,1.21954001958737
78,0,0,1.29844377239902,1.60315119945758
79,0,0,1.30524016057341,2.08934317724421
80,0,0,1.32107687506054,1.76298201620801
85,0,0,1.03914949171299,1.23091527826499
86,0,0,1.26454250552407,1.60309492725583
87,0,0,0.220000940267687,1.09036334113273
88,0,0,0.789278778519946,0.78940173660209
89,0,0,0.722013874811361,1.61358312498592
90,0,0,0.614833209451089,1.4954782980832
91,0,0,0.941538842714598,1.17760772124243
92,0,0,0.897695790256098,1.50726400432462
97,0,0,0.649988124263826,0.663480414729791
98,0,0,0.940521950722966,0.721959932720319
99,0,0,1.08614513603777,1.40445606704701
100,0,0,0.665918576074996,1.42135596670916
