patient,Q9NVV4_N,Q9NVV4_C,Q9NVV4.2_N,Q9NVV4.2_C
1,0,0,0.459717060635785,2.20048906511197
2,0,0,0.578410676540072,1.09363524584502
3,0,0,0.571717115897379,1.22600748794606
4,0,0,0.546733348990785,1.55829407457552
5,0,0,0.638783914728682,2.07094476744186
6,0,0,0.454481104651163,1.45708817829457
7,0,0,0.52155523255814,1.68061531007752
8,0,0,0.73671996124031,1.44193798449612
9,0,0,1.26842641292527,4.39324864162441
10,0,0,1.1749518917214,1.90322416972851
11,0,0,1.02669646440042,3.71254842776351
12,0,0,1.079420889681,2.25310812350986
13,0.585964861304819,1.55685340151867,0.641403032309471,2.10042982032837
14,0.683877653804432,1.70345188284519,0.701112146071577,1.72268171973021
15,0.510936773593677,2.37423485200682,0.794791654976601,1.73330378084774
16,0.472244498682783,1.1506373004804,0.764401225492947,2.59698452422369
17,0,0,1.75056195363413,2.95309910916574
18,0,0,1.16139616586725,2.18532452349726
19,0,0,0.847089915349373,1.63497954258673
20,0,0,1.33839309432234,3.25464188586135
21,0,0,0.635494860412642,1.7331396463492
22,0,0,0.721868686123851,1.11557435073075
23,0,0,0.906565693807424,1.28376126358636
24,0,0,0.706778061262112,1.79077012697804
25,0,0,0.679162089489501,1.4022607463453
26,0,0,0.833579255041395,1.12834513107519
27,0,0,0.665778315122127,1.57884119957792
28,0,0,0.88841437916144,1.73190850412433
33,0.841879609165732,2.78788850116167,0.588964879507978,1.22745157666743
34,0.976503576549509,2.00642727744107,0.645387914181629,1.43490700113572
35,1.37857270871655,3.05181556722655,0.534149232611974,1.14143460910688
36,0.657039211299269,2.21940834734183,0.436855726086228,1.09522376203214
37,0,0,0.589380065938179,1.25625548884954
38,0,0,0.452270404123296,1.07601246778675
39,0,0,0.51196389236816,0.820332858232914
40,0,0,0.461300911328985,1.16249514101844
41,0.864026431194,1.58937020434428,1.67242013705395,2.04809388160052
42,0.355311383041426,1.49992159322565,1.39938140312638,3.60495198512087
43,0.2970951641946,2.59029486354518,1.09314051506415,3.40370659398719
44,0.169477053851936,0.965425316195595,1.115975962722,2.52152490159034
45,0,0,1.1132742972365,2.64494859468186
46,0,0,0.867029951582268,2.61922329148336
47,0,0,1.43071150660975,3.20932807636807
48,0,0,0.741897571255642,2.04475397771046
49,0.849615547617606,0.930017557667857,0.545608194450049,1.46940532397132
50,1.22317612157171,1.08092874008597,0.833716691551323,0.769608436571029
51,0.764793848761882,0.901882908518496,0.562626609095678,1.16133327952867
52,0.632599745716534,0.93598716473936,0.522004089154325,1.7749485492918
53,2.08804850396288,4.32491490548703,0.726731633862429,1.56143817705501
54,1.94415133743628,5.32841229003279,0.455536739400475,1.07212023760608
55,1.86362597377985,6.56421438072777,0.322492536214501,1.96686720518344
56,1.69642581857532,2.56625154950924,0.521180050019832,1.45421142760781
57,1.458279647594,2.74002074447308,0.671430303881332,1.29027975464822
58,1.49903191067723,2.41855991982085,0.689595526989334,1.68533825228342
59,1.32025466224522,2.36156030594059,0.626592329246265,1.00514447288301
60,1.7000785530549,3.49589839183494,0.631864456543246,1.29866664964608
61,1.39406628619815,3.62559137194138,2.25345996029035,4.09418570632072
62,0.804873497547582,2.99131990590404,2.28581612900575,7.55060038787697
63,0.920046228007942,2.86841946761722,2.1773798901536,4.31571516694965
64,1.30594895412083,4.61395952350903,2.35882672249691,5.69717136537335
65,0.692988459386669,2.19901898281268,1.53728832702334,5.06148653901186
66,0.54592695715531,2.12673076672868,1.81454205493226,2.88204783941556
67,0.800934178170416,1.57226349549174,2.22277669868874,4.12681675641494
68,0.614220845964689,0.864822597223487,1.32934876530548,1.88560950748642
69,0.533650436976802,1.37771556447825,0.655596781003314,1.33134171773647
70,0.830739407111349,1.37411016051645,0.662700067808754,1.20341986412661
71,0.581879046294676,0.995066168141674,0.603274011335577,1.10412609869372
72,0.393799441922145,1.15585429195023,0.656134133391333,1.25830913115236
73,2.92341723261641,5.28394547118104,0.839940730383244,1.43330733331072
74,2.01786453450556,3.99395610729436,0.656108396615997,2.28298372433367
75,1.02773563544971,6.44842782503488,0.41437340380296,1.26803327655068
76,1.51571274532266,4.63212556938055,0.532119593147472,1.5007917398189
79,0.725546203468032,1.66216972108125,1.78875344808141,2.78788212078117
81,1.51970701344403,4.98766160646482,2.08047870433711,3.18403948543694
82,1.3249256762127,3.47694279881482,2.99489437943538,5.83909137485373
83,1.14261603783934,6.01582406411658,3.35299166669079,6.76190936478408
84,1.42337419274954,3.52865075459407,3.25495817051516,4.49829495864521
88,0.419148413139952,3.34025953862675,2.24504171745234,3.78440192222442
89,0,0,1.23591550876273,6.16658822057799
90,0,0,1.64271109005153,3.53912481166412
91,0,0,1.12442458241989,3.05803252078289
92,0,0,1.39491851371845,3.64473753984111
93,0,0,1.32042272343107,2.16244253383142
94,0,0,1.26028837541684,2.82700387702415
95,0,0,0.752838607546484,1.81414848872968
96,0,0,1.34312241146576,2.75243238212676
97,0.427140586782385,1.69792463127611,2.23561809532944,3.02697826002193
98,0.677357757913236,1.59747214138074,2.11110465602363,3.19107496391731
99,0.616153528980837,2.10429818697133,2.14050326100977,5.29169568845465
100,0.675220073417853,2.46471552917032,3.40066036590502,6.37940510387687
