patient,Q6RW13_N,Q6RW13_C,Q6RW13.2_N,Q6RW13.2_C
57,0.792724291252872,1.22493073903752,0,0
58,1.00045706221258,1.17888172111988,0,0
59,0.913761581916374,0.893183759056046,0,0
60,1.17715771452856,1.00456460814934,0,0
73,0,0,0.843626025399773,1.35382910954161
74,0,0,0.873962380964018,2.25192046074766
75,0,0,0.571490831480079,2.07406502276856
76,0,0,0.697134175647825,2.10681264612201
85,0.823062149210315,0.780465792761379,0.950702836699625,1.43260373531649
86,1.19212366443529,1.67999030375357,0.982299970891199,1.74717597678808
87,0.437144082492681,0.867277032948591,0.383816445533677,1.49618299107017
88,0.927457159372727,1.50244830222454,0.742454717034283,2.11770284608956
