patient,Q9UJZ1_N,Q9UJZ1_C,Q9UJZ1.2_N,Q9UJZ1.2_C
1,3.07128513860813,6.62862826963323,0,0
2,5.0820364567105,3.7257033738097,0,0
3,3.98373533538063,4.12600965857878,0,0
4,2.7084414697252,7.68050534297511,0,0
5,3.13640755783641,7.08673551044855,0,0
6,3.47870729699352,5.50175913051973,0,0
7,3.60204340570941,12.1862015638401,0,0
8,4.13944657335406,5.94339359469542,0,0
9,2.86933269171672,6.15641979386776,0,0
10,2.76201183841161,3.91513069859087,0,0
11,3.12798552673484,5.73944484042498,0,0
12,2.7876671490877,6.67570633433526,0,0
13,0.953007849100201,2.94697824352499,0,0
14,1.22871446343957,2.55063455713685,0,0
15,1.03740271727547,4.37099969388976,0,0
16,0.896672315700297,2.32415792257053,0,0
17,5.80690039105434,7.20948494022729,0,0
18,3.49927877671029,6.85915824546391,0,0
19,2.7948598696229,3.78385075134902,0,0
20,4.13225839132739,6.92389996823212,0,0
21,8.26449671947992,18.520160927686,0,0
22,9.020543136898,10.4442262667187,0,0
23,10.2785729422065,13.4517281963617,0,0
24,8.35691513809157,20.0226461450049,0,0
25,6.33323360978134,8.25699393044531,0,0
26,6.55962368740409,13.9722812613012,0,0
27,5.33492555229442,17.6776828388233,0,0
28,6.06523689492228,14.4970017155324,0,0
29,4.18403379745271,5.27063795180496,0,0
30,5.0539441721888,9.01003860229969,0,0
31,4.40224794102465,8.31592317752817,0,0
32,4.50022929281934,6.0510525868399,0,0
34,4.31614376988358,5.94541288690491,1.001966349274,0.985586562957079
37,1.43235620075854,2.49348534026711,0,0
38,1.42284864474045,2.31607192059089,0,0
39,1.50234243169644,2.12293703439309,0,0
40,1.01378436440802,3.11651978231861,0,0
41,2.93409745724507,3.36269768013666,0,0
42,1.89526531245509,4.97304088268155,0,0
43,1.44430216908236,6.37490809638525,0,0
44,1.54323714239524,2.67973741765453,0,0
47,2.92549444294246,4.45115889225593,0,0
48,1.49242820729091,6.72094092766791,0,0
49,2.48500015931618,7.09280693237137,0,0
50,2.77436933362078,5.46410758628915,0,0
51,4.80060663152366,6.43898532355273,0,0
52,3.50572416147044,8.2356587901362,0,0
53,10.0635054351937,7.88610478611802,0,0
54,6.23850750876117,7.91416106759396,0,0
55,5.6451769481257,9.09272886751093,0,0
56,6.70752223432296,7.31495183900686,0,0
57,6.01912937976717,8.28593425194339,0,0
58,6.02193963850684,7.67365777751115,0,0
59,4.96527171426071,9.05100049225359,0,0
60,7.19939633837375,9.17211477288761,0,0
61,4.90437761318346,8.42176250714817,0,0
62,4.35566206722568,9.27642861479232,0,0
63,4.53921078920073,6.34802161170514,0,0
64,4.77945602956496,7.06953264535409,0,0
65,7.49812976800591,13.437374597373,0,0
66,7.73697093703432,13.1981733815848,0,0
67,8.67352640204305,10.7626848452797,0,0
68,7.72260290896628,8.18140240357515,0,0
69,1.25998080755381,1.82925021115093,0,0
70,1.44837925518663,2.54062240506458,0,0
71,1.46908087363296,2.55631653074542,0,0
72,0.967750641879128,2.11641201407141,0,0
73,5.75754068296703,7.13484219997901,0,0
74,5.54189988645305,11.6823243471691,0,0
75,3.36875710634983,7.80571780320679,0,0
76,3.55411950187436,8.29781505155198,0,0
77,6.68190085805689,9.08922053592496,0,0
78,5.14933114430719,8.91959041117807,0,0
79,4.21099798346793,6.85621423382504,0,0
80,3.34973720907433,6.49751890637545,0,0
81,10.4047637658134,16.6147031701131,0,0
82,11.3816764287773,18.7795812203513,0,0
83,9.85054677080092,25.1969997208924,0,0
84,10.2265949745352,23.4728198951712,0,0
85,7.4788331239671,9.82698276382375,0,0
86,8.38168853235095,12.3960945791912,0,0
88,6.57888334923303,24.0018762549039,0,0
89,2.24454812844847,6.94582252546834,0,0
90,2.57177754727868,7.51568313789033,0,0
91,2.77169719681492,5.83628787319134,0,0
92,3.08863589475488,5.31908338991425,0,0
93,2.22533601125045,2.79803851352975,0,0
94,2.34421701393201,3.28574610667787,0,0
95,1.27076543227201,3.70826265323019,0,0
96,2.43518875024066,3.38718323870729,0,0
97,5.34960310654114,6.82946119602992,0,0
98,6.02123733773948,9.50164740888041,0,0
99,5.90341733907163,12.3049358308551,0,0
100,6.77688867541568,9.8067929058821,0,0
