patient,Q01105_N,Q01105_C,Q01105.2_N,Q01105.2_C,Q01105.3_N,Q01105.3_C
1,3.1838263170628,14.3873453055403,1.21069759347701,4.95566827387238,0.532642691098045,2.12963216190346
2,4.20336159903802,8.78950015960931,1.51593321521844,2.4459628814915,0.804450157254205,1.16327635717216
3,4.19141378182837,6.32982626893897,2.05864167048371,2.36379413586201,0.841369615752769,1.37015178449337
4,3.32810380147234,9.03951534999698,1.27856262659976,3.82086082379425,0.638983727608369,1.89619581567072
5,0.571202332867623,1.24336743045748,1.4608594770157,3.18935917120592,0.421653616953048,1.12009299591139
6,0.449267362313985,1.56489049455423,0.863731499722592,3.96686651159545,0.450060126666845,1.59917960503461
7,0.54419999923862,1.24904732355976,1.15814570873677,3.97198396740668,0.539627481895193,1.00013361481521
8,0.805969978795573,1.81681583365375,2.30667247786857,3.71052087924098,0.798987199700703,1.75759065765212
9,4.72201770330232,11.6527532681955,1.77285740717226,3.70610970231485,0.667249220201437,1.16219050260439
10,5.26258968152063,10.6054804680402,1.56344427568328,3.41706648252119,0.948527595940868,1.02548924998765
11,5.11875201791827,17.4874495835131,2.3682018135812,10.3476550214485,0.750069336534845,3.15755920200297
12,5.78388756823968,11.6410191677985,2.28242850800481,4.39601482806454,1.04697407763412,1.15023802377578
13,4.65514208084829,9.67287433937609,1.16615819515439,3.80373473000811,0.598599693630145,1.10781107868565
14,5.49805911612261,10.371921426818,1.69195915985213,3.52788164287775,0.797462811230856,2.54716438805496
15,7.22116272983846,13.6212111705621,1.65210190668126,2.95081767975916,1.58767723631396,2.34285018649335
16,4.95334972954454,8.86105428982964,1.67951620743957,3.6035921010188,1.14265980434261,1.72106478741787
17,8.64107841207367,8.99589170600663,5.18953070358342,11.2213604004684,0.854662324284495,1.78756705240308
18,5.45397307805719,5.54110187034132,3.0219392213271,3.87691669826407,0.575166411731887,1.07108393463563
19,4.42553226040852,7.81893348553564,2.84746827043711,5.03031204126952,0.698286863134194,1.50636011536058
21,7.30098837424837,25.5927238539474,2.11541066561469,10.5481602613011,0,0
22,8.03735489933861,11.3950299023182,2.67298971602151,4.50276965564038,0,0
23,9.80868183622203,14.1043221928394,3.27912837665214,4.96749742430795,0,0
24,8.78658912109915,16.0611229772531,3.22679677142524,8.10732715911735,0,0
25,6.38809732959264,15.0346577565098,2.29544138981389,5.11059282581563,0.581550236936044,1.70120937254532
