patient,Q9NVT9_N,Q9NVT9_C,Q9NVT9.2_N,Q9NVT9.2_C
1,7.69269563664163,16.6465303300339,0,0
2,10.2195896933609,11.3817414271549,0,0
3,9.63743473827501,11.0391156735471,0,0
4,8.00114016152999,11.4337895243465,0,0
5,13.3156239992538,28.854526978874,0,0
6,11.7932005974037,20.4405115104121,0,0
7,15.0138313209773,17.771666014499,0,0
8,16.1615685176701,19.1034575750283,0,0
9,7.89198737957034,10.8098696848055,0,0
10,7.80867729438219,10.6326381754987,0,0
11,7.81248620579192,11.2618995400538,0,0
12,8.85688342385438,11.9438107853841,0,0
13,10.4712464820867,16.9538728267349,0,0
14,10.5633484881201,17.2398090962504,0,0
15,17.7132037720058,16.5739153456612,0,0
16,11.2857937244397,16.070505433421,0,0
17,13.3979987268793,16.3138505248822,0,0
18,10.8494186225628,13.4082500789927,0,0
19,8.45559662950407,11.6714914048038,0,0
20,10.9483341058986,19.1099653910554,0,0
21,8.69277134392438,14.0849751653118,0,0
22,8.87142871360951,14.3463333458225,0,0
23,9.96167144236538,10.4586135880418,0,0
24,8.22748309363892,19.6042274895082,0,0
25,13.9525543535914,26.9278618909574,0,0
26,15.6419169483434,17.5785852054786,0,0
27,13.5475340357846,19.0509297395659,0,0
28,13.7614967421743,24.9977964098815,0,0
29,10.0255438596849,14.3670785307033,0,0
30,10.1239230256871,14.5866258087547,0,0
31,9.09046784577333,14.4442977470666,0,0
32,10.1964321501039,14.2212117157766,0,0
34,12.8866698020325,21.5893150254671,0,0
37,16.6957854355407,27.3825720851617,0,0
38,13.2108647485939,26.9589750170446,0,0
39,14.1561550213013,32.8288907917345,0,0
41,15.0526930041523,16.7081206903041,0,0
42,12.7610722233334,25.1817294428614,0,0
43,10.0330800518209,21.7184067488366,0,0
44,8.92782018320416,27.6656508380779,0,0
45,9.68285218287377,12.8138320938456,0,0
46,7.49987762601002,18.1569768174729,0,0
47,10.7124396298106,17.5146264931419,0,0
48,6.38884012033073,13.1616831279262,0,0
50,4.5099387380834,6.0083602447843,0,0
51,5.58244985657438,9.87951725593451,0,0
52,4.84890292732919,9.53651908535235,0,0
53,11.1872410011858,15.4702330089584,1.02897744512997,1.40749637571221
54,7.669659960145,9.69059353615832,0.964481979703988,1.20090354337345
55,9.3786035073306,12.1797131888959,0.89178550959172,1.87422035669735
57,10.8952889677518,18.5376797381955,0,0
58,13.1099268064553,17.3118768960941,0,0
59,12.7034903909722,18.6966156099837,0,0
60,12.4125317388895,12.0766625322492,0,0
61,12.9869792560248,22.5199526275639,0,0
62,13.457637724719,27.6769230690546,0,0
63,14.3080699036528,25.2666521299915,0,0
64,16.4776129527065,20.3327162829851,0,0
65,11.3376843242252,13.2065717349565,0,0
66,14.8056692703034,14.6450722461473,0,0
67,13.0382505697588,11.7429636096121,0,0
68,10.506252354572,12.0496550140996,0,0
69,4.10591548348759,5.81095145567073,0,0
70,4.83233227161042,5.11685895616786,0,0
71,3.97394129452816,4.52200493867697,0,0
72,3.12083314055899,5.21676596957061,0,0
73,12.5600585938623,14.2276134279934,0,0
74,12.540805175413,19.709363714652,0,0
76,11.5707813291582,15.2563217254977,0,0
77,16.8702542477806,19.6790188599575,0,0
78,16.6912606351381,21.5490655671783,0,0
79,16.3527012010597,24.330933090281,0,0
80,13.7024347987235,20.8985497401806,0,0
81,14.1768714495671,21.117078420991,0,0
82,13.0619846871098,20.636019144115,0,0
83,12.3369071223722,22.1736760051964,0,0
84,12.6862117815138,28.3869916297535,0,0
85,6.61138042385186,10.0092758068194,0,0
86,8.00313652170742,14.3337994969853,0,0
87,4.00770880836439,8.08102212438335,0,0
88,5.04591679536504,18.233314207377,0,0
89,9.00788227921246,25.0583070064198,0,0
90,9.4574811476256,18.5482149564634,0,0
91,10.9936269063065,12.020165126579,0,0
92,12.650327558756,17.6374082197849,0,0
93,12.9532365502899,14.2260486413638,0,0
94,11.2213295431366,15.8835534327493,0,0
95,8.57552328009954,17.0753503232291,0,0
96,10.673506894608,16.9145841866593,0,0
97,8.3827515395745,10.8376555470516,0,0
98,8.15460384013132,11.6989724821582,0,0
99,8.81206943868194,16.0899921812169,0,0
100,9.71861164175801,18.5332508817932,0,0
