patient,Q8N3U4_N,Q8N3U4_C,Q8N3U4.2_N,Q8N3U4.2_C
17,0,0,0.898860725715849,1.0149025166693
18,0,0,0.965872760925764,1.12993301685881
19,0,0,0.752973109863569,0.841946301310259
20,0,0,0.825927115679766,0.984738857530377
22,0,0,0.996686947856435,0.909865448269232
23,0,0,0.894688892042723,1.19051652176832
24,0,0,0.654400285676353,1.39626758962104
25,0,0,0.574124875547666,1.0819330225704
26,0,0,0.871802678731819,1.36530071032977
27,0,0,0.641534653314619,1.04386811554048
28,0,0,0.634927642575943,1.33915278027274
29,0,0,0.952128391185183,0.889090171056295
30,0,0,0.817078120963873,0.848266792803492
31,0,0,0.507318284136617,1.11790102955829
32,0,0,0.619194267483872,0.78604712015539
33,0.336278239323714,1.87435505028422,0,0
34,1.09057717533887,1.98008307826847,0,0
35,0.626307389593354,0.7981781081475,0,0
36,0.246010785599767,1.00612884419181,0,0
41,0,0,0.871573837806432,1.23075544255915
42,0,0,0.874796158351095,1.21334584626605
43,0,0,0.681514614274427,1.26960253582617
44,0,0,0.409600413709697,1.09059274009533
45,0,0,0.67151110249749,1.01051127888315
46,0,0,0.492211810871019,1.23121329381714
47,0,0,0.823054694798365,0.974053886908482
48,0,0,0.547403102210047,1.25601834410883
49,0.544357344187596,0.949579907606689,0,0
50,0.651870379208803,0.663804515205273,0,0
51,0.767947355624195,1.26853044206507,0,0
52,0.394391563932389,1.10005223013679,0,0
53,0,0,1.49583508352451,1.70077870044266
54,0,0,1.25494846360141,1.89078807069695
55,0,0,0.911325083201396,2.46121037836441
56,0,0,0.745368186371127,2.2219780929917
57,1.02594712693904,1.61562595586629,1.02803913659347,2.14454836258572
58,1.08397640375792,1.75631199475639,1.15503606908003,2.40507593737395
59,0.850051125191173,1.48428228097007,1.20719317830039,2.28794758022908
60,0.944295389993446,1.29063578763382,1.23728201424002,2.83886642714421
61,0,0,2.96951373950821,3.91256442778056
62,0,0,1.60543759893418,2.11560394914712
63,0,0,2.03746793389873,1.93735431833277
64,0,0,1.85142864200327,2.04439549121444
65,0,0,0.885635557982797,0.858101538677953
66,0,0,0.870128795495261,1.68941377983542
67,0,0,1.20872896678127,0.681403883310371
68,0,0,0.947017182386502,1.72331103305324
69,0,0,0.908026755852843,1.32890121543356
70,0,0,1.86435362681386,1.82019106144239
71,0,0,1.14667681793875,1.85939128622055
72,0,0,0.631123618928497,1.29018589516999
81,0,0,0.793990669173456,1.50282013787341
82,0,0,1.31745003829817,1.62681568135924
83,0,0,0.769027226516259,1.7908154028271
84,0,0,1.23236543416197,1.24502471972704
85,0,0,0.905193459754065,1.30236475834422
86,0,0,1.03844871852619,1.3006711409396
87,0,0,0.459026169992343,0.989342822395388
88,0,0,0.692786811404892,1.92256204675465
