patient,Q9P212_N,Q9P212_C,Q9P212.2_N,Q9P212.2_C
5,0.852504567802071,1.204967650252,0,0
6,0.489073464379971,1.30032040814525,0,0
7,0.68146663959821,0.602453814445729,0,0
8,1.37400368954834,1.17114914425428,0,0
17,1.19106000114615,0.945891994116411,0,0
18,1.01415690844142,0.656346826109381,0,0
19,0.679271810349768,0.859613364152133,0,0
20,0.902790884257579,0.966436799174769,0,0
33,0.822180043825707,1.00303032771528,0,0
34,0.904968271165454,1.48512939988107,0,0
35,0.814267792992774,1.40425549246898,0,0
36,0.327593088897759,0.906833714839645,0,0
37,0.912976779026217,1.7929138576779,0,0
38,0.993644943820225,2.4638202247191,0,0
39,0.787155056179775,2.10451535580524,0,0
40,0.986322097378277,2.53045393258427,0,0
41,0.969491566109608,0.892250542730561,0,0
42,0.748177520527743,1.25600079215407,0,0
43,0.60141447511541,0.695038685024237,0,0
44,0.493704025432947,1.45837515396745,0,0
57,0.788476215794393,3.11888815520548,0,0
58,0.707691955876089,1.6879453910866,0,0
59,1.11961135741911,1.32241669596636,0,0
60,1.45363359088479,1.45692373218078,0,0
61,0.854673047763457,1.08083775587566,1.08335648721148,1.07037600214194
62,0.526678354814253,1.88500758150114,0.950788326404009,1.32095821693247
63,0.689764973464746,1.33547194844579,1.03024485857611,1.74999115942834
64,0.73760993176649,0.921780705079606,1.08164394218771,2.02930523210289
65,0.982602465120398,0.977925015900107,0,0
66,1.02411180794281,1.55067505011553,0,0
67,0.965293487799184,1.21269915387278,0,0
68,0.815285034577701,0.854314765765258,0,0
77,1.73100958154791,0.805128272277017,0,0
78,1.40285711479853,0.957516457544282,0,0
79,1.69666724498581,2.04300075617956,0,0
80,1.06139130491713,0.800499536799102,0,0
85,1.44095973699695,1.50688795285371,0,0
86,1.12418862250283,1.66110338000019,0,0
87,0.320166058036256,1.55629442145866,0,0
88,0.982964574908238,1.48617272650858,0,0
89,1.12698516011455,2.49360775017471,0,0
90,0.791477685361542,1.08719631674865,0,0
91,0.912742021677469,0.876793324106935,0,0
92,1.0903410570164,1.42471121829567,0,0
97,0.494118513608073,0.592043236474791,0,0
98,0.706580304202114,1.00064449600412,0,0
99,0.864864839980849,1.38604389938497,0,0
100,0.731201892976835,1.28610098331676,0,0
