patient,O95171.2_N,O95171.2_C,O95171.3_N,O95171.3_C
1,3.45257230094652,2.20846645745445,0.692505537134241,1.27136183816546
2,3.47164446663049,5.5480391733364,1.06659319996252,1.11989533055743
3,3.60038187595566,2.41762003317891,3.31553341575198,1.80091968945721
4,2.64438382889742,1.80054861850562,2.4705283393652,1.60627581299768
5,0,0,3.21148151069655,2.58383800479645
6,0,0,1.14442037191686,1.54593370804656
7,0,0,1.32233199921739,1.10113699312845
8,0,0,2.86701902663406,2.27629530633589
9,3.21340707019833,1.58746468093054,0,0
10,2.75641479232141,1.77888482484826,0,0
11,1.94992255375469,2.16387822887542,0,0
12,2.49350974018023,1.56938587045369,0,0
13,2.37112205436388,2.82551535695465,0.176136013000638,0.140419058002318
14,2.71638450012801,0.741162742821443,2.06354267377039,0.342653542605202
15,3.42939748553635,1.1482710737111,2.35528562318721,0.641675066340279
16,2.86862180900033,3.0829146210684,0.161401442686798,0.233685776781245
17,6.08055434137365,2.86629427028756,0,0
18,8.38098970822771,2.22275363918523,0,0
19,6.61131180434448,1.73370454660897,0,0
20,5.40170220534001,4.05701462171195,0,0
21,1.7965784309874,0.79473052613951,0,0
22,2.69642281248571,1.54508974839664,0,0
23,2.97925547778166,0.912155827833194,0,0
24,2.93767423341842,1.13306001283034,0,0
25,2.51861078643051,2.15767753953689,2.82102960760096,1.57350840756508
26,2.16591281574851,1.50625105614697,2.43399181668265,0.983667864954564
27,1.69246890329558,1.70600191230236,0.68963423469423,0.570345479510657
28,2.08707535158402,1.66979405901703,2.25560791836002,0.933795168668796
29,1.6396908981693,0.768749052652853,4.26528700464948,1.85816066072518
30,1.50332343414043,0.603803984752623,3.60782763391975,1.9820036611463
31,0.62714100455288,0.876303128631497,0.468542502814614,0.50674390023806
32,1.04170292316243,0.708214271679513,0.418118377063692,0.48348960526655
33,1.01874900346092,0.917930200058151,0,0
34,1.37652763578724,0.6198613755522,0,0
35,0.904918447931419,0.421934176835273,0,0
36,0.551649330794699,0.865840047271124,0,0
37,2.6109284612418,0.620131122252218,0,0
38,0.809949865021211,1.48118010026996,0,0
40,1.07852873119938,0.405569803316622,0,0
45,1.22639071364102,0.412200142420851,0,0
46,0.631714396410475,0.907807389867341,0,0
47,1.96309828120975,0.642437084831314,0,0
48,0.630476330650136,0.457878708515598,0,0
49,0.982551294057057,4.73897682734299,0.518209278568409,0.514810835564323
50,2.08079834141446,1.59607075511327,2.2301412568691,2.32438001972664
51,3.15533630996907,1.67789777946616,3.5568197830069,1.75358426095533
52,1.71039284440587,6.47191319349051,0.388679195434691,0.625223686064534
53,3.10407029660836,1.69737774766392,0.378194213393352,0.338540953126529
54,2.52058625821573,1.58627670430663,2.81195159343706,1.74292575920671
55,2.79033888004063,0.814287783531358,0.349893988322406,0.416311935283948
56,2.36027970950198,1.8017194995134,1.43689858759826,0.520496950125583
57,2.97606321768817,2.58807397556956,0,0
58,3.34193346634759,1.54573043447308,0,0
59,2.95594395073591,1.53720457473377,0,0
60,3.34273934659494,0.800116972544534,0,0
61,6.50692739331833,6.57610367268851,0.989277452005196,1.37344550249311
62,3.39482321389483,2.80686189941126,2.29532637570922,2.34796076539387
63,5.05625156505987,7.96365527170225,3.76815761586548,7.20035768279882
64,5.98120112698784,3.40668385311882,2.94495747931593,1.86206474396754
65,2.03759016640612,0.181957989795028,0,0
66,1.93106088861027,0.968825634636597,0,0
67,1.70036979137735,0.563126403580469,0,0
68,1.21105882539657,0.218272931429886,0,0
69,3.63229301964391,2.16603120729648,0.528922462302584,0.336178306388316
70,4.26802403693121,1.30135970534477,1.91404034069909,0.737947416725153
71,6.23859509722281,1.51371977324551,0.317895838437867,0.401457231965249
72,2.89946162312134,2.31834628797233,0.379073418078979,0.39015984285649
73,2.03904019729651,1.14267455647156,0,0
74,2.50948480360912,0.959325308927973,0,0
75,0.906955470885345,0.65661380868986,0,0
76,1.71268534572029,0.637905710576588,0,0
77,6.55742730087428,5.62437637238239,0,0
78,3.60747242985865,1.42263251840906,0,0
79,5.70129007358537,2.56395394752683,0,0
80,4.71592083085224,6.27766703548491,0,0
81,2.6642629540184,0.899976043872671,1.4820375534486,0.500904257296895
82,2.92338430485271,1.12522023176517,0.924283324037925,0.499731548614984
83,2.86554253730198,1.45998391562439,1.37649377207659,1.12710169176427
84,2.9480947320046,1.22669415985964,3.42760364379996,1.27712214166202
85,3.7661194210103,0.577220495665047,0,0
86,4.16239874579011,0.78492633982737,0,0
87,0.571450589949508,1.03017955491559,0,0
88,1.50794690114092,1.69512130697964,0,0
89,0,0,0.285244999985526,0.56342036016894
90,0,0,0.286447782451245,0.73031619718106
91,0,0,1.83604815761516,0.94078141780697
92,0,0,1.60432943791992,1.9514776421411
93,1.94293173754479,0.492390219197779,0,0
94,0.648547170744912,0.568520043891947,0,0
95,0.853714370537676,0.703660960907644,0,0
96,1.0674314770455,0.903711314400808,0,0
97,0.297383503974378,0.351713294060532,1.1571871256259,0.657222360835208
98,0.65167851372012,1.09624372323544,1.22129996971677,1.1776311654474
99,1.73645559347579,0.924979530320486,0.394651485687839,0.49070457086372
100,1.01444833307973,1.43043931917484,0.348558118096994,0.338494180476647
