patient,Q8TD57_N,Q8TD57_C,Q8TD57.2_N,Q8TD57.2_C
17,0.650300567887114,0.509206553975875,0,0
18,0.425775691239643,0.359770451250815,0,0
19,0.741461744091713,2.43607280126611,0,0
20,0.483897673923741,0.686810921519863,0,0
25,1.92991516335343,1.75039401673387,0,0
26,2.31654016504652,1.73332277089091,0,0
27,1.66856232687429,2.03497033693112,0,0
28,1.73669434089604,1.99180339542188,0,0
33,1.86149786938856,0.7982809558022,0,0
34,1.36239130165494,0.79116136904172,0,0
35,1.14988603706273,0.619500049549103,0,0
36,1.6708886631652,0.784300366663363,0,0
37,0.501075388261182,1.00462845414921,0,0
38,0.619689179467648,0.81341246667513,0,0
39,0.937439168888325,0.976566797850281,0,0
40,0.242993842833566,1.09006178325081,0,0
41,14.373196477097,25.0464842755722,0,0
42,4.06165914404441,5.56884525487597,0,0
43,2.62928671276239,3.31153310262585,0,0
44,3.77173761861389,5.74549532082303,0,0
53,1.03610377465785,0.802265384437171,0,0
54,1.20286943078951,0.79265498169748,0,0
55,1.13636746574333,0.974191129701473,0,0
56,1.1595015143282,0.942655613545129,0,0
57,1.57179504820893,3.23557678068916,0,0
58,1.47650779404914,2.31995729632279,0,0
59,1.45737661500055,2.62347304034029,0,0
60,1.97141853543072,2.63086366986172,0,0
65,2.66776174297557,1.40462640250325,0,0
66,2.88586385175316,1.72412244468741,0,0
67,1.85676617386934,1.74081189867769,0,0
68,1.92891382121734,1.46405144308373,0,0
69,0.639355492875774,1.13745413320279,0,0
70,0.814541271402611,1.01281617966902,0,0
71,0.837422759631459,1.40707284579511,0,0
72,0.622682031128039,0.944171714982472,0,0
73,0,0,0.863777767356063,1.68919320295768
74,0,0,0.874564242054745,1.38763046684071
75,0,0,0.49986712313777,1.28449717832075
76,0,0,0.813060492842887,1.39903703356313
77,0.492214987926871,0.279874525698517,0,0
78,0.92294038174083,0.260853598942164,0,0
79,0.730970449580315,0.45334095090261,0,0
80,0.881403070024146,0.386307778544326,0,0
81,0.97208085948544,1.35198143436057,0,0
82,1.18605103194798,1.41512345679012,0,0
83,1.18830105550843,0.945887522382433,0,0
84,1.48055673357836,1.21117825841108,0,0
89,0.819549559120365,2.73198767661744,0,0
90,0.544984595771805,1.46258578561564,0,0
91,0.801351322638904,1.26994157016892,0,0
92,0.92404759375332,1.30179751407628,0,0
