patient,Q8WY36_N,Q8WY36_C,Q8WY36.3_N,Q8WY36.3_C
1,0.544170372837523,2.28451392018181,0.549429426946756,1.00616430747132
2,0.733748359162242,1.42530269783116,0.52076255531988,0.576690857138428
3,0.655769381477636,0.925163104171157,0.48321350050508,0.826929187970041
4,0.589215042808722,1.27064271859877,0.433490842670649,4.25556815745078
5,0,0,0.419133547632963,2.78759223407364
6,0,0,0.41130415327294,1.03454668322618
7,0,0,0.305485644360023,0.544034921098773
8,0,0,0.47791861484512,2.22351694915254
13,0,0,0.276562630642252,3.49294681143321
14,0,0,0.420182510959019,2.22076301047527
15,0,0,0.516071236607303,4.6694616643375
16,0,0,0.352239581467015,0.937667968610026
21,0,0,0.467478377947264,1.16991324142891
22,0,0,0.374348769996512,0.566088186072667
23,0,0,0.517023226640208,1.21749122005423
24,0,0,0.558282888635952,1.91934075381816
25,0,0,0.240480821565244,0.698693309593226
26,0,0,0.239741193446718,0.792748015914873
27,0,0,0.191914299336318,1.00730767770272
28,0,0,0.27504082089017,0.591858605718722
29,0.637756420434557,1.06750601648189,0.317436773669733,2.67173204396457
30,0.674294289245675,1.15342729319025,0.369678627258516,1.6697870844997
31,0.527339578643902,1.08386026195435,0.264610826335115,1.26487197198289
32,0.398797014953254,0.848163610947662,0.299011160795434,1.89079749397123
33,0,0,0.479850832950286,1.9128610979468
34,0,0,0.570048806469106,3.09441369202018
35,0,0,0.622076857791097,1.58630798256963
36,0,0,0.367147602527017,2.16596260849804
37,0,0,1.16941999394301,1.24027705864538
38,0,0,1.24831723019509,1.47598206348121
39,0,0,1.10211897109251,0.565218198337257
40,0,0,1.53152079405242,0.843762761207882
41,0,0,0.446551675910174,0.700889258459653
42,0,0,0.337613064496032,2.06530467973218
43,0,0,0.344445885431368,1.43260122721228
44,0,0,0.222534831620678,1.49852637896091
45,0,0,0.204001011512879,0.932056277355825
46,0,0,0.160834321990718,0.995341253495947
47,0,0,0.375087595253941,0.49152354723979
48,0,0,0.220732491328542,0.995907398763791
51,0,0,0.523188504827075,1.00144958659938
52,0,0,0.49532422908349,17.2461759222202
57,0,0,0.323347524323639,4.39437571967336
58,0,0,0.37595208163869,1.18366592366444
59,0,0,0.258270037290965,0.617553163393583
60,0,0,0.47225045161154,1.68326977319065
64,0,0,0.257200787364317,7.92006170210752
65,0,0,0.850729000267354,8.59944538584041
66,0,0,0.849449364658374,2.99879248315703
67,0,0,0.706471932763448,3.0789424842043
68,0,0,0.85701731324019,1.62811187690671
69,0,0,1.69142128514943,1.89506927126681
70,0,0,1.84266853050162,2.65033464679149
71,0,0,2.07333394382896,3.6876239061639
72,0,0,1.63985662360539,1.57604222703889
77,0.892290226584175,1.40342462532664,0,0
78,1.0048971201709,2.3860529480126,0,0
79,0.997373423886392,1.56603051127547,0,0
80,0.802516407703728,1.3117430120312,0,0
81,0.891054105671215,2.9789491642695,0,0
82,0.747769094795107,1.22191523744983,0,0
83,0.587769473918669,1.51934714922777,0,0
84,0.843715790022416,1.41773255676191,0,0
85,0.539350422762045,2.23114826389555,0,0
86,0.642043254021512,1.4895124336139,0,0
87,0.182760703261307,1.02571083459555,0,0
88,0.423267250800468,1.51489732921755,0,0
89,0.414936056239516,0.868234180541915,0,0
90,0.660123259529788,0.957874809697422,0,0
91,0.373956346106729,0.93821108246829,0,0
92,0.573586106812361,1.76021560994201,0,0
93,0,0,0.229918625218793,0.266564755760198
94,0,0,0.265525633979744,0.632839019253772
95,0,0,0.146447127174651,0.363043749336117
96,0,0,0.223908806672547,1.01979642449741
