patient,Q96EB1_N,Q96EB1_C,Q96EB1.3_N,Q96EB1.3_C
1,0.655189783090049,1.12753087844857,0,0
2,0.754170820521969,0.831748397049101,0,0
3,0.967506532484023,1.05123566264049,0,0
4,0.689169193959682,1.35268697595836,0,0
5,1.54549926522831,2.26303892335527,0,0
6,0.902043994909044,2.82885973933674,0,0
7,1.07467158881167,1.54431551145085,0,0
8,1.63588909852015,2.52067785141637,0,0
25,2.49969802902377,2.84122286019736,1.21941866882101,1.39483071531385
26,2.11969080726535,2.63921974833969,1.4014359756271,1.15985185100899
27,1.66030122519624,2.43785924557284,0.945536471163857,1.37462806296901
28,1.62071893936602,2.61411224753481,0.941992046379054,1.43833099124419
29,0.864660401498486,1.14456522739615,0,0
30,0.796548328010088,1.14931472805427,0,0
31,1.10157120108981,1.50167981370176,0,0
32,0.6874773340206,1.07699529652164,0,0
33,0.410615696713945,1.47334948256824,0,0
34,0.871784775779571,1.43900810600289,0,0
35,0.796390389207974,0.928201528756195,0,0
36,0.256563979217133,0.930769428299965,0,0
45,0.670976319165859,0.965340872806228,0.834671063757822,1.01031456113648
46,0.448568641907936,1.29412072058473,0.682572298325723,1.04502283105023
47,0.965160900788974,1.4113695870513,1.02299847792998,1.51841535599526
48,0.392919552508287,1.08466232024569,0.592054794520548,2.43855910705226
53,1.04271032338135,0.918556427884146,0,0
54,0.789067228179777,1.05216772880032,0,0
55,0.682260741029967,1.04061580510661,0,0
56,0.769008938656552,1.01632943342026,0,0
65,0.870718838278897,1.30006653748278,0,0
66,0.901431139541942,1.48019634394042,0,0
67,0.985449303107417,1.39168981859781,0,0
68,0.917446828379987,1.41298764970934,0,0
77,1.13117857179203,1.21044543724494,0,0
78,1.07130863091906,1.71488759756979,0,0
79,0.98114244425674,1.42435097646113,0,0
80,0.791813805806865,0.936476598516227,0,0
85,0.724645664832138,1.74034298305678,0,0
86,1.15027003094158,2.10658113541704,0,0
87,0.306601728815828,1.07908379968801,0,0
88,0.770218856345598,1.83639059499477,0,0
89,0.690086543171798,1.30917865631293,0,0
90,0.615378800249167,1.13992658042588,0,0
91,0.645665886508095,0.894754189572485,0,0
92,0.847587858555437,1.37088073250237,0,0
