patient,Q9Y305_N,Q9Y305_C,Q9Y305.4_N,Q9Y305.4_C
1,1.29365099095056,5.57285390719373,0,0
2,1.9426779709995,2.7979195582452,0,0
3,1.72052868190137,4.10721000270207,0,0
4,1.75978542379453,3.28185995891195,0,0
5,2.31012366541025,9.19826553310208,0,0
6,1.87959773213683,4.62120046886142,0,0
7,2.29193041619898,5.12132343874729,0,0
8,3.19483549586503,10.0828611980142,0,0
9,1.11975112586148,7.40015426406298,0,0
10,1.66395400249695,2.59490778135448,0,0
11,1.39994630525368,2.87406448436642,0,0
12,1.65005617158964,7.36611643466798,0,0
13,0.349193935205886,0.824368928092354,0.460940219357216,2.35508022850279
14,0.710706881834072,1.23568147636275,0.799234229007842,2.16563039605785
15,0.499939026868826,2.12412097069225,0.837611504310021,1.47039633085129
16,0.336578187878542,0.8264582740539,0.601534272005678,1.25464956763287
17,1.10373770136335,1.57446039590542,0,0
18,0.711558233875121,2.78021918451795,0,0
19,0.432353658646766,0.867368972651627,0,0
20,0.662964502227081,1.45654707588338,0,0
21,1.59325930534418,2.57680525791439,0,0
22,1.20550273285794,1.99025582506196,0,0
23,2.37407370377933,2.22647409696728,0,0
24,1.38427041269108,2.80634354029089,0,0
25,0.848209565366315,2.12584261535467,0,0
26,0.612605961839377,1.32239950046751,0,0
27,0.623649714545267,1.58386688778284,0,0
28,0.60805634420086,1.9266678651475,0,0
29,0.615668381405387,1.29861598583507,0,0
30,0.782281266042935,1.31399624922732,0,0
31,0.613055412951691,1.05918467840791,0,0
32,0.393171079237692,1.08212934927237,0,0
33,0.249827452385217,0.684184130395845,0,0
34,0.575003482794993,0.883077596672438,0,0
35,0.530905327681255,0.993340895973889,0,0
36,0.246967580154039,0.811925090055128,0,0
41,0.945380803069658,1.13253239258836,0,0
42,0.615846406453122,1.62553840970181,0,0
43,0.578648676511633,1.84976577763585,0,0
44,0.458038617145127,1.04819725470771,0,0
46,0.550689647586783,1.03458137181574,0,0
47,0.69115997184214,1.57358440758502,0,0
49,0.159422351744342,0.96479446012478,0,0
50,0.292039233983749,1.37921424947286,0,0
51,0.725130095790276,1.52078600549194,0,0
52,0.368031493252357,1.41431525377922,0,0
53,1.88598812738571,6.11535130882925,0,0
54,2.28751085590093,4.93794322977467,0,0
55,2.40797172065465,4.23237487647016,0,0
56,1.84375724757504,6.40049551513403,0,0
57,1.57208181590891,7.88236577306184,0,0
58,2.01929361376227,5.37316742008238,0,0
59,1.87173293239584,3.88209549291844,0,0
60,2.75774406734032,3.2095267580874,0,0
61,0.9935062493311,2.12488827567056,0,0
62,0.488813104359924,2.46076993610381,0,0
63,0.51390588255712,1.52497563035662,0,0
64,0.661992323200768,0.863119256501705,0,0
67,2.53312942116061,3.72118591139643,2.36483025087819,2.6745247863987
68,2.25615898685379,3.5065266216471,1.8496816647547,1.94590462915152
69,1.07817561913001,1.92761003848141,0,0
70,1.79194237271574,1.57731389216106,0,0
71,1.08742201075382,1.22460648573858,0,0
72,0.571862673637719,1.71603736330338,0,0
73,1.63022281183712,1.71609788341229,0,0
74,1.43491672717158,2.38159825676086,0,0
76,1.20866489143911,3.14156097795203,0,0
77,2.22550920933474,2.6770721255502,0,0
78,1.87051366598106,3.2212525777742,0,0
79,1.61299489913092,2.43262142156689,0,0
80,1.28194767379626,3.40764049995324,0,0
81,0.747657475369542,0.832635102561839,0,0
82,0.864418748344955,2.52384961670865,0,0
83,0.728581176965853,2.70549712446614,0,0
84,0.569045064741949,1.1504613755033,0,0
85,1.42972079708476,3.51700672609869,0,0
86,2.28004482293863,4.35188976008543,0,0
87,0.804889147791467,4.12614416550135,0,0
88,2.08489464278702,8.06374465626349,0,0
91,0.388735116704582,0.795811774159396,0,0
92,0.356246776304002,2.23254046247482,0,0
93,1.18623535276748,1.18884834427826,0,0
94,1.14020759077529,1.73814328050596,0,0
95,0.630245309941561,2.32740325284192,0,0
96,1.40184181148408,2.25713467303184,0,0
97,1.21651544001296,2.08822918426479,0,0
98,1.08898014638462,3.12888441461065,0,0
99,1.36414321830629,4.88569305517956,0,0
100,1.74836890990799,3.38414264945593,0,0
