patient,Q7KZ85_N,Q7KZ85_C,Q7KZ85.2_N,Q7KZ85.2_C
1,20.2665236835629,45.6883891555818,0.421943875003983,1.16936014955336
2,25.4450450920253,30.1349153890052,0.670106323090486,0.902081319638438
3,27.5896491977151,35.4942478011329,0.602501938457943,0.867563491136202
4,22.449430469937,38.5637706095289,0.386794056103753,1.35774374117072
5,21.8579313795268,45.3916753871796,0.641841242553872,1.72118831540932
6,14.6266628049856,37.0692070567905,0.529386385746079,1.43902337451192
7,17.1280704993486,30.6426179551827,0.455088354055891,0.908884046962246
8,26.1983071078692,30.6335543140461,0.570403390237077,1.10143891842908
9,28.6193282535416,43.2873155033123,0,0
10,23.5715338666911,43.7399659785144,0,0
11,23.1369232638555,51.8651775719003,0,0
12,29.2089725369972,51.3175512309305,0,0
13,21.689336566941,47.0704473993173,0,0
14,28.7349192474007,47.8506693331086,0,0
16,27.5150345800617,48.4629870069934,0,0
17,24.1451248768278,37.4778952518134,0,0
18,17.7397375420668,16.5274636621643,0,0
19,14.0477390532434,21.8658162167914,0,0
20,18.9972239888058,31.7080590529978,0,0
21,26.2062486708732,54.5831087040501,0.671117181801279,1.81908548707753
22,30.4009455716624,41.0178653956188,0.856111532245377,1.0324313114121
23,34.8885610638399,46.5519091295427,0.765024958164681,1.20298353762318
24,31.1518189636657,57.2406596433724,0.6987857030479,1.54481027504041
25,31.4962451919113,51.2393907804447,0.72564810138107,1.094110455248
27,24.5534244439987,57.3813368729945,0.645818746219996,1.72430843534377
29,27.6451264076787,40.6772085216372,0.918274603086795,1.30548948018661
30,27.6076164414965,38.3577349217163,0.77163522708414,1.40116354114805
31,26.4394426975985,41.9901696344157,0.637751470561118,1.95982924895355
34,23.2445189510541,46.7926580125682,0.652668024082428,1.25614786470309
41,27.5766129749557,32.2879963604417,0,0
42,21.9325352663801,42.6913268791171,0,0
43,20.2781190160478,50.330968364452,0,0
44,16.769686364096,43.4746869263676,0,0
45,15.2704613255368,23.3372272832057,0,0
46,10.8666292847274,34.4260733473097,0,0
47,18.3850362550546,35.2349369139677,0,0
48,12.8782477452215,30.1771817775134,0,0
53,37.0230529307606,44.2948068963766,0.802373951867581,0.946085157355984
54,28.6694670584079,67.081020429873,0.643184870594214,1.40019238447857
55,28.4146107854269,59.6249946362046,0.630385857925878,1.38913209190896
57,22.7080688759973,48.7126925266488,0,0
58,25.786376088525,46.5213166230366,0,0
59,24.3903500583577,40.9718304925539,0,0
60,26.9121031877563,35.7308744588407,0,0
61,26.3081306264499,43.787223333406,0.621083187159467,1.20500613154096
65,31.6768108188124,56.2961808171875,0.905026685020165,1.32158467965901
66,34.3886074487669,61.8095955662731,0.834860779057693,1.8444963655244
67,37.5566957751095,63.5206975008861,1.10326257576855,1.2949600328431
68,29.0420011944338,50.0481442348603,0.929622787316767,1.35306334371755
69,25.4841217560424,39.8329697984015,0,0
70,26.2984103596499,39.0978801075637,0,0
71,20.1235630571387,38.892654126663,0,0
72,13.846801162246,34.6932116328046,0,0
73,35.9283911564553,41.8261483899721,1.06104613945928,1.21239792709197
74,35.7958978495045,52.5146815628635,0.952780669186367,1.56637591775164
75,20.1804570692547,49.5578066750996,0.828378355812102,1.14936181819194
76,29.2452136462475,49.8866258077392,1.03777045493763,1.84494659089011
78,34.6457130834254,62.7881791281429,0,0
80,26.9605547681708,42.228370048689,0,0
81,39.3215405972419,70.6672131964619,0,0
82,32.5158082557594,57.0003383595305,0,0
83,32.421792852734,57.2703848516736,0,0
84,35.2508826887031,49.742536266099,0,0
85,19.9152591016307,39.8920385044129,0,0
86,24.4925709671443,50.3306559657957,0,0
88,17.9263792571804,64.4561820765431,0,0
89,17.5451727842579,47.8608834699943,0.640031456821977,1.82973111486158
90,17.4324669624408,45.0319857651112,0.501351936450151,1.74412172729763
91,21.1314876703853,37.5487098423197,0.682352369423262,1.19164803704129
92,25.3634825369552,55.379890980187,0.657390144118193,1.70230447729542
93,18.8087088266669,23.115635556847,0,0
94,18.5964797952811,25.3192385822136,0,0
95,13.7554118414149,28.8210237199191,0,0
96,19.1687700205506,35.393899697009,0,0
97,16.256036141999,22.8956988027154,0,0
98,18.297497062698,32.9601848328461,0,0
99,19.6936058632669,39.7192762262769,0,0
100,18.3088846184132,33.9356974523617,0,0
