patient,Q32MZ4.3_N,Q32MZ4.3_C,Q32MZ4.4_N,Q32MZ4.4_C
1,1.522215214118,3.53914206451716,10.1942465231711,10.0252938762492
2,1.72799900175391,1.39083362859184,10.6210521660577,8.61267588377357
3,2.16388370435176,2.72499386809845,12.6839151492222,9.78276476275289
4,1.40746195404621,2.45618048719404,9.95037484554338,9.25669835186393
5,2.17953896533249,5.27105662390512,7.15200311864362,5.38555812252598
6,1.50258757925879,5.68513622768358,5.12665377193761,7.56809867108972
7,1.50412832758059,2.98543374021601,5.81960771463042,4.17713568406456
8,2.78766076547561,3.15595095178575,9.6053661372539,5.89062315916485
9,0.957072783266677,1.19695238360669,9.13701963534323,5.96872134974719
10,1.00368352354807,1.55762879558535,6.27135359507126,6.68259256838628
11,0.816302262603178,1.36623885768965,6.53103697557758,7.18615186497046
12,0.9643840897795,1.22245137795367,8.9187006699981,6.98836129412272
13,1.719700683979,2.23426313068382,4.08827133155078,3.29447240257919
14,2.02058596868136,2.71608534767966,5.31578478536308,4.43956015959026
15,2.41463910542027,2.46456749686682,6.97602055673465,2.87566023728641
16,1.74002363044885,2.27350796229076,5.22732847488982,4.83591220341033
17,1.34946275416787,1.2785788281777,5.93319531721986,4.56011605960206
18,1.03740242844753,1.02209212681893,5.69128647796942,5.67183270226671
19,0.538847932928592,0.903494507082972,3.60855471565008,3.95475549765408
20,1.03878168063988,0.916389611641129,4.62845152209071,3.65109713608429
21,1.05835205946644,1.17983210771558,3.84709626469688,3.42302750054929
22,1.02865557589748,1.45259890153626,4.30438382367429,4.9346984465115
23,2.01579730466143,1.06915300730472,4.43438311372071,3.80702809337021
24,1.37516761675004,1.39383047900122,4.12505564827047,4.68752412139533
25,2.23613004051441,2.86886790447469,5.70455926876002,4.3958407302275
26,2.7473465389601,4.10078323013238,5.3768832035646,4.60583860089315
27,1.67999968162003,3.232319866436,3.98660725596746,4.09293393827343
28,2.39073782623706,2.86264869157024,4.10635679401031,4.38231935182421
29,1.14895716202982,1.78906017628496,1.97964066647143,1.76318427030064
30,1.00948166418804,1.57340491131343,1.72526234002197,2.20786744381818
31,0.754695491312706,1.8211614494541,1.78655308470849,1.69090017285306
32,0.670186078566506,1.73850339149044,1.79251539732618,1.7830291668194
33,0.429022478592392,1.20988642242734,4.33716730004068,4.87749081383801
34,1.25923875465987,1.18434960037521,7.20842231961779,5.18671431037442
35,0.9027652198299,1.16672549427277,5.87312532143271,5.32028845233239
36,0.216271957605442,1.41272078484085,3.09214599633074,6.12701424193547
37,1.67523248824124,2.08624158610795,9.01436667286101,6.94529609621601
38,1.34077039392368,2.85698876869091,6.51779120839746,6.93592047932459
