patient,Q9NRW4_N,Q9NRW4_C,Q9NRW4.2_N,Q9NRW4.2_C
1,0,0,1.0223344049931,1.42102810432272
2,0,0,1.30086439968013,0.635349177940854
3,0,0,1.26645886259001,1.07164163407262
4,0,0,1.04181467720556,1.14480825268686
5,1.43376802969601,2.1289603648309,1.09348082047469,0.765483825989961
6,1.10875954239115,2.7899552324304,0.564483795005267,0.978388176240937
7,1.36547736879418,1.57666665491952,1.53432329429262,0.655957581954514
8,2.26777308965019,3.31129778598386,1.62346625766871,1.85779574890004
9,0.704193431199326,1.34860631780578,0,0
10,0.718993048101851,1.82844416189171,0,0
11,0.624865833319573,0.96552948364405,0,0
12,1.07055103287703,1.00510246206179,0,0
13,1.46148570547892,0.599802214173795,1.01024389358691,1.00554839763365
14,1.59406385656675,1.68544090827361,1.12241861140348,1.27461165753276
15,1.25386196090519,0.243134520048291,1.68471672776104,0.957849417486299
16,1.0762091906193,5.43302252703501,1.08482742351105,1.51251678583094
17,1.25092731135274,1.51271338630108,0,0
18,0.857855208969191,0.947885343568252,0,0
19,0.75633333923892,1.12274977008477,0,0
20,1.04947646972608,1.04578333046107,0,0
21,0,0,1.2923394864969,0.917335108059827
22,0,0,1.33129006269922,1.3122964026761
23,0,0,1.41243125853795,0.854142877158569
24,0,0,1.635661494273,1.0132666643315
37,0,0,1.2015544758183,1.01862258572096
38,0,0,0.780954645271731,1.32887797624194
39,0,0,0.727451455051614,0.557195718707312
40,0,0,0.416815658879878,1.20703577542234
41,1.13178796711856,1.25084439920418,1.28110236220472,0.917650918635171
42,0.815265503786301,1.41045204275205,0.979133858267716,1.20006999125109
43,0.702538595598328,1.09680285013649,0.99245406824147,1.01787401574803
44,0.64763182652416,1.04846774317926,0.46074365704287,1.53889763779528
45,0,0,1.08785657686212,1.12022087955626
46,0,0,0.594790634904913,0.970161450079239
47,0,0,1.29772310816165,1.7509162044374
48,0,0,0.34309813292393,0.656590481378764
57,0.620320296899304,0.673060537968117,0,0
58,0.923538422825458,1.1686157305421,0,0
59,1.10911225989873,1.88976053517218,0,0
60,0.963845564095433,1.75540830276195,0,0
65,1.09274684436471,1.35270231306465,0,0
66,1.24248734542193,1.40666047286474,0,0
67,1.07289197155123,1.6438697379381,0,0
68,0.670517235855706,1.80671333376049,0,0
73,0,0,1.12703765236129,1.30142176456719
74,0,0,1.14641488329248,1.29081747350298
75,0,0,0.427545934564835,1.0651412717473
76,0,0,0.884551401202989,1.11829761101881
77,1.71471228615863,3.99843126648184,1.20037931394949,1.40984822464147
78,1.59756846304686,1.51096896341876,1.01096625499654,0.905042087919199
79,1.03434714990872,2.00193657448103,0.739542732553798,0.902224611601432
80,0.874163229427277,0.946806410169721,0.774567049465127,1.08925824709168
81,0,0,0.938021924790177,1.09534966986447
82,0,0,1.0550752414149,1.08221796316383
83,0,0,1.11663735638841,1.44995840397637
84,0,0,1.11508935247101,0.703072840429229
85,1.04981326144903,1.74966868966764,0,0
86,0.916607683387799,1.4356617923889,0,0
87,0.566966100929175,1.30742210442299,0,0
88,0.803137659443097,2.03372212098851,0,0
97,0.563576454307484,0.637124439368425,1.01837258721445,0.535692501426519
98,0.907591660136386,1.16178910248929,0.957283119847313,0.704715384766739
99,0.807849258882572,2.01257356986845,1.22025460913366,0.932171457804537
100,0.878647231438718,1.15546376110842,1.37860319146843,0.894427719733192
