patient,Q9Y6N9.4_N,Q9Y6N9.4_C,Q9Y6N9.5_N,Q9Y6N9.5_C
57,0,0,1.30015352256511,0.416284889186466
58,0,0,0.968105179864873,0.403523579578117
59,0,0,1.56393504710505,0.540854586402094
60,0,0,0.771542191652971,1.00688484454995
65,0,0,0.983393797975247,1.4357926023556
66,0,0,1.07191537864091,4.14065678386384
67,0,0,0.753667385069548,1.30801327420239
68,0,0,0.695389332893998,1.35131245818189
81,0.668831791786821,0.758277230069468,0,0
82,1.40188371528699,1.55496803101528,0,0
83,1.04351506464338,1.98992116386291,0,0
84,1.03529849946107,1.06640971089654,0,0
