patient,Q96N06_N,Q96N06_C,Q96N06.2_N,Q96N06.2_C
21,0.863499647768691,1.84595546571105,0,0
22,0.961965144414837,1.27466078593525,0,0
23,1.16400502312475,1.1749517596251,0,0
24,0.982498698275598,1.90108732273577,0,0
25,1.2923731821893,1.25011241140207,0,0
26,1.17570789601354,1.12691247293252,0,0
27,0.959620641099975,1.13312172379927,0,0
28,1.03016471228597,1.29597034705541,0,0
49,0.4323454803781,1.15336157623963,0,0
50,0.316681047625844,0.878992338084456,0,0
51,0.810080511745892,1.48837088601846,0,0
52,1.06911943116278,1.62298963922174,0,0
89,0,0,0.855878935291742,0.981823576019223
90,0,0,0.931283016069047,1.1524999499645
91,0,0,0.570164481390916,0.741315309566669
92,0,0,0.974328847405866,0.988472999080524
