patient,Q9ULD2_N,Q9ULD2_C,Q9ULD2.6_N,Q9ULD2.6_C
1,1.81848844075843,5.35491606929602,0,0
2,3.08513276515618,7.13932079162091,0,0
3,2.95114477023282,7.46761217276233,0,0
4,2.78430308277379,5.94091122169355,0,0
5,0.376377039010327,0.645054920994052,0,0
6,0.312157792942379,0.847637120023355,0,0
7,0.488252381126154,3.08507827610116,0,0
8,0.558854869904755,0.941648724592198,0,0
13,0.535096950639301,1.01440553535532,0,0
14,0.81913050053879,1.88591311727131,0,0
15,0.945165281357456,1.87375096362487,0,0
16,0.573837296010856,2.9653809232734,0,0
17,2.46145493210477,2.45014329937234,0,0
18,1.50160946017321,2.63604782501928,0,0
19,0.906914420900366,1.71205124170184,0,0
20,2.10916703071179,3.2857794213522,0,0
25,0.535222178572609,1.01806176134757,0,0
26,0.549471125780645,1.28627864199933,0,0
27,0.483865756633415,1.23492589152296,0,0
28,0.506445252982146,1.09190956452779,0,0
29,0.605863504158539,3.91008260737903,0,0
30,0.826848454544814,1.32316879934083,0,0
31,0.738360669591611,0.769283858109678,0,0
32,0.483266547884814,1.67681711585456,0,0
33,0.88748462433463,1.33511614432874,0,0
34,1.27571321525599,2.21246445196227,0,0
35,0.835903596661286,2.29540538452551,0,0
36,0.692529350998044,1.55774778890507,0,0
37,1.37426247151374,2.28258402447408,0,0
38,1.08589242857524,1.90326504728713,0,0
39,1.24562299805891,3.33795432144933,0,0
40,0.846462147782675,1.67519911350519,0,0
45,1.45583551617991,1.206501860524,0,0
46,0.73224520679394,0.673106088210877,0,0
47,1.76112773683819,3.88271516537649,0,0
48,1.01415225497666,0.903439372886617,0,0
53,0.887610483177258,1.49320291341274,0.568417901388986,2.43095055506117
54,0.55518242636646,1.24217086061371,0.854074481129561,3.2137877439542
55,0.673157612023274,0.846298320543016,0.700575565826112,2.51879252154015
56,0.630042409012197,1.20606122073346,0.542860892280815,1.15679093858034
61,0.624402875128354,0.75289075405152,0,0
62,0.460091562529171,3.36033670334309,0,0
63,0.654028791869767,2.09995170238931,0,0
64,0.545225233269342,0.779768983193243,0,0
73,0.934275993478003,0.523940080112111,0,0
74,2.20868097585563,1.65575848756888,0,0
75,0.747887415372514,3.38825735156539,0,0
76,1.20530160415147,0.598351172088299,0,0
77,0.927988444051528,1.94117832786057,0,0
78,0.846244316746653,0.988238822935085,0,0
79,0.830725877746906,3.0091563526143,0,0
80,0.798702323819146,1.17648080323314,0,0
85,0.676157352726834,0.999271235933597,0,0
86,0.666675880924977,3.1535882834842,0,0
87,0.355998733458312,0.863680911910015,0,0
88,0.537933426146044,1.99417993938693,0,0
89,1.8450768633672,18.0135872327998,0,0
90,1.79291941908914,5.29003251371199,0,0
91,2.15808701240226,4.33974408352714,0,0
92,2.15739770209984,4.40101450302076,0,0
93,1.90441944237757,4.45591110979481,0,0
94,1.52215302284933,3.84812528617672,0,0
95,0.604509801302019,1.88463909266503,0,0
96,2.45357691495697,2.88308766152034,0,0
97,0.497519042288897,1.394386961151,0,0
98,0.560208441398892,1.08328783204565,0,0
99,0.6346064593628,1.89827732124819,0,0
100,0.672085642523683,1.02114444838789,0,0
