patient,Q15599.2_N,Q15599.2_C,Q15599.3_N,Q15599.3_C
1,0,0,5.96862478670853,1.84171560892515
2,0,0,8.02159028009053,3.05832686560471
3,0,0,6.04905955053311,3.61432253814528
4,0,0,5.23414549459677,2.1550282247463
5,0,0,1.84435134436918,0.44640485507625
6,0,0,1.2460091121086,2.24122088217322
7,0,0,1.46062805347781,0.88523046493368
8,0,0,5.35096518770667,1.07688836644299
9,1.4854001501136,0.983158068719427,2.02625354971234,0.46848346468292
10,1.0632820539526,1.14171244980647,0.895813999165255,0.493006964392396
11,1.08894966892365,1.02232798350788,1.05846488751401,0.644020524907319
12,1.96304669484033,1.18877295147572,3.85766778784382,1.46121299910797
13,0,0,4.6051806200634,2.2688198790266
14,0,0,5.17583381592681,2.92630890094767
15,0,0,7.86692036368852,2.33406113600609
16,0,0,3.27368726999188,3.06846287946526
17,0,0,10.8763408031066,4.17594581642243
18,0,0,7.12931608174715,1.69514443762315
19,0,0,4.71993370575451,2.43893377108014
20,0,0,5.28339341035112,2.85104824618729
21,0,0,5.70460854586964,0.749187601709123
22,0,0,2.87482859025933,2.0559327861212
23,0,0,4.55725088335517,1.03023086395468
24,0,0,4.06922391715297,1.1462341077649
25,0,0,1.15074327269254,0.517230341152217
26,0,0,5.46191191781071,0.80356486584103
27,0,0,1.97465403383687,1.3095262944103
28,0,0,2.71814048830442,0.834008198535166
29,0,0,4.55762979630908,3.19805337476234
30,0,0,8.36760834382831,3.27433371724574
31,0,0,3.99532087779589,1.81502320077725
32,0,0,4.5657734779322,2.29332206954766
33,0,0,1.33008330065476,0.868471712238423
34,0,0,2.04351003529286,0.288246408327689
35,0,0,1.0245921119865,0.446882464083277
36,0,0,0.421491212434494,0.368032036885197
37,0,0,2.23939695600063,0.495070841727939
38,0,0,1.20577518441323,0.974145063054097
39,0,0,2.47261762149611,0.547053656338586
40,0,0,1.05302077716051,0.970877052104817
41,0,0,4.87088102030762,1.24152120017542
42,0,0,2.11105199403214,1.06301820461161
43,0,0,2.56003674575629,0.80542700547693
44,0,0,0.686161961601988,0.68360811150479
45,0,0,1.60281088636099,0.461270075448745
46,0,0,1.11742827192608,1.64059220147274
47,0,0,2.27452472467032,0.727494143986748
48,0,0,0.449283689870715,0.600036236104101
49,0,0,0.504615144484885,0.500739037997195
50,0,0,1.35736803146292,0.498953522195972
51,0,0,1.69447814457712,0.69704881434656
52,0,0,0.617062436294925,0.606264204310306
53,0,0,1.78414212783756,0.45885675208587
54,0,0,2.4521593870243,0.615844528753123
55,0,0,2.00468045742234,0.65027950593461
56,0,0,1.1918718108931,0.549834426252645
57,1.18121879296325,0.85939239960682,4.03512031746803,2.33837933003035
58,1.14331642833117,0.652084605562649,2.20447518084973,1.38489867821258
59,1.43344512623236,0.843407212438076,2.4389285616138,1.04217039151066
60,1.42163666110424,0.519974136326379,1.83885986004918,0.993915952978842
61,0,0,1.58376333302945,0.944561947306044
62,0,0,1.38459294375057,0.64927431853405
63,0,0,1.45654116145501,0.582142401312791
64,0,0,1.28199471237123,0.548552283708633
65,0,0,6.70713850271683,1.81338818005051
66,0,0,7.53409467011817,1.72940313876495
67,0,0,10.1424432486968,2.76314716890674
68,0,0,5.33026150906809,1.15098721795933
69,0,0,6.6649509725972,2.41638325137075
70,0,0,6.57219285936277,2.87694543081194
71,0,0,4.76093134285,2.18393148798535
72,0,0,2.20193541652541,2.32793272721705
73,0,0,1.54165977846677,1.85609551789712
74,0,0,1.89569273973499,1.52440520820374
75,0,0,0.87905539118133,2.3748417214362
76,0,0,1.75186235566231,2.28320599111897
77,0,0,5.73615282512062,2.81281770952452
78,0,0,4.73604120765862,2.33459628902025
79,0,0,4.98301263136304,2.67106333391412
80,0,0,3.87442748716506,2.09053944811456
81,0,0,3.08465168056784,2.31192305805028
82,0,0,5.94059349342048,2.198067538392
83,0,0,6.18217179141967,3.00499505940298
84,0,0,3.89381095691887,2.1855320582099
85,0,0,5.7544068280482,2.01894807327349
86,0,0,6.1126200222665,3.18447920994643
87,0,0,1.49831353709744,2.50162795954324
88,0,0,3.11349504526339,3.40537050395864
89,0,0,1.32767048035589,0.785818853954622
90,0,0,3.65167188697752,1.22689373033674
91,0,0,3.56048960484745,0.961670744768953
92,0,0,2.38988347457768,0.730131132637179
93,0,0,3.20972251528351,0.952852113125929
94,0,0,3.2966417530692,1.492191307568
95,0,0,2.27904857329093,1.99403329416316
96,0,0,1.82416545061089,1.64915880003043
97,0,0,4.74511170694012,1.07544214458368
98,0,0,2.55072724398545,1.5951497187008
99,0,0,4.2181106540127,6.41740686567161
100,0,0,3.34181484376098,2.1415491522026
