patient,Q86TG7_N,Q86TG7_C,Q86TG7.2_N,Q86TG7.2_C
17,2.16485686411903,1.81408337120108,0.984849439154409,0.879124748778966
18,1.81655933365985,1.47395544892661,0.959850441175629,0.912995928930929
19,1.60215039736939,1.39685249398967,0.8691045365795,0.885947081827916
20,1.76943444891665,14.2029793931488,0.98038615034899,5.63656976644317
21,1.71210602746033,1.97594013722995,0,0
22,1.97586079404632,2.03092727236498,0,0
23,2.25925507421389,2.13463115500761,0,0
24,1.84542186991315,6.96409323984631,0,0
25,3.37615573546722,4.09010720808755,0,0
26,3.25668882724722,5.33796972396974,0,0
27,3.09379501959853,3.19312791174081,0,0
28,2.89686951919159,8.39214971719739,0,0
37,0.627444521144981,0.48734780444201,0,0
38,0.669266259639746,1.00291852737438,0,0
39,1.01684676898477,0.806420390087001,0,0
40,0.662640813856435,0.918814230273105,0,0
45,0.729573356522215,0.859593144672605,1.06657658095102,0.781886375936929
46,0.466585414284443,0.988592713304621,0.735342221106349,0.810572478537532
47,0.633037309907085,1.1283422459893,1.04066884498822,0.984321058858501
48,0.487182893178223,0.7721076091943,0.666672982930691,0.917832116070826
49,1.16984871101186,3.09641158059807,0.732525254059061,1.96468417715993
50,1.21959713194431,1.05041079012293,1.0490389981133,0.742463642126921
51,1.71322509817282,1.94018118843889,0.882086985570736,1.24131909514355
52,1.07413563482129,2.30438798148131,0.510953865076322,1.09800586888768
61,0.99957370124208,0.749245903333527,0,0
62,0.536048727239845,1.72057408232733,0,0
63,0.672111664438287,0.777342866923738,0,0
64,0.820728454150277,0.659749000458594,0,0
65,4.42257159599788,2.93640023237839,0,0
66,4.58390979198242,4.37920138678255,0,0
67,4.35976731076537,17.2209436089253,0,0
68,3.22593223226732,4.0569550016948,0,0
93,0,0,0.914300628917325,0.721031009664375
94,0,0,0.665729905215473,0.901253901682953
95,0,0,0.552360317068723,0.828429637416112
96,0,0,0.747764465277256,0.829859807570606
