patient,Q9BUP0_N,Q9BUP0_C,Q9BUP0.2_N,Q9BUP0.2_C
1,1.43189221690425,2.58010301173478,0.45024782285479,2.00401350764548
2,1.87566140482162,1.83140463200577,0.472968548209169,0.590173932717535
3,2.23946261775197,1.92372661700112,0.439963912158146,0.752685860114644
4,1.57360719258992,1.73003050983202,0.407885362079941,0.383056702037811
5,1.73241973257131,3.32926196195605,0.248925072895849,0.299831602398192
6,1.83683617629441,2.83887245301127,1.29990498967991,1.85003440028831
7,1.52352092356127,1.50626306749825,0.577166726730662,0.992929921698391
8,1.91748553619169,3.31527062282799,0.530832486977034,0.345834944140484
9,3.59122646073704,8.24538505837565,0,0
10,2.77883511996539,3.71509516603063,0,0
11,2.46876406729062,3.26981878521964,0,0
12,4.09081928750381,4.94060231931871,0,0
13,1.21568329636982,1.2059389189826,0,0
14,2.09079563389314,2.64481468061674,0,0
15,2.23266091419478,0.780286277810776,0,0
16,1.43108108119961,1.59319699970291,0,0
17,2.51547149404022,3.82341389629402,0,0
18,2.14404203242806,4.52916599136277,0,0
19,1.91449285131399,4.27710674105006,0,0
20,2.38642551120015,17.2716879878837,0,0
21,12.8674508895746,7.28580357542389,0.509655217146893,0.848552113812935
22,9.22683253989043,10.1277767444328,1.31158020669674,1.75857272583133
23,5.32643592017266,6.66306489505434,0.957082318347579,0.687298384190726
24,5.04827121726943,10.3660984687329,1.01484641884198,2.01705176066996
25,3.42472926211705,10.7648782009366,0,0
26,3.66426382126601,4.90056911698024,0,0
27,3.18992935224495,4.17495746083631,0,0
28,2.94093206606197,5.42870573880777,0,0
29,3.0106888218691,3.90646611626381,1.02751937984496,2.24824513214918
30,2.54647833613553,4.33147572565587,1.90065921992309,0.859503753891229
31,2.80539865471117,3.52670528909404,0.924641396569615,1.01558627845938
32,2.92987576553886,15.7936507903711,1.6213605566746,3.54118598547275
33,1.25157448838699,1.94393838252241,0,0
34,1.14257385000156,1.87342811388426,0,0
35,1.83233033432669,1.83496584500479,0,0
36,1.496141297813,1.67667231160932,0,0
37,2.00595924310726,9.16323344622706,0,0
38,1.99700581116026,3.53495060467945,0,0
39,2.69251785334426,1.93187716967866,0,0
40,1.73698496820461,3.29418626009531,0,0
41,4.29278535468681,3.72391344052471,1.41486081110599,1.43342709309728
42,5.61188654492262,8.06581620059564,1.65470377100216,2.78178185146264
43,4.48964797749647,3.52742800181924,2.19045551335567,3.63162402538235
44,3.77910749932297,4.0042626566885,1.64972525742549,2.49119939489449
45,2.95045610086626,2.17540838344116,0,0
46,2.05140494090914,1.94485128490977,0,0
47,2.64353312367941,2.91039071579903,0,0
48,5.32898119672445,6.10953876859563,0,0
50,2.65674888340698,5.19874978456426,0,0
51,5.01927261349428,10.0298610035349,0,0
52,3.3111659290092,12.6224489715503,0,0
53,4.09896728124127,7.41260897949974,0,0
54,3.36421638982331,3.71410306933223,0,0
55,3.72895268982198,5.55819396873746,0,0
56,3.07111506549612,3.73856178824896,0,0
57,5.25790411102043,22.7426364694095,0,0
58,5.06032892846685,12.0679263138844,0,0
59,5.15254082398721,8.4483306207638,0,0
60,5.02019713624506,4.78599385249272,0,0
62,2.61661255244969,12.5923255941284,0,0
63,3.41205228148229,5.49048704962707,0,0
64,4.4243470453323,6.40694310936891,0,0
65,3.7276175905178,3.41827174983735,0,0
66,4.14924561298908,3.0329239147626,0,0
67,3.78855611223297,9.81511617612404,0,0
68,4.50897835537001,5.6833072174881,0,0
70,8.60559327121862,9.62689181196892,0,0
71,9.139473283535,11.1217101684838,0,0
73,6.1748537851971,4.78858585313859,0,0
74,5.24133321471887,6.14261688499771,0,0
75,5.59282866659921,8.19678751473933,0,0
76,4.7269190341417,6.27860870673815,0,0
77,4.61311390227329,3.34559943190869,0,0
78,4.8378966401629,4.51438789049942,0,0
79,3.7264069444113,5.08845402097515,0,0
80,2.92037745993848,3.99748338840243,0,0
81,3.81557201149035,3.57106024597088,1.1288819140371,1.58488222403052
82,2.75257530362966,3.55445231744849,0.841414689382295,1.2816074880631
83,3.17956040005049,3.11137697358781,0.998015181066291,1.36467711172249
84,4.47033922561013,3.3348079715961,1.19613541545575,1.43244081063277
85,2.13459179274285,3.21221982176475,0,0
86,2.31875077713774,3.56307516687022,0,0
87,0.727102672271871,2.60555473110335,0,0
88,1.68728042283584,6.74844116122937,0,0
89,1.66660987948993,8.9037404600572,0.638491387469241,1.49571524443756
90,1.77087505830852,5.77745053212576,0.388519780427787,1.02224975478809
91,2.03063667563136,5.1372929053961,0.869934438077539,0.882005747423124
92,2.20312081400938,6.98419398017761,0.591371982172664,0.786373100683152
93,3.15510532156668,10.0422623256985,0,0
94,3.85351533346911,4.08420882087387,0,0
95,2.24335661253168,3.44450244882625,0,0
96,3.4797395265574,2.84820972012054,0,0
97,3.10679257580084,2.12011084253147,1.53861289470463,2.25080405496798
98,3.21804741422518,2.57564198364881,1.30678117399613,2.49666755820414
99,3.69973940713587,3.88280363047393,1.67749983430402,11.0281653366717
100,4.48195066950499,4.25155805127494,2.07543324997961,1.75333244235138
