patient,Q9Y277_N,Q9Y277_C,Q9Y277.2_N,Q9Y277.2_C
1,1.25856788120249,5.53995533488615,1.16589596688135,1.03514315338566
2,2.17693041522515,4.42098262371203,1.24272502289395,0.88584056731577
3,1.64442755328611,2.50687515844821,1.2324549121705,0.735898464402752
4,1.53716476616619,4.11130820189601,0.909971921804876,0.644738933331315
5,1.23673920047701,3.3990195043258,0,0
6,0.783998847742273,3.06482507265028,0,0
7,1.71243702839332,6.01544145665274,0,0
8,1.88854683622786,2.86979410168627,0,0
9,1.24659810259899,3.2857232630739,0,0
10,1.13203167520668,2.81633883651276,0,0
11,1.05301140749301,3.15350340667072,0,0
12,1.10041698691568,3.17774120920198,0,0
13,2.4506725520988,8.86117852356433,0,0
14,3.30788560688916,9.32772370319484,0,0
15,2.06412600547523,15.1754780429186,0,0
16,2.14431251622779,5.94907094390592,0,0
17,1.68409570066771,1.91541017361093,0,0
18,0.729279525625442,1.51177074061909,0,0
19,0.710262027608758,1.15402632989298,0,0
20,1.17986125251107,2.28342177665787,0,0
21,2.35008422192204,10.4582515621113,0,0
22,2.13440227754324,6.35150156798978,0,0
23,4.39869589014848,5.20070611716721,0,0
24,2.72263131800897,12.7854110388036,0,0
25,2.25412277765311,8.07632624452889,0,0
26,2.11408783637477,4.00462676965778,0,0
27,1.65633427091639,5.70105302610323,0,0
28,1.62905804354908,5.66775123847686,0,0
29,1.08382507522447,2.56591580663565,0,0
30,1.48826259030539,2.08844013269339,0,0
31,1.05584068894837,3.35449178414594,0,0
32,0.603128822494687,2.50937204582555,0,0
33,0.650042698107817,3.55585590445088,0,0
34,1.17590676451919,5.23153190273544,0,0
35,1.36596708463512,8.26116272675788,0,0
36,0.531550544921727,2.36138754442706,0,0
37,0.457999213500436,1.41251902132098,0,0
38,0.299519978798707,1.44556910082582,0,0
39,0.109059705575598,0.550895925590302,0,0
40,0.337943902063707,0.868795629798075,0,0
41,3.97874577198532,5.26766594829055,0,0
42,3.80841236189518,13.3018977255435,0,0
43,1.53275332287627,10.5930551046496,0,0
44,1.68760946650028,5.43532203539765,0,0
45,1.81798423591447,5.56896476026635,0,0
46,1.58202993557885,7.93961108878754,0,0
47,2.68993454603126,6.66725740797581,0,0
48,1.45210893339264,3.96659434678764,0,0
49,0.959906889891616,3.24896193864434,0,0
50,1.73170443520021,3.26446822859982,0,0
51,1.82104602801286,6.56195695625781,0,0
52,1.29732343157495,4.66036682216989,0,0
53,1.38894635019453,3.32955421504735,0,0
54,1.34323304120455,3.54110026459858,0,0
55,1.20405652619581,7.18330840544685,0,0
56,0.815055802934512,2.17658099164165,0,0
57,2.5866699246611,5.51289980024685,1.29345508438113,1.76270975761342
58,2.61863951688079,4.69812660330382,1.35663814122484,1.21765071472965
59,2.35881979072524,8.19092133411848,0.937600994406464,1.08472534302242
60,2.7499246352698,3.74478778558103,1.46700769708849,7.32156619018024
61,3.46891426181189,14.7377029022609,0,0
62,1.84005679000694,10.0824692801597,0,0
63,1.91990959642219,8.33396792822434,0,0
64,2.28506487246133,5.79798171163523,0,0
65,2.94975056221657,6.61639096615656,0,0
66,3.43204761050776,7.83367188800002,0,0
67,2.85003447368626,4.70055670429547,0,0
68,2.56115977840972,3.69691581506529,0,0
69,1.26876470311806,1.53405112286457,1.44380033613712,0.6008232578283
70,1.51933130905704,2.24209103805689,1.33764298740876,1.06144634321746
71,1.27451357745566,2.30506308909986,1.49776901896433,1.44596973176575
72,0.731753898580951,2.25347146981444,0.494689748612342,0.971634953493085
73,0.65670391327996,1.32045001288205,1.75609300969458,1.09569793716743
74,0.642726413924063,1.3453209538441,1.53687878125228,0.659015963262628
75,0.369046823859462,1.87511092874796,0.6773030104235,0.995795611925067
76,0.481843945914482,1.49664971325515,1.0574706611269,1.22118813324586
77,1.97518569046498,3.02065590783797,0,0
78,1.3879798940674,5.06626777626541,0,0
79,1.20866931886877,3.39180710319266,0,0
80,1.07278345674366,4.18270928954439,0,0
81,1.58490737476069,6.27256989490373,0,0
82,1.44323132406703,9.75213897171029,0,0
83,1.2571264367864,2.79566481190149,0,0
84,1.35347539024821,2.46368888201361,0,0
85,0.968143998192893,2.21200416940874,0,0
86,1.34296408258724,3.25364762962576,0,0
87,0.414193252827299,1.60841830400222,0,0
88,0.826697834331881,5.56992690951361,0,0
89,1.716090213164,7.66140547459943,0,0
90,2.96416394709324,5.24032213842494,0,0
91,2.07928421991013,5.43331349760902,0,0
92,1.83546016857537,6.28052151426585,0,0
93,0.895920343979804,1.76836190469747,0,0
94,1.01382500686886,1.86730782565291,0,0
95,2.11311761497495,2.42790245130623,0,0
96,1.22195072677527,2.88771618141974,0,0
97,2.92715928985942,5.02662550066015,0,0
98,2.46784929961657,5.76155776091559,0,0
99,2.31572817880107,5.82090263950311,0,0
100,3.6849031024952,7.19989593429349,0,0
