patient,Q8WVD3_N,Q8WVD3_C,Q8WVD3.2_N,Q8WVD3.2_C
5,1.72631208683876,2.5056325921587,0,0
6,2.007614112439,2.8207339384747,0,0
7,1.34866772824061,2.05649742827011,0,0
8,1.92798646166672,3.35928816291505,0,0
29,0.600712673541813,1.41199352642771,0,0
30,0.649343571060519,1.64233513074149,0,0
31,0.668296187704567,1.58775246569079,0,0
32,0.432857733814255,1.25245480474051,0,0
33,0.812192190325723,2.6737220070609,0,0
34,1.34301630656033,3.14241020657969,0,0
35,1.23635623386332,1.93416190221887,0,0
36,0.620979506712276,2.08590530601222,0,0
37,1.72071742422426,1.92163764987024,0,0
38,1.78074923634295,2.65022190525184,0,0
39,1.75933002881519,2.29332649692298,0,0
40,0.763245851466231,2.90306213673422,0,0
41,0.816925535130778,1.08411905550197,1.19726045975453,0.978476978368482
42,0.900358433258,1.40418028185234,0.808028751610497,1.15192920594019
43,0.830427960673106,1.66175800237036,0.931464026581678,0.872950430596053
44,0.737878286237986,1.25257309015532,0.628297958906896,1.1218620736421
45,0.575346119244946,1.16267405478994,0,0
46,0.268321033063444,1.90195610117271,0,0
47,1.18307896852882,1.68088163876217,0,0
48,0.246138750228889,1.32915362997285,0,0
57,0.519011712567268,1.79399176954733,0,0
58,0.749787907565685,1.44461538461538,0,0
59,0.684539411206078,1.43009180120291,0,0
60,0.904007597340931,1.74183602405825,0,0
61,0.807228061855136,1.49166165834672,0,0
62,0.622372676241757,2.06187421553356,0,0
63,0.491994183534825,1.25132226460556,0,0
64,0.568868828352951,1.48114077944449,0,0
65,1.41572851266508,0.442853792307137,0,0
66,1.46813884679223,0.59754366024392,0,0
67,1.45544670563614,0.538267662553222,0,0
68,0.842398246373674,0.484711698058743,0,0
73,0,0,1.19044147552431,1.37231128129964
74,0,0,1.14509680538396,1.74504462332998
75,0,0,0.479877679126411,1.69080598251901
76,0,0,0.720525197025623,0.916278498691612
77,1.24416354909159,1.34185621912433,0,0
78,1.27987713964271,1.90920557309529,0,0
79,1.13506074891874,1.38945487529051,0,0
80,0.876571277303924,1.03541383619398,0,0
81,0.952692981230114,3.61763448462974,0,0
82,0.859340957486167,1.53660662166717,0,0
83,0.849137966472363,1.63583297021319,0,0
84,0.899108779834088,2.10001562101767,0,0
85,0,0,0.921583455629099,1.07083171104256
86,0,0,1.15550780197071,2.01323789271916
87,0,0,0.268947857078679,1.44789451615802
88,0,0,0.659909700799664,1.87790889215011
89,0.833800158770577,1.43676137980618,0,0
90,1.49426328954661,0.855443883588215,0,0
91,0.757440498479697,0.939801986130042,0,0
92,0.767955304584875,1.19921213845993,0,0
