patient,Q9UBS9_N,Q9UBS9_C,Q9UBS9.2_N,Q9UBS9.2_C
9,0,0,1.09531565903249,3.93004770173355
10,0,0,1.5364019326556,1.44237924744094
11,0,0,1.4942386930647,0.949398404966424
12,0,0,1.1723365068633,0.858767306421624
81,0.758164585263023,1.64148487655307,0,0
82,0.91167875051902,1.52504870803922,0,0
83,0.810845124405123,1.74805167843112,0,0
84,0.840038008240442,1.1644814590054,0,0
