patient,Q8IXL7_N,Q8IXL7_C,Q8IXL7.2_N,Q8IXL7.2_C
1,0.81480371868104,1.10829523497799,1.44938245539956,1.18235401250286
2,1.09747415822872,0.869355196334111,1.3153752191016,0.679251499055152
3,1.85458922406056,1.22779428999799,2.06628903662578,1.23308234044009
4,0.992789908247194,1.66324397377285,1.57325098631971,1.20463828370511
5,2.07628744655902,3.92772518932599,3.44299758154862,3.61625278675037
6,1.30798585976251,2.18763649928833,1.75872543481792,1.96491346232612
7,1.09903536303066,1.76037137948683,1.45662122894075,1.08139895085004
8,2.74536472044088,2.88645524375693,4.52961691774575,2.07664598749695
9,1.21722886421862,0.708601816629144,7.41672464653427,4.04844719826337
10,0.890067411950418,1.41327019123774,3.72995457628224,5.00389673661614
11,1.03974199725694,2.06101363765753,4.24175126487018,4.68849324937401
12,1.56927839453459,1.28898183370856,6.90452161127926,5.69710997917359
13,0.882054594607526,1.50750815410257,3.75435039319551,3.65216904076337
14,1.24103447450896,1.59968739284034,4.87627589308981,4.58691760977206
15,0.205343828002265,0.811630262286977,3.71078711782457,4.6455667857313
16,1.5344864709682,0.835338963452076,5.68184483963664,5.89538862552689
17,0.938527897449384,1.0165417527142,1.17735559440346,0.937977012054357
18,0.836583158660056,0.605939664885128,0.804736467019546,0.41166330639021
19,0.4916298628138,1.35126473765492,0.63269538840126,0.912915034749928
20,0.882186419571657,1.24226345628785,0.802869533967217,0.880513239083162
21,1.07855827279239,0.396973805382175,2.48935257588051,1.46778861474165
22,0.989937199426993,1.02081627954569,2.63845833762208,2.02707802378785
23,0.817352335516218,0.659610662028036,1.85380018713468,2.33783532210216
24,0.935543077867594,0.975237900337665,1.86531775621083,1.61746368248426
25,1.80130156262444,3.48884775200116,2.74345046464676,2.96542151284199
26,1.36317367086252,2.65648879036385,1.49388808389772,2.09531498351827
27,1.28667961633637,1.94869800514612,1.66717699662839,2.22138121110526
28,1.6972493277295,1.7993489999833,1.48086372392342,1.67294557566812
29,2.54911441644744,3.56864996304576,2.62938578674579,2.44177044173843
30,2.51519595171359,2.78230008207266,1.94284127064188,1.53464270237971
31,1.9153742650855,2.17314769140484,1.92738355993115,1.33927427354076
32,1.86885549551834,4.43217046062827,1.7152498105708,3.05616445296841
34,1.2231828608044,1.81843002145185,1.79975298034583,1.47012023130536
35,1.24994660252779,0.899739048874938,1.89141027307825,0.911793634015228
36,0.262012573943891,1.33352525468273,0.211711953603265,1.13937532855875
37,0,0,3.01143998092983,2.29868762558214
38,0,0,2.10692821561677,1.93687321737714
39,0,0,2.81441588300118,0.947935351527395
40,0,0,1.01421210603916,1.28113742672219
41,2.99437234562993,2.99573733106814,1.70445355304379,1.13320636497882
42,1.27345046264052,2.75111900349481,0.613562842435032,0.890048165169268
43,1.45096549336612,3.37018789516672,0.852212975613795,0.895327012517424
44,0.72724759336504,2.67051316747691,0.533222926068535,1.05432727473468
45,1.9567360947428,3.02689702636419,0.928347911716986,0.948404682879372
46,1.1059509249087,1.48654204618057,0.376496026908463,0.785593946782226
47,2.23488053780712,2.82536640783392,1.65718997576696,1.62527473505308
48,0.405340539413617,2.06648010089815,0.232782528481979,0.629459902771228
49,0,0,0.353826145345115,0.541009790952348
50,0,0,0.621318354299074,0.434045476954789
51,0,0,1.7880411626003,1.58155223068189
52,0,0,1.1960198183688,1.58725636947293
53,1.19062522077005,1.97052631578947,4.42367811608241,5.40530130160485
54,0.567090780642882,0.741010243730131,2.63149001436012,1.88199331164345
55,0.773790180148357,1.57643235605793,2.81449239559297,3.53269203143218
56,1.12083362769339,0.920664076298128,3.85401687647524,2.72472239530682
57,1.07899789059762,1.26973018605502,3.74846897562576,4.83147499818827
58,1.16215948140001,1.08325196227322,4.61548833006182,3.44594901574064
59,1.17337656469385,0.985930704919514,2.7737649229763,2.48359230367676
