patient,Q9H4G0_N,Q9H4G0_C,Q9H4G0.2_N,Q9H4G0.2_C
5,1.09183361171858,2.95967733700015,0.644405170525086,0.732835755495509
6,0.78430571029485,3.97979420133381,0.516441977652815,1.37120864675382
7,0.98178636867496,1.58077145455512,0.809467611188198,0.346322938727817
8,1.4448282648241,2.23036127545709,0.999234645439276,0.604726502592566
9,0.855398365518663,2.06345057947569,0,0
10,0.617070861299689,2.97654494823677,0,0
11,0.645892658111087,1.02342011201683,0,0
12,0.816891271003155,1.20511028730953,0,0
13,0.788080826115106,1.11072372969453,0.594088990178729,0.650053316555883
14,1.41177876176083,2.25486177508385,0.918483642936839,1.27428849483846
15,1.13911057695035,3.59477501033898,0.784766481088304,0.783230660155901
16,1.39681157513821,8.20042055983755,0.940452725036732,2.31129645715763
17,2.17389787496526,1.6867555873631,1.12706553721785,1.04120129506511
18,0.876177347065757,1.65562086033713,0.758052158950916,0.747203952392103
19,0.723823709718478,1.20337513329964,0.442887832293141,0.632805261711074
20,1.2040200240398,2.99114215187727,0.765221087569615,1.34933159571977
21,2.74539316778941,3.02383046003942,0.861026369717357,0.930202412713142
22,3.49360204306551,10.1889910060203,0.854594401268221,1.49096199203495
23,3.0529848541539,3.44036904663943,1.38254456172911,0.646839113791904
24,2.86579492408226,3.23219896197717,1.00391485906507,0.996732784286432
25,1.40560478158233,4.81319169518559,1.08169460797336,1.39343806845029
26,1.50848161639317,1.64759972854934,0.763676774477457,1.16126193175251
27,1.21753209837076,1.21696127150883,0.724189188367061,1.77228933498541
28,1.37379796235865,2.28275843950453,0.889289965667377,1.4745851390238
29,1.2531884661687,3.02583097499465,0.741396875925093,1.09965053112349
30,1.2578367140907,2.81590652376783,0.845737748405476,1.32726664590614
31,0.956677318344878,1.45818732705471,0.850005190131829,0.611351394992099
32,0.72241601342461,2.97057880320541,0.505276634026504,1.13901479764253
33,0,0,0.755464424675614,0.850495363466516
34,0,0,0.714794912668621,1.63055141324283
35,0,0,0.681450437942442,0.966121595447455
36,0,0,0.453045885397919,0.658044942664678
37,1.68324145513255,2.18862719947368,0.878100754889199,1.00482127540936
38,1.17659957999741,1.95391502173794,0.511886264070932,1.6081732604785
39,1.70709339603371,2.20823853738922,0.657053712382065,1.73116461769861
40,1.18227321814072,1.54617822707787,0.321943995070401,0.685807337217582
41,0.459002641026227,0.729333398120413,0,0
42,0.385484073811538,1.32693989664555,0,0
43,0.344022248645188,0.728517366748222,0,0
44,0.233303512221892,6.55799110511513,0,0
45,2.78301992990569,4.78152290553768,2.51138704205453,4.52798913111548
47,3.15555979425429,16.9591595378838,2.02385223819559,14.1830859317642
51,2.2127535547011,3.67983115413675,0.373776847594867,5.314524904177
52,1.21085976266978,2.22745059130652,0.203264353844193,2.9095244630481
53,0.740107735198223,1.14891556017578,2.7585324397239,2.58144938721116
54,0.719685299815716,0.482800170108208,2.19133024064372,1.79477914411898
55,0.674445967017909,0.98484146860086,2.30692594017237,3.53772218736068
56,0.610584510702641,2.98412795917403,2.79363965708442,4.31387536959262
57,2.73442143748403,2.31422736753263,2.97894221199699,14.3696689048089
58,2.8018383188138,3.51369244059499,3.67039398344975,9.22963748647989
59,2.00445576597204,1.80356036446741,2.52862107757522,3.81175250245136
60,2.8283688013831,1.73352647409677,4.16089057652418,4.56613819274774
61,0.162507601157019,0.31591846629195,0.646747067935384,0.748652909935826
62,0.219932288071525,1.66601132366959,0.875161355757173,0.50982702662831
63,0.324772787036124,5.6748800249811,1.15132403924172,0.908910525927565
64,0.287469595371923,1.39005850836538,1.42779560374714,0.558602566939588
65,1.20228878851976,1.18050155091251,0.809919983929827,1.32598680906626
66,1.1247524706397,1.09256609121181,1.16233553182229,0.480950148983896
67,1.67188601665631,1.3467272604579,0.999929692992735,1.19602598011316
68,0.803982343099545,2.23381431400336,0.745957347082259,3.56520137935652
69,1.14569635264979,0.620485183900349,0,0
70,1.20630803611046,0.557985688123724,0,0
71,1.21236678418433,0.723435495712084,0,0
72,1.045428509193,0.900619589683186,0,0
73,0.430446409487879,0.541487103781135,1.17226618735678,0.912135512943922
74,0.333094744585775,2.08880472008072,1.08030002300006,1.85732722270021
75,0.169828713161649,1.40107762584314,0.446384305440792,1.40830642894259
76,0.336790384873473,0.973248236680038,0.928810556175516,1.00734298200032
77,0.912037809119931,0.349555677324058,3.88117432165025,3.04993193860041
78,0.598849883261066,0.901263282031734,3.51239433883328,3.64305278683224
79,0.629023323962453,4.27103683232477,3.45546897451216,6.54098813548787
80,0.404077524181636,3.92364916376805,3.0540242196842,5.85532535796669
81,0,0,0.629018862888856,0.915207271985117
82,0,0,0.472149961143862,0.807014514141279
83,0,0,0.51433202766243,0.668691372367399
84,0,0,0.579571091033259,0.889483723595488
85,0.503285653443028,2.23989529122129,0,0
86,0.843809405092088,1.57364413558125,0,0
87,0.174814006876708,1.497744813903,0,0
88,0.64786063760167,0.711976066564866,0,0
89,0.407109377527581,2.31076506842667,0.582668020919714,0.804752573695771
90,0.389728719790352,2.065711038856,0.619265867968096,0.646303025124242
91,0.437991361739299,1.11312643566599,0.487393211774233,0.73502731486966
92,0.536869317997994,5.51586916432107,0.572384890109357,1.21941424024268
93,0.243965078021779,0.778279980311051,0,0
94,0.205079403459383,0.416780511394548,0,0
95,0.129149143789777,1.98939560107426,0,0
96,0.382779077900882,1.48946382155595,0,0
97,0.944063091187025,2.2457549176997,0,0
98,0.970280584377847,1.1227824353183,0,0
99,0.926593269648198,3.87531696143872,0,0
100,1.81772929271803,4.19941694431281,0,0
