patient,Q86YD1_N,Q86YD1_C,Q86YD1.2_N,Q86YD1.2_C
1,0.546808594520008,1.50850581509955,0,0
2,0.605823970037453,0.898552138773901,0,0
3,0.815874236152178,1.11694263749261,0,0
4,0.673506800709639,1.32714370195151,0,0
41,0.7787685246207,0.851092369258367,0,0
42,0.707669615623295,1.64166684382678,0,0
43,0.683259989046443,2.05055238523315,0,0
44,0.519470908790887,1.27234368657035,0,0
65,0.847695912209166,1.64038041088712,0,0
66,1.02512061000657,1.81014388879185,0,0
67,1.01579584535418,1.23049310068602,0,0
68,0.799885563539339,1.21863989255019,0,0
97,0,0,2.54866067679906,0.0515361949327857
100,0,0,1.10493973236437,0.134403316055848
