patient,Q9UPN3.3_N,Q9UPN3.3_C,Q9UPN3.5_N,Q9UPN3.5_C
67,1.68332883004593,0.468569503436253,4.86399753078699,3.91544462836786
68,1.78575506563306,4.62982412307428,3.81383471461153,4.28817869251862
69,0,0,2.41361365463471,1.84927698192432
70,0,0,2.15176901873643,1.6207844118159
71,0,0,2.78830175583627,1.71056714851159
72,0,0,1.58654065501073,1.82534135872194
73,0,0,2.53655261271245,3.28427730678731
74,0,0,3.107607034475,5.94232326312023
75,0,0,2.29790100035714,5.78435996617334
76,0,0,2.68441182932922,5.51810542061122
77,0,0,2.84982283995219,1.57359831248253
78,0,0,2.40877571614183,2.23402328631407
79,0,0,2.48475580138942,2.47183452856318
80,0,0,2.45167121528479,2.29697395575674
81,2.166604285899,2.3610961775334,0.808289937101339,0.697130525811517
82,1.95964871688432,0.991051195328928,0.624954533760346,0.569563346670097
83,1.6861487475076,0.977515702940516,0.800587290744404,0.552503526405905
84,1.88153892219644,1.20478812088712,0.979163155046531,0.479061133240479
85,1.05142703580204,1.86691053878554,2.56358950636097,2.23018029742417
86,1.66494274306774,1.14446955071955,2.75178857837169,2.45555741763397
87,0.278259367321867,1.55032467532468,1.03485434192074,2.14947742736772
88,1.01003641628642,1.24120853808354,1.9212774058904,2.92313917993113
89,0.951158574334483,1.91425665516936,1.35959510831456,1.3356778688061
90,0.619151852834527,0.74346090917131,2.02437621480443,2.26911389359383
91,1.40105133987795,0.69022508180773,2.08002598433079,1.372067194721
92,1.57265963562395,1.37555828247988,2.90495972985579,1.97581317753343
93,1.50429769483319,0.767062327460833,2.68981678875213,1.94626422603567
94,1.21168433061335,1.61516254604673,2.13391301337709,1.88001342904684
95,0.625312421078299,1.05516899041183,1.80971048890701,1.72060730501187
96,0.655008752144493,1.23657351365944,1.85570140333446,1.80013117238957
97,1.19030858905709,1.28801851831038,0.755163671944494,0.672467087706814
98,1.61665470521065,1.81578349762208,0.944144725137876,0.785985589752713
99,1.93372940407877,3.28344988903771,1.19365993595446,0.859691336061199
100,1.92405051558523,3.29995652049733,0.906306706991639,0.881876000711617
