patient,O94875.11_N,O94875.11_C,O94875.2_N,O94875.2_C
1,0,0,1.26874640576571,0.893046043541581
2,0,0,1.48241084431831,0.735876619739348
3,0,0,1.67110048918929,1.0303282422794
4,0,0,1.26611150528399,0.636827364726091
9,0.459393453040852,2.05833770137443,1.66914767956509,0.645125023126076
10,0.370832772832485,1.7324346765253,0.854622368964094,1.24174221184909
11,0.378544491397665,0.970983064370237,1.00201018970498,0.55665532895954
12,0.414978592733126,0.884236087595846,1.90263210326327,1.00045184795139
13,0.394511100228534,0.531398955272609,0.854365336542913,1.01213714779496
14,0.677995429317662,1.91769098922625,1.00731907539425,1.15739653735765
15,1.02713842637937,1.6088638589618,1.21877603925562,0.829303459556214
16,0.722677930133856,8.95849657198825,0.868104805110638,1.17732925963645
17,0,0,1.4715180695452,0.926807265894812
18,0,0,1.41884406865911,0.422281650395091
19,0,0,0.837613407280485,1.14863804506221
20,0,0,1.38763004361031,0.622504772936339
25,0,0,1.39071895949581,1.12666693428606
26,0,0,1.0256272329493,0.390879531130826
27,0,0,1.51145277186785,0.48100999558428
28,0,0,1.0132150455622,0.695165188069528
33,0.334921327232628,1.4748839658975,0.462986130486828,1.35683620293951
34,0.607439349550676,2.72305704598571,1.25522694339691,0.798302537193876
35,0.481313571875309,1.23328615161789,1.62712070346603,0.456865904038449
36,0.303520524046216,0.875654234833273,0.236137237077772,1.26289972728991
37,0,0,2.71471963683285,1.53612121135108
38,0,0,2.07443909765297,1.52218860117777
39,0,0,1.82724041530109,1.84837305007007
40,0,0,1.4043912663836,1.28127140231123
41,0,0,1.46917455980105,1.02305767488985
42,0,0,1.18761609431848,0.778611013033266
43,0,0,0.873136734161281,0.585549039775257
44,0,0,0.713810042830168,0.802536037211587
49,0.266484734501181,0.421336270161168,0,0
50,0.32707097986262,0.584030593756137,0,0
51,0.493943804825116,3.05745236933579,0,0
52,0.372386665236043,2.59637984682877,0,0
53,0,0,2.97592665422878,2.60883478778051
54,0,0,2.1163855830573,1.24961004264189
55,0,0,2.14100426946419,1.80178490768643
56,0,0,2.15010746523983,1.38445544158804
57,0,0,3.54772035405161,5.2605833620907
58,0,0,4.12131938016373,4.06258495151427
59,0,0,2.44194884497215,3.03782308097808
60,0,0,2.65634216513312,2.73222604675567
65,0,0,1.87046791873577,0.277496211649097
66,0,0,1.72220728019365,0.246785313662335
67,0,0,1.72302726956659,0.392884460217396
68,0,0,2.68069613817805,1.41089995473659
69,0,0,1.68808049190835,1.278048118604
70,0,0,2.87264590335905,1.31350644143581
71,0,0,2.65651841770629,1.93267641064989
72,0,0,1.28369841884956,2.62403586818256
73,0,0,1.85171013564219,0.800499500203182
74,0,0,1.79363582163927,0.430667651429538
75,0,0,0.660766987901061,0.931300925143191
76,0,0,1.57161628655413,0.591821722326532
77,0,0,1.24193259553741,0.410598653343362
78,0,0,1.16530568389384,0.476493499516493
79,0,0,1.25072526055657,0.971840191970202
80,0,0,1.12364349414419,0.559782063679668
81,0,0,1.10475585526364,0.592198398219478
82,0,0,0.97522730462143,0.62907431070012
83,0,0,1.26720141417573,0.757502345059864
84,0,0,1.38264483360538,0.632602364017303
93,0,0,1.42118709393239,0.93855742759608
94,0,0,1.26196013654884,1.3612421539478
95,0,0,0.891014205483978,0.795874903644973
96,0,0,0.837550930514261,0.500455896927651
97,0,0,1.01187523352075,0.633204737488915
98,0,0,0.846715854202023,0.64400633825959
99,0,0,1.09432212583786,1.31446185565154
100,0,0,1.05852536429237,1.06557487744381
