patient,Q15154.3_N,Q15154.3_C,Q15154.5_N,Q15154.5_C
5,1.28494752925128,1.31297074784232,0,0
6,1.419289907103,1.82634889363326,0,0
7,2.38916930282601,4.11643043696757,0,0
8,35.2619928604695,4.76987998490903,0,0
13,0.579162441515006,1.09114764014161,0.914141111284345,1.45043235269426
14,0.499679777979399,2.03872017932433,1.18956956620813,1.88404432664516
15,0.824097596555834,2.08027788155343,1.66756815101762,1.78167088425421
16,0.784172137126185,0.909973136930494,1.13052134179249,1.71909068013097
21,0,0,0.758077311214605,0.932095001160262
22,0,0,0.93870039880628,1.20544999271463
23,0,0,1.00646778519506,1.40380619849652
24,0,0,0.950745535690194,1.36043938846106
33,0.312703262928416,1.05357504497099,0,0
34,0.679636777337003,0.989460109836437,0,0
35,0.725274888912715,0.901465875653717,0,0
36,0.146778170901683,0.949111301716641,0,0
53,0,0,0.897329940925308,1.82989705796339
54,0,0,0.592668304380886,1.37682780604784
55,0,0,0.707121132362403,0.913065157629994
56,0,0,0.654174709013277,0.984823360823536
57,0,0,0.989255685283611,1.10480199529494
58,0,0,1.00438921320903,1.08233859022393
59,0,0,0.986004617931515,0.987001176265575
60,0,0,1.14659754291191,1.23009061601464
69,0.717722018139178,0.96498765124629,0,0
70,1.05970985617334,1.44191243107873,0,0
71,0.598956755148773,1.29769144027285,0,0
72,0.271185549536835,1.28550180215705,0,0
77,0,0,2.01042049282815,2.43532638458848
78,0,0,2.06458158300527,2.22540273869641
79,0,0,1.96621117937765,3.2360777193502
80,0,0,1.70530379321157,1.77058718041547
81,0,0,0.770702240120815,1.30772820706435
82,0,0,0.949172539642588,1.51540083060659
83,0,0,0.977074418994882,1.89826117962916
84,0,0,0.932020303716755,1.58680468160081
85,0,0,0.777860613383377,0.965391141160441
86,0,0,0.743547391963804,1.26181906989897
87,0,0,0.510103087482969,1.15632149926733
88,0,0,0.72762795958765,1.30194542276151
89,0,0,0.922385441297218,1.06134886058229
90,0,0,1.16632716700243,1.1960520825388
91,0,0,0.819990398291434,1.13262023447911
92,0,0,0.947153586956034,1.18416211632425
97,0.75638944088866,1.67441277323989,0,0
98,0.816554560214643,0.663339622996345,0,0
99,1.07799098551288,3.11143987312015,0,0
100,1.06847875828261,2.25530180979307,0,0
