patient,Q8TC71_N,Q8TC71_C,Q8TC71.2_N,Q8TC71.2_C
1,4.68927979540382,1.8982129036937,3.65427629526321,2.00094338334832
2,8.2212411751173,1.49255855540832,3.08334881711093,1.14849308450817
3,4.11105774020463,1.51042252186161,3.41076398501894,0.904492618808672
4,4.42628685881412,1.26675315474104,4.97261292075537,0.955728218018809
5,1.62088891275657,1.77676686127459,0.596487865333162,0.91832763994318
6,1.59107225731691,14.2254759620628,0.373534531877296,3.45636482508908
7,1.56713336840315,1.54900057190118,0.47612583398757,0.553037802185107
8,4.84064428959647,2.04588410719571,3.22238880822159,0.687182126343373
9,4.18016311734226,1.60080652609969,3.29768656003711,1.62979503294844
10,1.77646988505364,1.17412702543358,0.821077907489688,0.586632346320189
11,1.93413628198302,1.5262474064803,0.890558418110956,0.578882981868124
12,3.94852975768686,1.6677945425847,1.98541536866328,0.712955172837204
13,1.47854096227598,0.864809448277431,0,0
14,3.73763853215209,2.81924676901847,0,0
15,4.37552051490742,1.02864137594302,0,0
16,1.85544390631614,1.67445913121278,0,0
17,1.0975660604702,0.678935186482473,0,0
18,0.570650376887942,0.51771569479082,0,0
19,0.436998346736907,1.28978059237257,0,0
20,1.223504357329,0.688741558550733,0,0
21,2.85920033897181,0.934052688529423,0,0
22,2.18967114967664,1.47370500749574,0,0
23,2.3295068085238,0.933418665844538,0,0
24,3.04542956971651,1.0880696124522,0,0
25,3.53564658100943,2.71759845890238,0,0
26,2.9323169681625,1.26821190419352,0,0
27,1.53557713180712,1.20574880587057,0,0
28,1.72237100532566,1.29371151918066,0,0
29,7.38939397423043,3.2163172105068,0,0
30,3.253885813512,4.02216604983264,0,0
31,2.69491674246931,2.46475002160183,0,0
32,3.68314453193841,2.41127974721984,0,0
33,1.10104947936916,0.839555427590207,0.231452861793243,0.400355551341614
34,4.19287241331973,0.661839867420386,1.67757024114282,0.370569830283493
35,6.32286181025951,3.26004225073191,2.13188584431592,1.01912076103789
36,1.25943549477177,3.63042371248774,0.362216744097848,1.21682310925698
41,3.08540049965203,1.90607373680392,1.51754182436907,0.864001314790914
42,2.08251484485172,1.72514821893093,0.749133543119825,0.757348569439812
43,1.98927135495248,1.61002379655524,0.933151099445564,0.524964109108311
44,2.31675573095679,1.81280605603859,0.658862512507432,0.828958753268851
45,2.95502729244499,1.86597479683995,1.16103486011679,0.69313406901852
46,2.58545762051792,1.92993033755432,0.656352594250963,0.109938433007259
47,3.72189868658974,2.10411953377734,1.56450750582673,0.753506478317893
48,1.62347532316866,1.88644825990821,0.304464233503471,0.122000801958114
49,0.60111633345666,0.30879911935724,0,0
50,0.865816170391585,0.515774376401697,0,0
51,2.82312692126743,0.612279668023259,0,0
52,1.187460889504,0.373704500504725,0,0
53,1.97698945234818,3.49395782479001,0,0
54,2.2442869235911,1.37954148053813,0,0
55,2.15353290068975,3.80021120290365,0,0
56,1.78539135392632,1.09033044248327,0,0
57,4.52149988899855,3.38720772424617,2.85019534302235,2.03703257205367
58,1.96870666864661,1.3862775709924,1.11216931216931,0.489777420579108
59,2.35782320287946,1.3885207408348,1.2012814502266,0.668416940146898
60,1.34078266103302,1.1251026534048,0.821056861563191,0.318527448485254
61,2.45272249914387,0.5399047540849,0,0
62,0.938046096940155,0.652850067789618,0,0
63,2.13838694754465,0.330802320667923,0,0
64,1.00328634454749,0.292615838138018,0,0
65,2.50628768748183,1.02643449201871,0.903336079458674,0.184073090131536
66,2.30462102865374,1.15120299639193,0.988244115115106,0.274588775444085
67,2.3341356854449,1.07278736827227,0.782459664355602,0.29424331904731
68,16.5509754103065,2.07026650885673,7.15717710657126,1.29991391359887
69,0,0,0.271000118500718,0.283944255057638
70,0,0,1.19738912604343,0.702503947727404
71,0,0,1.5423832974616,0.307250314853652
72,0,0,0.346662826875963,0.508252334877517
73,3.89310867091885,2.57461586380922,0,0
74,11.799609506616,1.96477760340874,0,0
75,4.26173348504576,2.71631229414535,0,0
76,10.2882000592179,5.02375819380698,0,0
77,1.39012151330487,2.74703267938709,0.639757364850779,1.94153823949196
78,1.84537408271833,3.24850390340293,0.945475247365973,1.367280337412
79,2.07983872720461,2.70897122042275,1.40107766569912,1.44908350305499
80,3.68590452832255,2.76875840677814,2.47765286976602,1.25685969498212
81,5.98962637853225,3.07248501384554,0,0
82,3.89294702755936,2.51053336189237,0,0
83,7.37080806887844,3.73196175443534,0,0
84,4.27914154924984,1.9962893802635,0,0
85,0,0,1.08134789325296,3.81624156944104
86,0,0,1.94536672149105,1.32015971733148
87,0,0,0.587291785732139,1.2602102377267
88,0,0,2.15090024645132,1.72673485548467
89,1.97925927980009,2.68630483756784,0,0
90,3.63752230561952,7.26927980060108,0,0
91,5.51435022272066,2.73879425979547,0,0
92,4.77938852051139,2.25831264791922,0,0
93,0.991160352967626,1.814453125,0,0
94,0.593825876798561,0.635485049460432,0,0
95,0.317426371402878,1.61122976618705,0,0
96,0.836404001798561,1.17071577113309,0,0
97,1.13486183865316,1.00743945713752,1.35267340770867,0.473198761240252
98,0.585831680614722,0.730738787452975,0.472952501772322,0.376359091078691
99,0.620489856902731,1.8070010049715,0.356076265810977,2.51811499570912
100,0.607256249944415,0.994045766224064,1.22687213163688,1.10018282899892
