patient,Q9P2W1_N,Q9P2W1_C,Q9P2W1.2_N,Q9P2W1.2_C
45,1.09495328811581,1.49474161664961,0,0
46,0.742499200078762,0.908682397865001,0,0
47,0.866014071581523,3.30290116489629,0,0
48,0.604684198127305,0.980794858000795,0,0
77,0,0,1.70830329789151,0.84015137862678
78,0,0,1.7585118296733,0.598405761655897
79,0,0,1.63696161470535,0.710292073217826
80,0,0,1.31361506577762,0.623567953041732
