patient,Q7LFX5_N,Q7LFX5_C,Q7LFX5.2_N,Q7LFX5.2_C
1,1.33950104029555,1.93795026763285,0,0
2,2.24411798811084,2.00227394496469,0,0
3,1.92275191312756,1.67215878730396,0,0
4,1.77421612781501,2.6702235646263,0,0
5,0.53924388828189,1.84626382818902,0,0
6,0.529978148046982,0.974682463807703,0,0
7,0.768471729035782,0.862268676591095,0,0
8,1.08429220158427,2.18067126468178,0,0
9,0.662853482200055,0.922704208738802,0,0
10,0.930147544817628,0.992348209836999,0,0
11,1.07008124625037,1.62321670073111,0,0
12,0.834828101644245,1.09059617868074,0,0
13,0.503360989612788,1.01625015212147,0,0
14,0.816469922901261,1.06063740684797,0,0
15,1.10845007910316,3.12230208102168,0,0
16,0.889430958329456,2.43052881001639,0,0
17,1.07907824523493,1.74488440951116,0,0
18,0.674882677509547,1.25841876500037,0,0
19,0.634502296964048,1.07713180532302,0,0
20,0.884050739399738,1.81481191287207,0,0
25,1.21831209181409,1.00733797937526,0.589172361164106,1.27862135349821
26,0.776292504654688,1.04623561081617,0.59024333136772,1.38179870963266
27,0.476795153359734,1.16171223361636,0.540640500884526,1.88672864129869
28,0.601599022371326,0.845170364477954,0.52470168927122,1.71336154566582
29,0.993319288723845,1.31622509462258,0,0
30,0.994961793901307,1.66619295865172,0,0
31,0.765714489752196,1.45570592015997,0,0
32,0.70622009569378,1.57230950510605,0,0
33,1.22518817164292,2.61576453556753,0,0
34,1.74621335079818,3.40250021971835,0,0
35,1.88236115174987,2.38156894400728,0,0
36,0.661411451191003,2.27413225036752,0,0
41,1.56417816327208,1.69981966832247,0,0
42,1.00763367223888,1.30401929438317,0,0
43,0.688999767670845,1.82945933686621,0,0
44,1.04813085663078,1.4530086625585,0,0
57,1.37608106236023,1.10035821013675,0,0
58,1.50097963545687,0.855855053533614,0,0
59,1.26185952621267,0.707848958024105,0,0
60,0.863932593164321,0.85098260404916,0,0
73,0.696394412964233,1.85388770587457,0,0
74,0.604651652410342,1.75486639958615,0,0
75,0.828581224961201,1.22627855776519,0,0
76,1.1006093526305,1.21050637023135,0,0
77,1.93605619920051,1.64607176662938,0,0
78,1.6450860902285,1.008386072236,0,0
79,1.29547605823314,0.923304988617784,0,0
80,1.02238111256268,0.98419006344314,0,0
81,0.686681109809337,1.38275855298037,0,0
82,0.651610454042662,1.02799002506823,0,0
83,0.650334134033237,2.10947553065459,0,0
84,0.882801096980685,0.998853275560763,0,0
85,0.766330340827838,1.15368237069993,0,0
86,1.13174968883239,0.817197637774423,0,0
87,0.398825242975557,0.714117740525939,0,0
88,0.510711580731443,0.810089775164853,0,0
89,0.423894364780597,0.926085998639808,0,0
90,0.446534862112896,1.22080136402387,0,0
91,0.443165033477973,0.472586377003171,0,0
92,0.846188108853703,1.21030297805493,0,0
93,0.897834630153028,0.638032474917518,0,0
94,1.01996745752024,0.944109135541117,0,0
95,0.735820374520027,0.600732487303929,0,0
96,0.742303534631279,0.992545632664092,0,0
97,0.929229560983272,1.03519359145527,0,0
98,1.06385298044451,0.84240006282887,0,0
99,1.07782926254614,0.953871043744601,0,0
100,1.08436032356868,2.13947066677138,0,0
