patient,Q8N490.2_N,Q8N490.2_C,Q8N490.3_N,Q8N490.3_C
1,0.717491783933611,1.1109725476867,1.62480588715573,0.901131857986776
2,0.827514068442885,1.12097544395482,1.30157798400137,1.26783570182133
3,1.03457809033005,0.99858777008897,1.20133837804377,1.05300681462824
4,0.833237189997582,0.909318084441774,1.17893068503824,0.800390627084545
5,1.11745142268481,2.69358992575752,1.33224090101601,1.01698593693938
6,0.711670988597208,0.703305388796135,0.706999151140709,0.637624594166499
7,0.791841320024155,1.70703083371816,1.432310034917,0.503797988991083
8,1.04241412383219,0.788653156193386,1.31317219592022,0.879645754390878
9,1.67996550689782,2.67322399430476,0.730558398634243,1.73480616046831
10,1.27352436093603,2.18767680092532,1.11258996152741,1.83474588270514
11,1.24818096340853,1.8090969401163,0.756854067130819,1.30072940138922
12,1.60580600631767,2.87052690370289,1.04972308638329,1.50238886034573
13,1.93673272455221,4.21915792064644,0.819050107676089,1.65036132310936
14,3.3601190645599,7.03269524684202,1.30065056180788,1.80434038258801
15,3.50957665246106,8.25403503599442,1.21846307025527,1.42438795829917
16,1.9917108679935,3.44700126950946,1.00645155477064,1.94079391967995
17,2.83605467075578,3.02616488986435,1.08541229960733,0.544620274964817
18,1.6433899516974,1.96086010176561,1.09682078080561,0.658601753712616
19,0.981665040268933,1.30702131662681,1.77888655979058,0.56773247517542
20,1.80078169703514,2.11426193581461,0.989718343125388,0.509752689124423
21,2.19918740821648,9.45728601089546,0,0
22,1.59574457267004,4.88572887778495,0,0
23,4.29832438388034,5.01233140177387,0,0
24,2.62953812335313,4.27739313866562,0,0
25,1.03555941164069,1.06390217796734,0.949822379085568,1.19982985181012
26,0.768845174577948,1.81226991875193,1.02039019118678,1.14791396019912
27,0.464902778003016,1.46830189903183,0.794796684409597,0.902334939011071
28,0.728839012049365,1.70882052446362,0.699575779175241,1.14188979455756
29,1.1587444239285,1.36124773280609,1.59483858896484,1.28906975656369
