patient,Q6IMI6_N,Q6IMI6_C,Q6IMI6.2_N,Q6IMI6.2_C
1,1.21030702015452,0.834305543981619,0,0
2,0.918792633421031,1.70962845680409,0,0
3,1.87126938965012,1.36120403328532,0,0
4,1.03064844466137,0.948720848561327,0,0
5,1.17422232749092,0.752386704563398,0,0
6,0.818782567503553,2.34420495815569,0,0
7,0.725970314227064,0.862719090478446,0,0
8,1.47469603663351,1.38339649455234,0,0
13,1.09399044479949,0.933183285884269,0,0
14,1.45942395201235,1.62810085872912,0,0
15,1.20241177184184,1.0727222513312,0,0
16,1.06475184096347,1.11814946068094,0,0
17,2.49756994029505,1.35071536088688,0,0
18,0.928018573553469,0.47356029724811,0,0
19,0.767201170941414,0.633148567645321,0,0
20,1.44243118789394,1.09274307277116,0,0
21,3.45409726358283,3.32347885126117,0,0
22,2.9277687507174,3.37594758881708,0,0
23,3.50628913235008,2.41584193088229,0,0
24,2.35916950260505,1.88861443514259,0,0
33,0.574422280844674,0.896165053130499,0.852792173277523,0.711241777954953
34,1.38012886156958,0.652006088109034,0.998546608198791,0.857492857617434
35,1.06336843019232,0.537288390966921,0.73843764533918,0.739400205966381
36,0.651065036020461,1.35432334907287,0.953732310145505,0.770207129094412
41,0.987064425687202,0.804668377564492,0,0
42,0.831971043301538,0.771795404310869,0,0
43,1.40728516117548,1.2673599264215,0,0
44,0.82539199833855,1.20408390322054,0,0
45,1.107224457537,0.625714901566317,0,0
46,0.569032907026872,0.711578531398189,0,0
47,1.66621281793361,2.16314844086794,0,0
48,0.538353211668343,0.88611869521483,0,0
53,0.928129030019489,0.582283239167019,0,0
54,0.856373719791119,0.76678945877019,0,0
55,0.85417040151283,0.702783351935277,0,0
56,0.759312055794264,0.591796253780628,0,0
57,0.82239254043136,0.77627750185613,0,0
58,2.8528192428833,0.557876679163842,0,0
59,1.12791389399997,0.316777112184054,0,0
60,1.17858970989029,0.396536760603,0,0
73,0.804481517827936,0.984991227287596,0,0
74,2.96778481577304,1.28240996818033,0,0
75,0.570794302197639,1.08083682754929,0,0
76,1.48791447348857,1.05629107562375,0,0
89,1.03994006025605,0.753552497357538,0,0
90,0.77224347028449,0.575708852051104,0,0
91,1.06843384355042,0.553439682008324,0,0
92,1.29833860947174,0.557812594726673,0,0
93,1.86601023757291,0.756000544189922,0,0
94,1.66791660289441,1.30877676309032,0,0
95,0.766368212506165,0.771776099858851,0,0
96,1.51665731340238,0.844635477781746,0,0
97,0.716791215267907,0.765166477400419,0,0
98,0.675972215814125,1.02950767458509,0,0
99,0.81152951437208,1.8891400862935,0,0
100,0.668136146678117,1.78128065034165,0,0
