patient,Q8IWZ3_N,Q8IWZ3_C,Q8IWZ3.6_N,Q8IWZ3.6_C
1,0,0,0.927905508258259,1.16223470131767
2,0,0,1.21492870906484,1.43012139402531
3,0,0,1.09653377554141,1.45172787922696
4,0,0,0.928805584660093,1.13909320209739
25,0,0,0.338823473240388,1.75712512303692
26,0,0,0.592870836944865,1.50544116998928
27,0,0,0.568505854353671,1.45702889714848
28,0,0,0.505667043735034,1.0899546783411
29,0,0,0.43994102166392,2.19793763995258
30,0,0,0.829548845298803,1.38740218440273
31,0,0,0.752885072889589,1.06988556482375
32,0,0,0.715722538380273,0.996885761059782
37,0,0,0.607637983326252,0.925356405034358
38,0,0,1.24525208421855,0.976965905261461
39,0,0,1.06304816046651,0.949996337050007
40,0,0,1.0666129434001,1.22684942345167
41,0,0,0.806542755769669,0.954282087171642
42,0,0,0.896154096546336,1.1766381302692
43,0,0,0.620611308225644,0.886087692457928
44,0,0,0.668122782461508,1.19558282607988
45,0,0,0.699997750355184,0.678904734464039
46,0,0,0.469495681547202,0.672875686357981
47,0,0,0.652750017737584,1.25076617710934
48,0,0,0.687789100990017,1.03116969416944
57,0,0,0.816611630315968,1.18329680140557
58,0,0,0.992968319283326,1.67227331604982
59,0,0,0.776693583925189,0.889810930581707
60,0,0,1.11441074858975,0.84465250792161
61,0,0,0.991427823446254,1.05703963558301
62,0,0,0.974252055081418,1.96056966333316
63,0,0,1.09486360542437,1.54277187287293
64,0,0,1.532530498979,1.19531703230536
65,0,0,0.875547333363031,1.4575117327834
66,0,0,1.08751699976154,1.19302557759883
67,0,0,0.976484645841577,1.27914198043619
68,0,0,0.816641030545853,1.15794645500926
73,0,0,1.01698874574263,1.0063231156523
74,0,0,0.801247593662076,1.85962905375389
75,0,0,0.557130164371391,1.02046497852806
76,0,0,0.653043091959129,1.93379238856804
77,0,0,0.942390982899977,1.48833746169641
78,0,0,0.806207436087277,1.49996749045163
79,0,0,0.920865467099288,2.15540403076452
80,0,0,0.657972285085668,1.8155408225545
81,0,0,2.23084672479067,4.39605436497574
82,0,0,2.18645216269201,6.3063099818253
83,0,0,1.47724822442525,4.65020487160588
84,0,0,1.72185154652936,3.1880888373612
85,0,0,0.657553486046246,1.60755703583434
86,0,0,0.730916802227415,3.35241987510919
87,0,0,0.113078654043826,1.0518361664758
88,0,0,0.575068757851977,1.5597305865176
89,0,0,2.24300456080621,4.8731097768369
90,0,0,1.99180780481216,4.65782957279775
91,0,0,2.08510998878314,4.01173462438761
92,0,0,2.48233905845133,4.02019389844924
93,0,0,1.18257680662215,3.54886697913137
94,0,0,1.01453631851065,1.53618106792126
95,0,0,0.600333925941082,2.2509585758752
96,0,0,0.653193097056467,3.51247859755963
97,0.737532501789954,0.732295474243509,0,0
98,0.87201737197121,1.05311451935034,0,0
99,0.718759656328899,1.18292384218261,0,0
100,0.826485661529186,1.08886648829936,0,0
