patient,Q3ZAQ7_N,Q3ZAQ7_C,Q3ZAQ7.2_N,Q3ZAQ7.2_C
1,0.621348320558525,1.52347404162451,0,0
2,0.79724869294375,0.842379875306569,0,0
3,0.857402414412315,1.15798032661839,0,0
4,0.697663454866169,1.24909552237225,0,0
5,1.36214323137643,3.01245632686264,0,0
6,1.16488139349858,2.26081199900445,0,0
7,1.36560022595578,1.80115875319824,0,0
8,1.73874688205925,1.97900074526056,0,0
9,1.50291188859653,2.44472954762359,0.74877066661659,1.23454581060889
10,1.7013073521107,1.75459643156768,1.13508583201659,1.22817447010567
11,1.55392971480289,2.50319570863935,0.881603056097306,0.934813809310473
12,1.74681308390071,3.79455556173085,0.988638893881635,0.98868449926629
13,1.46547092943573,2.95948919065857,0,0
14,2.15029104458437,3.24382877879808,0,0
15,2.29336165880306,4.13342107213854,0,0
16,1.71974254626768,2.83815010902182,0,0
17,2.37565732981402,2.76025125785823,0,0
18,1.58714038770903,1.48450659798204,0,0
19,1.61952673940648,1.56435652136686,0,0
20,1.7171192668323,2.34877629518807,0,0
25,1.54576647647001,3.33577490044055,0,0
26,1.8698545504768,1.57821673096469,0,0
27,1.86076909162693,1.92746811713649,0,0
28,1.40887070034721,2.34977273879781,0,0
29,1.41047053042068,2.47195253893164,0,0
30,1.58371204113061,3.9064941181264,0,0
31,1.61264088635896,2.95169181284775,0,0
32,1.17898790983523,1.7869229769472,0,0
34,2.97269537538377,6.50484681793598,0,0
35,3.19806038295252,5.13903678486732,0,0
36,2.02182859027309,3.74291063683823,0,0
37,0.501787566533932,1.5567352449319,0,0
38,0.599790901756755,1.2676786802114,0,0
39,0.664244435611148,0.723550483466186,0,0
40,0.393169378985274,1.39443125983456,0,0
41,0.649761075773112,0.776675111607462,0,0
42,0.880116591595237,2.00876293518341,0,0
43,0.482795456298145,0.607403080737252,0,0
44,0.527952563615539,1.5011953351937,0,0
45,2.73819457803279,3.76424384642198,0,0
46,1.95290232443309,5.07484700779708,0,0
47,2.87641036235479,4.96249965958754,0,0
48,2.62661103531849,4.34519562393914,0,0
53,0.898578401609177,0.939231841633057,0,0
54,0.734516246111889,1.45637005654509,0,0
55,0.736646438880767,1.00236085058462,0,0
56,0.875136105071419,0.93001570508363,0,0
57,5.58312443371294,10.2856228992533,0,0
58,5.91242504424847,10.0425178383474,0,0
59,5.15953280695266,8.90041778753637,0,0
60,7.16978366788823,10.1830006302218,0,0
61,3.40314241687007,5.84249649534392,0.919457886762901,0.364545212726411
62,3.56814641221969,7.0620322144167,0.829544609680782,0.998703038854312
63,3.34237814740385,6.89130686593798,1.12126338885208,1.02664966022922
64,3.57800817726215,6.83742098301659,1.19422199679147,0.867100308792405
65,0.523912161210212,1.49545266247926,1.45351495101533,0.780377621896368
66,0.487117103666679,0.901405311290224,1.28490249765277,0.862941242976734
67,0.737961909608393,0.821971473211188,1.60797027001784,1.04084431576308
68,0.531316172960743,1.21550699921986,1.01930875825218,0.830438822008445
69,1.26214996694864,0.714691089545233,1.07377861038781,0.910302204574077
70,1.28034258452047,1.61556958508569,0.973087075970187,1.06343024376252
71,0.998275581272813,1.49869231579855,0.939025756631873,1.06115799522245
72,0.802889359378443,0.829712692679842,1.58151187440337,0.985990041545846
73,5.67273083152805,6.7679319567393,0.770515648995306,0.471255921095322
74,5.1060684851335,8.38904569887593,0.968015270477797,1.04214522094608
75,4.31073307963856,5.40189130822818,1.56075206021673,1.14900612116886
76,3.80840212237041,10.3018561584276,0.875819220037635,1.64322021067203
77,1.007221200649,1.23025923922841,0.541881286547951,0.634035434430685
78,1.12292626645033,1.25320064899946,0.580253068751445,0.848390013004839
79,0.863177934018388,0.920274021993871,0.52171027141969,0.800055863740528
80,0.814014061654949,0.914415720209122,0.623607536198803,0.707877688442513
81,1.95675158813973,2.86758836411974,0,0
82,2.09734944690186,3.52803690429421,0,0
83,2.21226325141496,5.12196819955725,0,0
84,2.0569089164532,2.97484212384745,0,0
85,2.04634272087979,1.64487937389008,0,0
86,1.9559869754275,1.72779467827444,0,0
87,2.27719188078138,1.22654162694184,0,0
88,1.67040853368141,2.20776952640571,0,0
89,1.38019265399284,2.40805119887753,0,0
90,1.4825906878116,3.34616288727126,0,0
91,1.01025604757131,1.9458307468823,0,0
92,1.48049573987144,3.83530205334289,0,0
93,0.77689132350324,0.769794384085493,0,0
94,0.681525386208064,1.15254947239573,0,0
95,0.523886518419488,1.12119271988575,0,0
96,0.720673579852505,1.3106506178895,0,0
97,1.86711867710362,2.70134515120901,1.14313056543105,0.78222746434057
98,2.00543547652128,2.54517437591745,1.11339483518429,0.665133905287788
99,2.25530335379567,3.44183647949075,0.86815460952864,1.08455148786311
100,2.34176167291947,4.30954017644164,1.54330330014211,1.13519242455417
