patient,Q9P260_N,Q9P260_C,Q9P260.2_N,Q9P260.2_C
1,2.26139482045364,2.40802934861191,1.73858437410519,2.24328750011539
2,2.0580723507517,2.55103865243684,2.21055797149242,2.80137347100177
3,2.42374275274113,1.99566949040014,2.04293575067048,1.87155042314882
4,1.67730156571864,2.77177338440711,1.42698919411063,2.4520689286139
5,3.0533664555682,5.32841925627385,2.14802271582252,2.59348040654345
6,2.4709259404943,4.47195139295033,1.43993705053115,2.4388604290736
7,2.4685801516805,3.53974159352412,1.68837969075593,1.96633051169524
8,3.08425254005361,4.02562949877943,2.67791151955997,1.979391264803
9,1.5410942577189,1.04912993839939,1.10023246719388,1.04098049013644
10,1.79690930533077,1.61177813742833,0.577099808812027,1.14064808377509
11,1.27493350646744,0.65783902292145,0.791344399061441,1.20525006517772
12,1.11662087395084,0.60235769756734,0.659967845659164,1.39998479186582
13,3.05323826589276,3.56788762517797,3.02906333882362,3.1912877907808
14,3.66200931782516,3.69718322717022,3.19091901012938,4.71655851585154
15,4.72737875688737,3.59922269603411,4.58387881796931,3.91727406958313
16,2.66533659508655,4.57893147291429,3.08948476246782,3.93994832851724
17,2.54904679171233,2.3654589924652,2.41779202902555,3.11067909894514
18,1.88062817929473,1.76051832791089,1.7713213044178,1.07822281305249
19,1.68859412813648,1.38556496606811,1.59863060332555,1.72428365674737
20,1.64849392256518,2.31176924222646,1.71419260244465,2.44300784820761
21,3.53960148337373,4.62196533065506,0.664713686282741,1.41495976181112
22,3.97806248231345,4.89752228403512,0.588672781702985,1.25176532444269
23,4.81445896241208,4.44097575029069,0.990853938125506,1.49493685589858
24,3.90336847863671,7.28662671600259,0.65923684998869,1.74386543387752
25,2.13423569510678,3.20181866904948,2.00160499718041,0.792651715611851
26,2.42481294567174,3.60506085989341,0.937629231191891,0.698451394612415
27,1.64567546995669,4.53123849150265,1.03417487239549,0.777093364565711
28,1.781336967003,3.87962294562925,1.21309590942611,0.77845255136714
29,1.57607318632778,2.86735511372141,1.73644016539636,2.26002122829527
30,1.61818446190692,3.89901316693532,1.35993045775759,2.79559494670748
31,1.60737563343434,2.45423347402915,1.62284984566376,3.30219764057618
32,0.975019772686075,1.96375456974044,0.993100752683171,2.15233395696074
33,1.96978197715822,2.23055166607684,0.414415929182583,1.54386658741229
34,1.80399935417497,2.65191263382613,1.06584665225247,1.31611129398559
35,1.45590910380787,1.90202104825954,0.945508668644869,0.991209394959137
36,1.31799974475714,2.17932900748885,0.214818279343262,0.944660867835432
37,1.95326850109396,2.0577405785223,5.7441535176171,2.98802031470206
38,1.65886688453355,2.5891670419744,3.11889408302031,3.83837479479599
39,1.46570903242999,1.92782283656784,4.98242979231409,3.55115789543027
40,2.1165554725776,1.70978703719001,4.75792047705613,5.43100423583463
41,0,0,2.16884846553154,1.91433170951829
42,0,0,2.36630085243631,1.92159015631161
43,0,0,1.90122592293197,1.97266831320159
44,0,0,1.7937580019663,2.8400821239463
45,2.85884675964222,5.1767692477035,1.29911986323055,0.791333713248486
46,2.38539879716572,15.1854841835125,1.1337427974419,0.968319297579096
47,3.55321944783071,5.20217670515293,1.19221596065768,0.942852318537749
48,2.5235134851745,5.78417842575519,1.03482133434644,1.06721965427721
49,1.54731001412057,2.25887485870824,0.324868519652762,0.912203292397921
50,1.97969912602931,2.75697222335755,0.773532159220391,0.664789272161753
51,2.03631967044844,3.3086163171336,1.68731629535088,1.10472918641296
52,1.70289222964408,2.07023393442183,0.840117502540642,1.13668310242293
53,3.4820233409517,4.19151123749876,1.19322104915285,1.42655989046981
54,3.65835074927949,4.58833454788604,0.784598497500752,1.93652147228402
55,3.46042214069877,9.00081439853352,0.560778632170952,1.38418775929325
56,3.05816577006458,4.99850111206736,1.04217738461266,0.872361331594384
57,2.8996375325374,4.27618129556005,3.16709757319951,3.11850795959585
58,3.01469239622876,4.0747751321874,2.60534213943204,2.10537516063188
59,2.83249834649507,4.29956849751962,2.36843351614659,2.21608303460105
60,3.26383673502379,2.77461419638642,2.52232768977228,1.94132779962864
61,2.58093557047612,2.95382662836245,1.08770715381816,0.833627860382923
62,3.25290245904862,5.04825120029288,1.19565413144536,1.08870141710658
63,2.69856287524067,3.58465842296423,0.999311519571979,0.975758735447175
64,3.13664221588879,3.11415403199222,1.10920762843818,0.586842332354078
65,3.06358749633714,3.45478633089537,2.44202109836864,2.04580704570165
66,2.69601199666847,3.752121853526,2.77220775795879,3.33305279606993
67,2.91973927381847,3.22340382787801,2.51247386554263,1.93752707958647
68,2.42443270986142,2.68301519205993,2.36697991110856,2.09872944641814
69,1.80736452739753,1.58505635296104,2.92165912061739,1.69658861117977
70,2.48999757975214,1.80422246479404,2.55183460391844,1.93429760417723
71,1.91945833756543,2.03811651328477,2.92921222862282,2.42330432405612
72,1.8675091966184,2.10517435603286,2.23231391176513,2.11599534719006
73,2.8603936279783,4.16103926655459,2.5026136886988,2.66143433078495
74,3.0639882605743,3.68593143603263,1.99685985343339,2.55365402508166
75,2.84557898170793,3.13953591300606,1.34561620262491,2.3888560712928
76,2.5865673585256,4.15009565434436,2.11992321542499,3.04280994119081
77,3.13598197299663,4.35155924592115,3.5305657225614,4.28611502958194
78,3.16154746419949,3.66009865623594,3.15177500340328,2.45260186736887
79,2.94168287610754,2.97270576425042,2.56463804883736,3.97488414254505
80,2.86698189746259,2.89709390984105,2.66139654813285,1.92102898132777
81,2.88891609920464,4.69745514342717,3.01661314638176,3.42032073568752
82,2.67787983733345,3.34716039676596,2.87074127445943,2.29677834117241
83,2.39220458154829,5.18568667249343,3.04429118506487,3.53121429410047
84,2.49208012935322,4.57140001665231,3.88656454272577,2.60990903069612
85,1.85886253197027,2.85311497059954,1.74118324367429,2.09595655559818
86,1.79796093169082,2.882950459816,2.21546397098269,2.30132131589934
87,1.34883847581824,2.01688546395997,1.23729213027769,1.89812092693599
88,1.33305226572184,3.91698840438363,1.34218495191785,3.31429850851719
