patient,Q96LZ7_N,Q96LZ7_C,Q96LZ7.2_N,Q96LZ7.2_C
1,2.25630226701155,4.60598923781542,0,0
2,3.44888794208154,4.35684063420603,0,0
3,2.22366675272001,2.06799455214777,0,0
4,2.18216886001175,2.48266575859708,0,0
5,2.61903223036442,8.5943911901431,0,0
6,1.51810639067116,3.32602631445434,0,0
7,2.59405613634731,2.26283573735657,0,0
8,3.24935007145865,3.50095103752938,0,0
9,2.99278706777398,5.55926381827141,0,0
10,3.29384468950425,3.75833678419507,0,0
11,2.95882110703144,2.6284324403779,0,0
12,3.03377548410248,3.15405866171725,0,0
13,3.86560970077831,3.62848492563053,0,0
14,5.95210319079811,8.01724884299532,0,0
15,6.62360741279667,7.15953004351571,0,0
16,5.44878634623588,6.71474499174571,0,0
17,5.4666334247444,3.02505723428506,0,0
18,2.50199123238717,3.00155342536905,0,0
19,2.30254520916348,2.31115408169235,0,0
20,2.62242758439265,2.34919282651322,0,0
21,3.93125598466457,2.04721869722078,0,0
22,3.44740472617906,5.02205739872164,0,0
23,4.60533293403241,2.81778131059214,0,0
24,3.9505461886557,2.57741062000347,0,0
25,3.47101088839136,4.93034757897746,0,0
26,3.18510087565253,2.92108135457646,0,0
27,2.44879561447018,2.66611827273053,0,0
28,2.51299276024714,3.30891835264424,0,0
29,1.81251639030229,1.66116440005242,0,0
30,2.63701054529503,2.22320357576694,0,0
31,1.6132248880912,1.47962045261104,0,0
32,1.36869083813978,2.14926331535932,0,0
33,2.07046270745671,2.87842245278361,0,0
34,2.50159499753829,4.47039127586728,0,0
35,2.23348139581674,3.19843653286988,0,0
36,1.6860499321284,3.28488104805084,0,0
39,3.44921435647254,5.16166404877265,0,0
41,1.41470913208493,1.65284442203862,0,0
42,1.27868779663408,1.54729297324971,0,0
43,0.785535358390124,0.900952624746302,0,0
44,1.23898421521431,1.92617745933648,0,0
45,0.492512608637403,0.713179969661479,1.33434606835961,0.711044995537199
46,0.458474689808072,0.602271499509484,1.0283904163531,0.663550289644551
47,0.948199784778014,3.9313018337086,1.64218834771347,1.08632632702707
48,0.311502275389063,0.53386721062799,0.60995117170409,1.07528658184427
49,2.45013050266746,2.40491240214607,0,0
50,2.59359484688257,1.56011607207406,0,0
51,1.96650875859333,2.53247016722265,0,0
52,1.9326328526515,4.23555562803845,0,0
53,4.67326346492695,5.5688240315634,0,0
54,4.74706831803154,2.65833950808983,0,0
55,3.73704941492096,5.55433372732893,0,0
56,2.75567508688593,3.02366719039984,0,0
57,3.85693295919259,5.93614711979959,0,0
58,4.25012639117863,5.73777126318386,0,0
59,4.12101738431608,4.8955916810358,0,0
60,5.34411011140636,4.11706387669885,0,0
61,1.39158359273415,2.82942027435506,2.05102866677991,1.0155374146941
62,0.771475854615458,1.8846515397995,1.47887211358799,1.56236448476734
63,0.906587561144478,1.58633966215037,1.77989828239126,0.672958903288336
64,0.851418214159063,0.789190162845547,1.59274987260319,1.21071931735294
65,2.95908101667,2.92765785924228,0,0
66,3.91485318895525,2.82014975365623,0,0
67,4.08325248038712,2.93202332333344,0,0
68,3.64658076127479,5.68554614030287,0,0
69,0,0,1.91595729405973,0.531414095831966
70,0,0,2.12125143583853,0.777993723334427
71,0,0,1.87141040367575,0.669187930751559
72,0,0,1.30443879225468,1.10245733508369
73,2.57319290725643,1.64727058749404,0,0
74,1.94247787462013,2.48085252940549,0,0
75,1.21999942752784,3.81247347443613,0,0
76,2.03059245268859,1.79901006391876,0,0
77,8.51331259248614,13.2626573425177,0,0
78,6.93940749845144,7.03444373058191,0,0
79,6.15268799430842,11.084963204469,0,0
80,5.23113392963039,9.37501665665434,0,0
81,2.42034743155764,2.18604062305107,0,0
82,2.48421022849022,2.85379452051996,0,0
83,2.01301479433769,1.87922703247891,0,0
84,2.09069052886037,1.96627228822224,0,0
85,2.06191936404261,2.75251984994615,1.57276170798898,0.734837006427915
86,2.75899726593617,5.06991809894396,1.86682162534435,1.11702249770432
87,1.02814718455085,2.64055931918103,0.43556875573921,0.928965794306703
88,2.02228715512173,3.22700279492461,1.04090909090909,1.19393365472911
89,1.23762716730479,3.2423958323658,0,0
90,1.61684626438139,1.79260971055205,0,0
91,1.497444649455,2.17006353798494,0,0
92,1.33108305878833,3.9115847190176,0,0
97,3.23166252846018,2.80758981793906,0,0
98,2.80396437089718,3.59911731764856,0,0
99,3.01582695452954,5.23768410481258,0,0
100,3.61331365192372,3.79605051991305,0,0
