patient,Q9Y3C4_N,Q9Y3C4_C,Q9Y3C4.3_N,Q9Y3C4.3_C
1,0.507296006064213,1.67813458961836,0,0
2,0.737456820743332,1.17322902709945,0,0
3,0.710842772648538,1.39557684827167,0,0
4,0.537952862714068,1.59613805393293,0,0
5,1.27696113136114,2.10584250194647,0,0
6,1.66770356475599,1.8650347192741,0,0
7,2.72078791203586,1.81126576136296,0,0
8,2.07443238383159,2.95944093392501,0,0
9,0.503860837119315,1.77054362659573,0,0
10,0.551559881842837,1.56181226139681,0,0
11,0.729417505916495,1.36607991155487,0,0
12,0.707509198638774,1.70968577795436,0,0
13,1.75945770765916,2.92225344880525,0,0
14,1.6130533297044,3.2974330858647,0,0
15,2.60493935597915,2.95642308741561,0,0
16,1.57402419677334,4.0315216844604,0,0
17,0.950295877652669,2.49783466161525,0,0
18,0.904880890810865,1.36726008362256,0,0
19,0.890270828270492,0.951510959623968,0,0
21,0.600314935074692,1.23575955548477,0,0
22,0.571940727295675,1.37696947113145,0,0
23,0.769875017654996,0.831442621013101,0,0
24,0.760118441231653,1.68433167952351,0,0
25,1.21341879373876,1.84617390411121,0,0
26,1.03654367356829,1.35504873982337,0,0
27,0.956622742441442,1.76883021790033,0,0
28,0.790941583326529,1.12407781514951,0,0
29,0,0,1.20850014960035,1.96074771681365
30,0,0,0.99453602518985,1.78557282687677
31,0,0,0.886147007280551,1.63081482325787
32,0,0,0.619747246641116,1.23072648781113
37,1.83913298616267,1.86769204379513,0,0
39,0.98999014661798,2.21091165580263,0,0
40,0.827776213885164,2.22950065673393,0,0
41,1.27783496622233,1.81143683402744,0,0
43,1.01811242228021,2.59597237889859,0,0
44,1.0158125404856,3.214433401288,0,0
45,0.459238394564299,1.18473917003799,0,0
46,0.335232354896152,1.56970236581023,0,0
47,0.588213210132856,1.73495211757658,0,0
48,0.276831800165763,1.37727205586693,0,0
49,0.378214025771663,0.699361346605296,0,0
50,0.18150519226235,0.770002767839752,0,0
51,0.794072722426678,1.48144009677188,0,0
52,0.34751663266666,1.20341571927954,0,0
53,0.700358680249549,1.10002330484071,0,0
54,0.56323514048533,1.78026749671187,0,0
55,0.513215451913006,1.87324309627578,0,0
56,0.588674918901833,1.03334467323667,0,0
57,1.81356844069482,1.85134688733945,0,0
58,1.85154811211854,2.73285893919862,0,0
59,1.9355119481306,2.38696994629831,0,0
60,2.4549849798195,2.47657285781115,0,0
63,1.4692418191743,1.38504611141437,0,0
65,1.1231786767619,1.69149755689572,0,0
66,1.09367984328917,1.26924769996038,0,0
67,1.3248228199146,1.04913721001893,0,0
68,1.00881498437294,1.53924924065678,0,0
77,2.34311225233312,4.30366236168652,0,0
78,1.848208806426,3.41710250177012,0,0
79,1.51847058404619,3.98293121293433,0,0
80,1.58035040711115,3.07769809893936,0,0
85,0.464197334150452,1.42029722690363,0,0
86,0.723217404626934,2.65379500536234,0,0
87,0.210649302895664,0.759399417802972,0,0
88,0.36966876053317,1.25793779684388,0,0
89,0.428043382352941,1.68452205882353,0,0
90,0.431169117647059,2.72829411764706,0,0
91,0.397013235294118,2.20688970588235,0,0
92,1.18076470588235,2.37720588235294,0,0
93,2.37046236452687,2.46151189030334,0,0
94,1.80256572038738,2.82559805538444,0,0
95,1.88768762624616,1.81854552477329,0,0
96,2.19102666045317,2.68664277408647,0,0
