patient,Q6DKJ4_N,Q6DKJ4_C,Q6DKJ4.3_N,Q6DKJ4.3_C
1,2.66034142422216,3.49716967399888,0,0
2,3.50340215409641,3.35653653937346,0,0
3,4.34776644571459,4.63368550279003,0,0
4,3.09135430939392,4.86515229669435,0,0
5,3.58275008048066,5.23091505556276,0,0
6,2.25696064928896,4.27766632058482,0,0
7,3.07999234975263,4.02151668545993,0,0
8,4.86022763227029,4.32869570701399,0,0
9,2.93626626712669,3.66692628849321,0,0
10,2.21332389736279,2.88522857277214,0,0
11,2.54557319366769,4.80751024305708,0,0
12,3.27679379386927,3.81337917241295,0,0
13,4.62936093355472,6.05122004641108,0,0
14,5.66252724831044,7.18175453869254,0,0
15,7.41521215160696,5.25800282330337,0,0
16,4.68181889087133,5.69143296070112,0,0
17,3.51263554227114,3.71877981551169,0,0
18,3.2423220289204,2.06902710921516,0,0
19,2.39629220862263,2.37218807594067,0,0
20,2.66657732819094,5.14284948942098,0,0
21,5.22652879786951,3.98309668304601,0,0
22,5.4954405493895,5.6384315063129,0,0
23,6.2690468827599,5.79938804108906,0,0
24,5.42349850413725,6.35806334792451,0,0
25,5.87741114508495,7.51289386637773,0,0
26,4.66996987548459,5.82312143025569,0,0
27,4.29382280175078,5.42404447632251,0,0
28,4.30857897087346,4.73944277680356,0,0
29,3.24388806605875,3.62459300530369,0,0
30,2.94016095983604,4.50060821416912,0,0
31,3.12470237049263,3.91826128908455,0,0
32,2.62360914917728,3.31153792232997,0,0
33,3.40892152742571,8.22331287592174,0,0
34,5.3247642267334,7.64966958560808,0,0
35,5.39160640909516,10.3426957469669,0,0
36,2.61271815299589,7.51900631610823,0,0
37,5.73310014490296,9.40682507408264,0,0
38,4.86382097961812,8.26777569395645,0,0
39,6.07444140060463,6.70400628202042,0,0
40,5.95976674257271,8.88262142518894,0,0
41,2.80490052499543,2.83694647230668,0,0
42,2.11929517310471,5.39361575669624,0,0
43,1.89017472468428,4.77662492127687,0,0
44,1.0461209794723,4.46525371504864,0,0
45,4.43163132378131,6.4820754428872,0,0
46,3.19741059094471,6.61238284451364,0,0
47,4.84723667752976,7.70316351523589,0,0
48,3.05875740721214,7.35407657744674,0,0
49,2.9442339337927,1.66328685495569,0,0
50,2.76451220881202,1.1085584478577,0,0
51,2.22260577320343,1.40517212164983,0,0
52,1.67113624679881,2.40096219148704,0,0
53,2.92219877456996,3.01789970381699,0,0
54,2.46542906364451,3.68996844976688,0,0
55,2.41965786442604,4.66051980637852,0,0
56,2.5994285491113,3.46081584438856,0,0
57,5.41417862087049,6.98112668145493,0,0
58,5.62024441189943,5.09324235951848,0,0
59,5.42750859767109,5.05810371254929,0,0
60,5.2236140238194,2.6585127484519,0,0
61,7.72388275827316,8.8508847151937,0,0
62,7.22753342130613,12.2899033029816,0,0
63,7.45631035369929,8.87738533390503,0,0
64,8.52345417140232,11.8917908480719,0,0
65,6.79481913728665,5.76107046751329,0,0
66,6.59093293211654,7.66917390754921,0,0
67,9.00211660209677,7.27558397208817,0,0
68,6.10586225271944,8.05710462766923,0,0
69,4.73190049537054,5.27312976948608,0.733893314988935,0.939505268294284
70,4.94262702899157,5.69408971689028,1.52654441378755,1.11331943576053
71,4.59729973540763,6.74274993076791,0.89271809962381,1.08395994275832
72,4.06785409167999,4.74969733118873,0.391957811863474,1.0782238364762
73,2.93441038786343,3.98366208702163,0,0
74,2.79638527264211,3.1719127335796,0,0
75,1.59859387441474,3.54090768449199,0,0
76,2.60228852151698,4.29764720671764,0,0
77,5.43944385504466,5.6273301468408,0,0
78,5.35791467429064,7.33110889481879,0,0
79,5.13008653796237,5.39883042935497,0,0
80,4.0766148962623,4.50398768089421,0,0
81,5.24103229590735,7.50893580364829,0,0
82,5.02079213791018,6.28435858887313,0,0
83,4.31549691360999,8.61655422876578,0,0
84,6.23918742286558,6.34733533428377,0,0
85,6.15961043870744,6.99033401778482,0,0
86,6.9795952721351,11.1557641765892,0,0
87,3.90915159628056,7.13250848076578,0,0
88,4.89917928810082,14.7398353035848,0,0
89,3.00261418799732,4.12945235509041,0,0
90,4.13803784330504,4.94775011597602,0,0
91,2.89280002805316,3.30432457161848,0,0
92,3.68147901366765,5.69935455933361,0,0
93,2.1768851594259,2.33883010688335,0,0
94,2.21794474388468,3.10334704035829,0,0
95,1.81312584799421,2.12356212217731,0,0
96,2.11904635816629,3.6954012814929,0,0
97,4.39229891604167,5.06302382930121,0,0
98,5.09378748362341,6.27620302832791,0,0
99,5.56799984382441,8.24915348482614,0,0
100,4.57028897754659,11.7454817301094,0,0
