patient,Q96HJ9_N,Q96HJ9_C,Q96HJ9.2_N,Q96HJ9.2_C
2,1.32912380445073,1.63010028505956,29.3812732406646,41.7157539809269
3,0.992152291947397,1.29746927237296,34.072310520106,41.2188463948954
4,0.869584593598949,0.66178646112141,26.7364217075372,46.5648465889887
5,2.62752316798141,6.24759262682849,26.3299286477149,50.9007215407238
6,2.1931055202976,3.46563866258191,21.1576446245094,53.0809747753006
7,3.04960753035108,3.80097242568172,20.1771730093462,44.2989887498779
8,3.1103337369859,3.60012942356473,33.5708438533592,57.5264647914969
10,1.04766235009367,0.964644669009558,25.1584739781053,41.6424399043712
11,0.994578074361744,0.976350011623296,22.0963694810236,48.3952770346033
12,1.09425125463223,1.20199236964816,28.1599353427875,42.4743807154028
13,2.34581000554412,3.46812961243452,19.3052957346191,42.9503050366262
14,3.00348201346703,4.16036877123695,25.2489043294539,51.7593516177293
15,3.96498919149469,3.66409960038996,27.1595007928065,36.2254728677577
16,2.60088407725342,2.8540655703324,24.7233217361977,40.422208243739
17,1.16847622924264,1.24463569227191,46.5757299047026,63.5184954438703
18,1.02118309671953,1.72191162910474,35.435750873287,40.3614236964887
19,0.820432135173078,0.753614833151962,27.0706072846397,40.7120365452789
20,0.962568222032082,1.43024946211549,35.6238746662206,52.8542252777299
21,0.904636542931605,0.989689723180954,41.5834237869481,89.4339570127439
22,0.829250898077059,1.18799306191449,42.5214832061304,72.6843267281996
23,1.05642917517785,0.993889554131154,52.0455673680582,73.024328344477
24,0.889532119461858,1.0886895118687,43.3253203285677,93.462612961994
27,1.79525639031583,2.81802311766697,22.9889963742341,57.0748740787842
29,1.92788353484025,2.30175130935262,38.4270127191242,56.8370221713745
37,0.736649762605721,1.10891207052057,18.7194786574828,39.6370342196325
38,0.641985603185678,1.22323570954512,14.9024851132032,38.2107956642228
41,1.02170188726042,0.954457422198543,38.5220553536513,49.8591561900558
45,1.77174617874151,2.26275664562294,23.5098525772081,33.7387691146131
47,1.34102926020405,2.29047663650522,27.3950846115178,59.7945992115712
48,0.931207909062786,2.88587614869606,19.0944114263361,41.1170832501089
52,0,0,22.2117697903658,45.4558812892542
53,2.0016408717449,2.39642117584476,36.4757865366843,40.8739980031058
54,1.91312538782948,2.05777443929107,27.9801333060447,51.0240773220249
55,1.70806876987525,2.89853594872057,26.4896692058342,67.6086198691266
60,1.05332746273682,1.27639502207949,37.5973101863795,62.0296436087258
65,1.89368980660764,2.09632471969261,33.1037997667068,60.7425880035396
66,1.99430236495669,4.00627240691619,37.2622409095652,65.7690411392883
70,0.983584517218853,0.91240786808227,30.8654973147454,43.6193951784995
73,0.989517777419181,0.784391641116669,36.942620174695,45.6097606394187
74,0.796527889839169,1.13959711688451,31.3161476376573,60.7711354407483
76,0.803022968102845,1.02337152385563,28.3036515995001,49.1833979335293
77,4.11554261247128,4.40592022005066,39.0064118143976,63.5577297798562
78,2.87872739082136,4.53086877147124,41.8496522977499,59.8787098158
79,2.83748709990257,3.38020091506289,32.7448936878342,58.6304716295326
80,2.83839182145345,4.02329000683808,31.4832770426775,46.0372304144241
82,0.948229447090495,1.40077310692345,37.938682024621,82.5976589539753
86,1.85249477428645,3.72210135532487,29.9242783952862,64.0982266616302
90,1.48583165115688,2.65123979706344,20.2164880982304,54.3987709939518
91,1.51813976656449,2.9445485048078,24.536624054427,49.739971042401
92,1.71080429858764,3.08175757040719,25.1533521007453,65.114987035796
94,0.750290525647733,1.03160511668196,31.7265220340029,47.7428088863746
95,0.534588632835616,0.712156622269488,23.0959538595002,42.928459644447
96,0.718268381375484,1.14035068911397,37.0785607487727,58.1676953860094
97,0,0,23.9839769941779,34.4924930693603
98,0,0,25.9393726616269,48.8966090347638
99,0,0,25.757544654254,66.9712414893674
100,0,0,26.4880217167011,62.6990947064316
