patient,Q9NRW7_N,Q9NRW7_C,Q9NRW7.2_N,Q9NRW7.2_C
1,6.44780848475998,15.1009723349908,0,0
2,7.66707100415881,9.69361849581509,0,0
3,7.59241746881264,9.61752192245029,0,0
4,6.1263807859039,11.522827449825,0,0
5,6.55776883954451,18.4463853404063,0,0
6,5.04391244124432,14.4932825736448,0,0
7,5.63676139844574,8.99468761614651,0,0
8,8.71673916358375,13.1671614121509,0,0
9,3.72945052081188,6.64865764137988,0,0
10,3.99883989908469,8.04765563734779,0,0
11,3.30323110662334,6.73968467487733,0,0
12,4.30755267929869,6.70601057889888,0,0
13,5.43324509477705,9.52887617705031,0,0
14,6.63080601153104,11.3511953557517,0,0
15,9.53370190497952,8.15678724074727,0,0
16,6.29436039594786,15.9229420535188,0,0
17,9.021798653232,12.9847761571531,0,0
18,6.91135886173187,6.70524336022399,0,0
19,6.31133876247155,7.83787453768033,0,0
20,7.5384460064076,14.5811901652818,0,0
21,7.4798147918951,7.89499279978407,0,0
22,8.18783535629197,12.5235363718564,0,0
23,9.15085555130354,10.6658809490884,0,0
24,7.83400032629011,12.217860502227,0,0
25,8.4512579030137,12.4420621101667,0,0
26,7.79874096014095,11.8472269605218,0,0
27,7.12559294207372,12.0532765587831,0,0
28,7.74830826038771,15.6588287386281,0,0
29,7.37553814751219,11.5792751077319,0,0
30,7.46418313467502,9.90362253699381,0,0
31,6.35957544653592,9.04951664119812,0,0
32,5.6397308720328,10.9737511206283,0,0
34,3.68827140432361,5.76395587641841,0.753661465307792,4.13083048006992
35,3.70154502227693,6.11954843857411,0.766869001130614,1.48888229586805
37,6.1488498862355,8.45200413184202,0,0
38,4.54068086745229,9.46844949880528,0,0
39,4.813942026972,9.77909265411299,0,0
40,4.32664597791221,9.64592719576007,0,0
41,7.2520563797379,8.38038708149078,0,0
42,6.7137191286807,11.7629802056167,0,0
43,5.33880194866662,10.0228207736632,0,0
44,5.37791488146949,14.1226758968562,0,0
45,4.62498433114989,8.21407713901637,0,0
46,2.96754140303752,7.93297005076259,0,0
47,5.60967459214571,10.5494858755248,0,0
48,2.69037530690888,8.0933273866535,0,0
51,8.30487403198344,14.1987390366951,0,0
52,6.29954198624688,12.1993588893362,0,0
53,6.18973176848087,11.8810635956831,0,0
54,4.54596834711438,8.90034557602783,0,0
55,4.5369345791249,11.5524820650064,0,0
56,5.19553211724949,8.39122148365585,0,0
57,8.3066167293641,11.9038720158944,0,0
58,9.75381310043816,14.1451663290227,0,0
59,9.87911214757352,14.5045262105132,0,0
60,10.4161078680048,9.63588167436303,0,0
62,5.20491566772571,14.7442039659346,0,0
63,5.50722565107701,11.8300165301751,0,0
64,5.7798652911258,9.26127354553571,0,0
65,9.29351042712492,13.284395090508,0,0
66,10.4410307638678,16.1905545691257,0,0
67,11.6457742417958,13.8321562835732,0,0
68,8.55616331399815,15.1475360199985,0,0
69,8.40269062682292,11.5748668676952,0,0
71,6.9942374026297,11.726879228456,0,0
72,5.39521351140491,10.7897413477722,0,0
73,8.19993246262178,8.53458499570901,0,0
74,6.8561705555076,12.8166657542427,0,0
75,4.10148783934532,10.3332788031502,0,0
76,6.09347831548967,9.84677125810974,0,0
77,8.92983017766965,15.2001786093388,0,0
78,8.10960687701035,12.1739538731402,0,0
79,7.01924427645535,16.0041155570998,0,0
80,6.17866928943903,10.1102845082136,0,0
81,8.91978766321554,17.1338998916993,0,0
82,8.39931829439523,11.4911621546766,0,0
83,7.47207798889363,14.8360306808222,0,0
84,8.59609471568476,18.1868113364791,0,0
85,3.44380324951158,8.65275378316933,0,0
86,4.96187344177593,12.0094007378276,0,0
87,1.12473966725499,4.63461820376312,0,0
88,3.02453746411971,7.35285482132587,0,0
89,5.3559509418007,12.9514955095617,0,0
90,5.90979814793684,13.2689869391464,0,0
91,6.03311769897066,10.6737695940131,0,0
92,5.83148699216988,11.274485765776,0,0
93,8.52457791371545,9.33162171041144,0,0
94,7.50591656797303,9.83567134600314,0,0
95,5.68282274668182,10.5482948810906,0,0
96,8.00744358889465,11.5771728370049,0,0
97,10.3951453067356,8.62841057882383,0,0
98,7.7204565934287,9.36926623309051,0,0
99,7.87078049429185,14.4532129211819,0,0
100,8.32754437178091,9.46863509993426,0,0
