patient,Q9UGP5_N,Q9UGP5_C,Q9UGP5.2_N,Q9UGP5.2_C
13,0.657373978778942,1.71032068883691,0,0
14,0.813361469880335,1.70607478219601,0,0
15,0.798155869690498,1.06040035255432,0,0
16,0.689818298925387,1.81334960507136,0,0
17,1.33299865747169,1.42225384112268,0,0
18,0.985754282894812,0.72049019495347,0,0
19,0.609427532157569,0.918409849797473,0,0
20,0.918031187965438,1.42935088182308,0,0
21,1.22068115468262,2.65910336904327,0,0
22,1.71954345260991,3.4169418689772,0,0
23,1.67439950707473,1.99660024380369,0,0
24,1.63000629175823,4.1468865593484,0,0
33,1.13675734623627,2.30507086842691,0,0
34,1.2996186958188,2.70263690265243,0,0
35,1.34441957308723,1.96562902724499,0,0
36,0.872051032862956,2.27147842928599,0,0
37,1.17752774232984,1.55928951226789,0,0
38,1.10064048329497,1.97188387687785,0,0
39,1.42360162695439,2.46794323676052,0,0
40,0.899449539109218,2.05966005501609,0,0
41,1.33127179194055,1.21255787367819,0,0
42,1.03921691911975,1.90229779937125,0,0
43,0.704224064018291,2.52213203772506,0,0
44,0.659354101171763,1.94332666476136,0,0
45,3.03608352422359,4.98328017743941,0,0
46,1.83295673223456,4.45620964586236,0,0
47,2.63895766124989,5.13259214016441,0,0
48,1.41800124650932,3.45242058479402,0,0
49,1.69329492577647,3.94828061403121,0.343079213946697,0.728920343423215
50,2.37714590141379,2.70083297193925,1.4528394479633,0.699906422225804
51,2.89179556724967,3.88083272463883,5.70230239814095,1.49574329379332
52,2.35513372168719,3.58779212732707,1.93737024804124,0.837768855680941
53,1.5684300678574,1.66195415721612,0,0
54,1.40011906657031,2.3813625570077,0,0
55,1.58792256559258,2.56621476662431,0,0
56,1.33144706475918,2.43811337026227,0,0
61,1.5690125078693,2.17130490694313,0,0
62,1.1446970728452,2.18789358256842,0,0
63,1.51554257012868,2.33833913354519,0,0
64,1.86976219437434,2.56208634747764,0,0
65,0.801456321760369,1.4816285846896,0,0
66,0.728706430185578,1.22964839796998,0,0
67,0.867203847002519,1.08477710059577,0,0
68,0.732946046094029,1.17669124304747,0,0
73,1.04665112371117,1.75025734905435,0,0
74,0.796179548957528,1.02278582437944,0,0
75,0.43567052643879,1.39201633679619,0,0
76,0.672841189203025,1.20452711763495,0,0
77,1.74811493337379,3.03374258221958,0,0
78,1.79165683093405,2.52230136907877,0,0
79,2.10913441589991,2.67569926769504,0,0
80,1.37905932166274,2.7679199977886,0,0
81,1.75446890509025,3.25969046556609,0,0
82,1.63642709301699,2.33699002787713,0,0
83,1.55573234915266,2.77106975807483,0,0
84,1.91032288222156,2.80516531336329,0,0
89,0.472952817762373,1.8632041293484,0,0
90,0.410350262566202,1.23531110795716,0,0
91,0.580521546862278,0.996031004972449,0,0
92,0.782728646732053,1.6226342274777,0,0
93,0.804086664095531,1.11716449381666,0,0
94,0.845594887524825,0.83686504060352,0,0
95,0.705174831224161,1.00094795612729,0,0
96,1.01357055064356,1.37727572547479,0,0
97,0.695937273470908,1.05273098485705,0,0
98,0.644586245652304,1.30354067049286,0,0
99,0.786366024460154,1.62305891585255,0,0
100,0.880123298330086,1.70183949935824,0,0
