patient,Q9ULZ3_N,Q9ULZ3_C,Q9ULZ3.2_N,Q9ULZ3.2_C
1,0.379660533401199,1.60163978804005,0.466772084537023,1.2402371902083
2,0.567443496528661,0.533835622433779,0.745166489280827,0.930892504181238
3,0.654524411217862,0.675354063565291,0.86873447873904,0.792892402817901
4,0.403437135785019,1.27113399220955,0.536402615174092,0.910273174192894
5,0.580826158459901,1.32879777582429,0,0
6,0.492498454265177,2.51497575194216,0,0
7,0.525596106851286,0.966225168348398,0,0
8,0.627719757224996,0.815874591484368,0,0
9,0.868887443418755,1.2514984377042,0.587628895176113,1.20327275507863
10,0.784614059474166,1.02293248268406,0.815484130423085,0.694993160519631
11,0.822533889344311,1.56651340723052,0.561434959798582,1.33158027397571
12,1.01515516032838,1.2789514797258,0.754455574530511,1.05913955655245
13,2.15797940933899,2.580415187382,0,0
14,1.65828108325495,5.11188001119563,0,0
15,2.15059724568041,5.3623054193942,0,0
16,1.66553639998562,1.90747052148597,0,0
17,2.19225851151735,1.98580865383468,0.872253289126985,1.22803609984371
18,1.29584248205117,1.56790445374952,0.567777546909019,0.684451591338206
19,1.20844050525964,1.65215409464035,0.546878905320722,1.04409191788701
20,1.48474012167932,2.2044769191948,0.76707048623972,1.11686074699093
21,0,0,1.40536289053992,1.22486548405573
22,0,0,1.54370524538236,1.62555224811705
23,0,0,1.67635773039805,1.7637144416748
24,0,0,1.7256923436832,1.13062499831939
25,0,0,2.41372447349002,1.94492630507158
26,0,0,3.14172251723017,2.08534719630631
27,0,0,2.87411189410545,2.6304402957181
28,0,0,2.6557768356399,2.37495682824974
29,0,0,1.29417431767165,0.698256245243211
30,0,0,0.902305417200551,0.641301939325042
31,0,0,0.898163758803071,0.458453356968757
32,0,0,2.61328143816414,0.6881993082785
34,1.37249819056834,1.45192014684422,0.85553907726063,1.13620461979156
38,0,0,1.24041029924666,1.20914851374054
41,1.29021241106901,1.40590903393,1.11338528431137,1.58720420113998
42,1.20170865172822,1.48980667343749,1.01889343116929,1.87460273100096
43,1.05218819472336,1.36308401531877,0.700454300254122,0.773521899352021
44,0.91995635634304,1.53296426387784,0.549289952750174,1.24338404944659
45,0.756423400889156,0.933039304938086,2.29748027752147,2.58873393993713
46,0.569539777799383,1.57831378545355,2.02761193543248,5.20301257880745
47,0.821093149256238,1.87213300218312,2.61376019712451,4.98656068745584
48,0.618482247814674,0.883453390017765,2.12228049651248,3.25791420453952
51,0,0,0.788882647042301,1.35114038537161
52,0,0,1.08933767765856,1.26472670074715
53,2.09594601336689,2.28852226288263,1.10011271404472,0.566444058501824
54,1.34196502175164,2.17332621472442,0.948173932948828,1.08753128872213
55,1.33023097660567,2.76914898410187,1.25096416539355,1.4418440316296
56,1.32915976556,2.24131960117507,0.79342227707252,1.02270080765958
57,0.85983279131584,1.53147413908317,1.08336573119313,3.13476690115839
58,1.03377585720438,1.19273548061359,2.03451450425586,1.99476110062883
59,1.00695712864377,1.48791969231226,1.51409071860083,2.04259995446614
60,0.833066037035387,0.73215500215322,1.56613654870425,1.48777584141665
61,1.77826126938638,1.81623120628304,0,0
62,1.50065453618441,4.04976976482973,0,0
63,1.68001548626013,3.2771180634427,0,0
64,1.6138486021281,2.56885020256082,0,0
65,0.870589472476626,1.15012141259249,1.11802620370746,1.34045755080518
66,0.880903806810577,0.92935029922946,0.994215714111873,1.18151137792561
67,1.05347890097704,1.32504158620294,1.28035938830974,1.12094268446031
68,1.00396741936101,1.092990573794,1.09142092240295,1.02554658662232
73,0,0,1.61764608586754,1.57556295928735
74,0,0,1.12255854067721,1.50659010892937
75,0,0,0.686084922378961,1.25460646014981
76,0,0,1.06546631695848,2.29796082323197
77,0,0,1.106458107112,0.641843746780061
78,0,0,0.931444038456966,0.987730547607536
79,0,0,0.827308250176353,0.924350265917395
80,0,0,0.60083460809879,0.66192427496889
81,0,0,2.4564303446842,2.0754249475115
82,0,0,2.46883952811245,2.31049136370386
83,0,0,1.79491098502669,2.87433428893251
84,0,0,1.81676321188452,2.24081187181842
89,0.609410666318534,2.04172056793142,1.30025242634912,2.75653037653159
90,0.703829857938024,1.11772431827263,1.81056688746078,2.15653012091931
91,0.760876187311346,1.41846766121918,1.80781929451265,2.26265020724773
92,1.05950699628526,1.54981465877038,1.78110623453469,2.8713161788669
93,0.819384833775551,0.867506323626785,2.07916041182688,1.5322695126462
94,0.568611946057439,0.829035807685529,1.84717903504306,2.04306734154406
95,0.472780061640475,0.827573394560966,1.31639342200543,1.50729549043628
96,0.861108861651908,1.45310989058101,1.66507036903376,2.52189033898677
