patient,Q8WZA1_N,Q8WZA1_C,Q8WZA1.2_N,Q8WZA1.2_C
13,0.724601878568359,1.08644606789858,0,0
14,1.05062557554178,1.56940757566456,0,0
15,1.14915341641599,1.37647492172632,0,0
16,0.861978021978022,2.23160660568482,0,0
45,0,0,0.477624832954782,1.01895804433875
46,0,0,0.393898466994914,1.74042062366935
47,0,0,0.755244584686209,1.9956199854677
48,0,0,0.335464398408561,1.18223807563909
