patient,Q5T200_N,Q5T200_C,Q5T200.2_N,Q5T200.2_C
1,3.78547417871774,5.09707093055236,0,0
2,4.5279420043044,5.02041714414678,0,0
3,4.27539562628087,4.27265610892199,0,0
4,3.33818718221521,4.59723697760624,0,0
5,2.44677245629468,4.60794611188285,0.649067003260755,1.49894603976018
6,2.1768093859832,5.45426495042429,0.33884674450405,1.12163248132955
7,2.00520877538839,5.15511200151114,0.415336909645524,1.08994214789103
8,3.65190268070275,4.7415142216793,0.704638687283055,0.83598190806774
9,2.17492674416245,3.22204382715363,0,0
10,2.89275494705289,3.23559927089319,0,0
11,2.84581925510888,3.7827537471448,0,0
12,2.4390074169386,3.96727889541093,0,0
13,4.08615906584731,4.74024903141979,0,0
14,4.00468486373307,6.12619411515478,0,0
15,6.1500333528307,4.48810528158629,0,0
16,4.21589170711324,4.83106725134148,0,0
17,4.23688719090732,5.88044950020375,0,0
18,3.85402059129501,3.61558798156736,0,0
19,3.77819801295187,4.07943528711336,0,0
20,3.53176520083063,5.08731770390561,0,0
21,0.598259881503125,1.11990098206314,0,0
22,0.725592078565051,1.01928414901388,0,0
23,0.75657982306631,0.882444606768931,0,0
24,0.76791331872413,1.38686794903011,0,0
25,3.25289558786306,5.37202295533917,0,0
26,3.77181549374349,6.43675750085867,0,0
27,3.43647394426552,8.77666700317395,0,0
28,3.17718395010529,6.07002184815948,0,0
29,2.72699220793288,3.88562054111758,0,0
30,2.64034827061149,5.09113481566117,0,0
31,2.79072045378776,4.54822410651485,0,0
32,2.55097891477044,3.78702421104078,0,0
33,2.87684305471736,5.36294473122046,0,0
34,3.2050707046435,4.80706159049863,0,0
35,3.22201977163659,4.91047671908242,0,0
36,2.16409328356199,4.17904487980858,0,0
37,2.0514207011778,2.01148706790073,0,0
38,2.40511661842542,2.09389648647937,0,0
39,1.88765174295997,2.24287859988026,0,0
40,1.79804362265135,3.01487602665412,0,0
41,3.51642402660428,4.37546470811475,0,0
42,3.63745823382159,5.19617856515223,0,0
43,2.72938997121415,6.96333966002331,0,0
44,2.87257278339839,5.08729125172739,0,0
45,3.23760243676422,3.57258214436302,0,0
46,2.54363459454794,7.06088376514128,0,0
47,3.70603327422527,5.16598454866072,0,0
50,2.60165178978291,3.95142192280478,0.738552342898325,0.608049736130306
51,5.12343037969179,5.71591143306988,1.11191997701118,1.38098040020617
52,3.1419813049,6.60034110905956,0.727660020890634,1.43243156948873
53,4.84115253353389,4.57144400444019,0.76413431746904,0.999715750277143
54,3.85020897103913,6.06751511937212,0.62479131332847,1.2041860509186
55,3.82515437835489,5.40859732406465,0.750809637960603,1.74058422793038
56,4.3655353157518,3.66528274933664,0.911759411034574,1.1701045091481
57,4.59962750727192,4.9191922814847,0,0
58,4.47338184290637,5.0860127081702,0,0
59,4.17278608915328,5.17360839081355,0,0
60,5.06944618600136,7.71889676114119,0,0
61,1.53698238522083,2.86541039740242,0.856239405009192,1.38410870759019
62,1.49724379163097,3.77251895063607,0.598548337034119,2.31549196571401
63,1.51528832594107,3.28098693688639,0.96209082443951,1.76215588663658
64,1.66688647050298,2.76961803449392,0.623815151732206,1.33489124465774
65,2.95051919335099,3.80812578979392,0.902826614932963,1.11527650709318
66,3.48980468886766,4.66803176427685,0.888926856332418,1.49482479249567
67,3.50591571637553,4.74992318272038,1.05424690351003,1.41709563754074
68,2.86843160905961,3.39184234783374,0.933925625452394,1.4547862861594
69,1.22178181738996,2.46278994821309,0.77836730894536,1.14770082844643
70,1.43228450031229,2.62583839558975,1.34928945980328,1.46999984486022
71,1.05626940138429,1.97989355087353,0.78560070123181,1.57847357969531
73,4.71444134202962,5.79092307094185,1.04299942539743,1.13938900593756
74,4.34966850095106,6.11323908297525,0.578856677702684,1.55769283388513
75,3.21667172619463,4.57442666244896,0.306733110788847,1.44214299395299
76,3.6946775190385,4.95221071816961,0.698614113333516,1.25714832954825
77,2.28274824058473,2.22032611173398,1.1803737257075,1.11957153061974
78,1.98028331901489,4.38347003703766,1.40293345973336,1.52671090667539
79,1.70602198436139,3.75429731418564,1.24628978095855,1.53671497907056
80,1.09238515469145,3.20146180110006,1.13528697033828,1.05556482785785
81,4.64395743957801,10.5517650129939,0,0
82,4.1484550312905,10.3651685081471,0,0
83,3.77994589339072,8.43285427839977,0,0
84,5.15145209873784,6.81554446681814,0,0
85,3.57702738172217,6.4153037643834,0,0
86,4.51853787562348,9.14718681415146,0,0
87,2.32689484116353,4.9805473040666,0,0
88,3.12066697230388,10.9330049605854,0,0
89,1.25864476868387,2.91035014464729,0,0
90,2.01474903148843,3.02662373280491,0,0
91,1.19226158953152,1.94555418881794,0,0
92,1.55008888455068,3.12432422129599,0,0
93,2.17760465900937,3.05623552559595,0,0
94,2.24003329830677,3.20815003749507,0,0
95,1.89949900546355,3.7477636734895,0,0
96,2.01653193359132,3.83066980221147,0,0
97,2.58287575834447,2.46396377259516,0,0
98,2.39482529053004,3.94760320471421,0,0
99,2.57509620397482,6.524367809624,0,0
100,2.5088671601692,4.26372424605623,0,0
