patient,Q5SW79_N,Q5SW79_C,Q5SW79.2_N,Q5SW79.2_C
1,1.35259453452602,2.29398321799554,0,0
2,1.91496223865146,2.22006840336643,0,0
3,1.61110041887309,1.93585729103192,0,0
4,1.50650333730144,2.281144855623,0,0
5,1.08622163821113,1.64740030060571,0.747187760187542,1.23657653721014
6,1.3451385576326,1.24058957120185,0.51201069979746,1.32285989288393
7,1.86044334842362,1.08015852301194,0.703954555385624,1.02144683464325
8,1.68152594899303,1.31748703225361,1.05723387796798,1.1361065019575
9,2.96302932222484,3.91400116043489,0,0
10,2.73878418415453,4.27715453244638,0,0
13,0.880082926829268,0.925868292682927,0,0
14,0.575029268292683,0.932639024390244,0,0
15,0.952687804878049,1.19870243902439,0,0
16,0.788458536585366,0.68330243902439,0,0
17,3.76292645147458,5.56854588329285,0,0
18,2.90243681564172,3.13383043503643,0,0
19,2.95561255598817,4.7177730651523,0,0
20,3.03212888554404,6.68732149119624,0,0
21,0.834196324644633,1.25611794998413,0.709985872750105,1.9522289660946
22,1.12911361151282,0.994261225353603,0.748234093763081,1.16308471117622
23,1.05970159782724,0.834319777080173,0.811361971536208,1.23228207408958
24,1.00524496490424,1.45960989030369,0.843599570950188,1.30289216199247
25,1.13468842163973,2.23629460703751,0,0
26,1.86637174061262,2.77441655747553,0,0
27,1.29943328041614,2.08187799392738,0,0
28,1.5812680346794,2.5775235670233,0,0
29,2.56415478047146,2.36580319215911,0,0
30,1.95699470919879,2.85639305520818,0,0
31,1.64140051652827,1.9033490268576,0,0
32,2.06441653927303,2.84147825668803,0,0
33,0.511508592865324,2.00332108213375,0,0
34,0.753447687522686,1.30004716458266,0,0
35,1.04709720468342,1.12540779976135,0,0
36,0.650031189482081,1.13392785340291,0,0
37,0.881537780123264,1.50751550219575,0,0
38,0.878837853629116,1.48128899108506,0,0
39,0.809539740279322,0.875803381269201,0,0
40,0.434251371166858,2.41772527658933,0,0
41,3.35997530404634,3.71382898656917,0,0
42,2.77503241320751,4.23649146770061,0,0
43,2.15542202229636,6.89188803561304,0,0
44,2.29638696502973,4.27330749435273,0,0
45,1.47869014804191,2.20485767919889,0,0
46,0.982528639894728,4.1535586660825,0,0
47,1.7313869681333,2.98807318335519,0,0
48,0.668730381294163,2.05378648982691,0,0
53,2.72529854968717,3.13813154992823,1.13607081526741,1.02140397149932
55,2.00842532691064,5.230754005654,0.558650297435508,1.4289997248603
56,2.35665347637245,2.73266433531906,0.566727070900656,0.962590487756283
57,3.35289306961203,6.17353863189306,0,0
58,4.43052121983901,4.70300299127017,0,0
59,3.36776658117228,6.73326943785393,0,0
60,3.91992395441963,6.93384313394855,0,0
61,2.14617779264884,3.08459701763855,0,0
62,3.31978815346115,4.67719868154736,0,0
63,2.44189072377502,4.38032262385803,0,0
64,2.53835630707101,4.7392452602077,0,0
65,4.03402775419136,5.30089902123653,0,0
66,3.29202793774102,6.6716903319949,0,0
67,3.28069450474708,4.56270070151223,0,0
68,2.622780980429,3.44782340971543,0,0
69,1.69304797296603,3.17525638218367,0,0
70,1.77115054871323,3.68103604158031,0,0
71,1.57498350891666,4.2964046267046,0,0
72,0.648716837939539,2.08523367629878,0,0
73,4.44134470532346,4.85731930195505,0,0
74,3.30697145231505,9.05093386270742,0,0
75,2.59226536554812,6.44709883662302,0,0
76,3.8375999629057,7.97711957280382,0,0
77,2.10775837274705,2.14499395008997,0.990881983291851,1.06986988343725
78,2.4601440855466,2.92219305367495,1.09278814164962,1.23851006678331
79,2.26338400430996,3.3598483799573,0.931553266467878,1.30868799132556
80,1.65069640069614,2.59618796570833,0.881816949653762,1.02108849404865
81,3.25930102683025,7.07476043750976,0.918006071744053,1.63425357146483
83,1.92039519581227,8.76875748008637,0.765445887357979,2.54727939160718
84,2.027464380878,4.27437378721577,0.604742661617033,1.30442993633807
85,2.56859634931021,3.88094173304644,0.551720830525829,1.25285046650537
86,2.28710754394852,4.41094882585327,0.613542683263116,1.58939134896904
88,2.00013929819141,5.75012293892891,0.572476782635594,2.1587533000669
89,0.618701555123305,2.16168248506945,0,0
90,0.389308649457026,1.48040212302189,0,0
91,0.554377999550373,0.89933728874857,0,0
92,0.697608668028581,0.795839971849434,0,0
93,0.731958075750254,0.803237076411222,0,0
94,0.607718327695666,0.766089569482168,0,0
95,0.208207666116786,0.576930553935536,0,0
96,0.54669099472892,1.61687189997723,0,0
97,1.9824658859455,2.35794112755974,0,0
98,2.33751501083347,3.97979923746184,0,0
99,2.31517551583039,3.44564180451509,0,0
100,2.31894449067376,3.39783993308931,0,0
