patient,Q9NRH1_N,Q9NRH1_C,Q9NRH1.2_N,Q9NRH1.2_C
13,0,0,0.709270205955859,1.51833154628327
14,0,0,0.878678566161377,1.4351998373718
15,0,0,1.54894789918646,1.64730009287346
16,0,0,0.911445358120847,1.6704227934582
17,1.78842522702313,3.13665735638694,0,0
18,1.48316114144612,1.42386475472897,0,0
19,1.26862793667976,1.66424241020485,0,0
20,1.6515013764296,3.31134716287181,0,0
25,0,0,1.13215262166596,1.02699434959597
26,0,0,1.06694007331349,1.29838386293213
27,0,0,0.762950361504344,1.12559896307998
28,0,0,0.932824999493691,1.98728355307127
29,0.71744951802239,1.02719403353135,0,0
30,0.605494449906892,1.40784252974224,0,0
31,0.702082826168744,1.26489325041653,0,0
32,0.40272872991233,0.963865115823219,0,0
33,0.521585062976761,0.955607297025605,0.756076948991886,2.07904458998795
34,0.648557152149489,1.15997132044232,0.987717625293355,1.46560820880608
35,0.561158417598013,1.28524628939743,0.806445534434617,1.46166825597131
36,0.582236414168293,1.1847244397138,0.288907034243329,0.971806496925124
41,0,0,1.03838668816214,1.15546982957163
42,0,0,0.64550322432059,1.70948871487794
43,0,0,0.728500690925841,1.04136918470751
44,0,0,0.369368378627361,1.11096844771994
45,2.35644251676232,2.6309580088427,0.596490493341151,0.961651214184927
46,2.22778457993005,4.07521648103045,0.406579600146901,1.10325565212909
47,2.29821055881171,4.25886683601254,0.793066678693616,1.55175668623194
48,1.89115587083036,3.77170113850794,0.426910513056756,0.728949080904856
53,1.97076440650303,2.10283325356813,0.660422258642298,1.34825428880218
54,1.48957324002485,2.66970525248383,0.616476306936671,0.889478037172156
55,1.3608010645833,3.5556430819627,0.790113809917649,2.13974315389963
56,2.03627675848251,2.67967280891012,0.558145552888884,0.95397370650944
57,0.594262846514573,1.36388729496033,0,0
58,0.751844120382279,1.65464294900968,0,0
59,0.647217000732108,1.23620372385682,0,0
60,0.682563960505748,0.817840677496587,0,0
61,0.748465403404542,1.61153529282076,1.04654164303733,2.27193058422892
62,0.437189454507479,2.04817879065666,0.469662726736861,0.836168387999743
63,0.652763434247322,2.14775641397556,0.62151810682229,1.50807774074685
64,0.630942573016628,1.50315041947574,0.65577901379767,1.28553549428845
69,0.779274950899514,1.28547351782394,1.01663391281408,0.897311048443664
70,0.966922400122941,1.0663325187916,0.893904102445598,1.11636377021724
71,0.629205627599624,1.03620348119489,0.925296676284916,1.07389146443463
72,0.669622546875554,1.10693182336322,0.604743139584582,1.30861900077914
73,0,0,1.08747319682209,1.59791332047319
74,0,0,0.704025655719401,1.51343454643777
75,0,0,0.409631925443446,1.20852401591645
76,0,0,0.572639638839789,1.91866362112615
77,1.78581846163206,2.71308897559101,1.74829395903357,2.27220533603512
78,1.76794041713141,3.51231130921926,0.790756018719545,1.52229512766494
79,1.74802413418744,3.37242363835631,1.14121409004894,1.51961210015921
80,1.05268483498083,2.47129326967318,0.740545075398166,1.12189682807717
81,0.704753640405015,1.64598279334379,0,0
82,0.684423985373414,1.76849901159175,0,0
83,0.557332318629407,1.52786104743431,0,0
84,0.690897363316597,1.06097968426621,0,0
85,0,0,0.870340884565108,1.41087361086791
86,0,0,0.977309654798894,1.17435567482601
87,0,0,0.691864134838964,0.674243689095033
88,0,0,0.651940203691864,1.5466613999438
97,0,0,0.51824869620304,1.02669159011925
98,0,0,0.72337198252979,1.34136058852659
99,0,0,0.865092146881817,2.24438218538231
100,0,0,0.91347873996779,1.51445664345336
