patient,Q8N4Y2_N,Q8N4Y2_C,Q8N4Y2.3_N,Q8N4Y2.3_C
1,1.52484991078013,2.95515932132123,0,0
2,0.96765182753555,1.77117417934448,0,0
3,1.95362608931991,2.56506104619242,0,0
4,2.16430327313869,1.38043323216588,0,0
5,1.97707042854301,5.91297943447183,0,0
6,2.52374061912154,2.99023767098942,0,0
7,1.18735229177804,1.8475564209763,0,0
8,2.1930184805039,4.0281158878782,0,0
9,2.44288095718917,4.86936800678853,0,0
10,2.12171964634213,4.563410014776,0,0
11,1.84878390669609,2.92910953651936,0,0
12,2.98891835752618,2.98255871861383,0,0
13,0.565838281032031,0.530783145120027,0,0
14,0.742278347044816,1.02602316212769,0,0
15,0.953577940281697,0.860869717407217,0,0
16,1.16497327882371,3.86862508712308,0,0
25,1.52699499419173,2.27308217824998,0,0
26,2.06567071599245,2.16967464007706,0,0
27,1.90713995991263,2.26099331578428,0,0
28,1.79463949958403,2.43178868509371,0,0
29,0.675814969150126,1.07095226696499,0,0
30,1.29878701129941,0.84069936150776,0,0
31,0.695883263882443,0.692238924089281,0,0
32,0.731476641540588,1.62314302323877,0,0
37,0.911614629403551,0.595717617129532,0,0
38,0.750582997668009,0.901519083578838,0,0
39,0.855599336223345,1.00232102519866,0,0
40,0.861736346158064,0.726762334329973,0,0
41,1.15002385758855,1.43398788768581,0,0
42,0.906446442772374,0.977473542546033,0,0
43,0.866431761179421,0.748147060622744,0,0
44,0.541919618278583,2.06380375604086,0,0
45,3.62958939430528,8.10851790055113,0.732269471311177,0.890489782561268
46,2.32990887057025,4.45324959109006,0.91547887426369,1.69349047342012
47,5.42905964511538,8.05591463711462,1.27798432841248,1.65996563886263
48,1.79435399462323,5.5807255870958,0.865023452839794,1.24588666278816
49,0.31819322350661,0.727160771555802,0,0
50,0.616259719434254,0.746449666597448,0,0
51,0.964873041692623,1.72232989548003,0,0
52,0.467608615398814,1.24450001153642,0,0
53,2.29276746101219,3.13938414586943,0,0
54,1.14987472713821,1.64719829581482,0,0
55,1.30129640869848,5.82259726614326,0,0
56,1.19651873952079,1.65297903174786,0,0
57,2.4524566859339,4.99088386043458,0,0
58,2.38922043991978,6.25173373821914,0,0
59,1.96995121977286,2.61612838211015,0,0
60,2.90912954015752,4.50308441453505,0,0
61,0,0,0.766083357537032,1.01932907348243
62,0,0,0.853485332558815,2.24753848388034
63,0,0,0.829581760092942,2.21962677897183
64,0,0,0.779378449027011,0.752860877142027
65,1.67871422775744,2.53537239510807,0,0
66,2.02481538776362,2.89658203760066,0,0
67,2.44110818479106,2.75152988082043,0,0
68,1.9946871005844,2.21749792392567,0,0
69,0.883161337945608,0.615863137022188,0,0
70,0.760193078693318,0.657251306248281,0,0
71,0.842779812131826,0.439807644989941,0,0
72,0.372073786745017,1.04274797006846,0,0
73,2.17542848250124,1.64049476424873,0,0
74,2.23360946132964,2.29294141341983,0,0
75,0.904357857048042,3.16381923774294,0,0
76,1.38283194891352,1.40622145115672,0,0
77,1.52437353861429,2.01717961368853,0,0
78,1.64102697683541,1.27449535267853,0,0
79,1.51542978147017,1.30267194170086,0,0
80,0.855081102118492,1.18508995853725,0,0
81,1.18299389986416,1.36470570278754,0,0
82,0.837061759423667,1.58529760420853,0,0
83,1.01879391309214,1.47196430479311,0,0
84,1.16023159147914,1.20194044354449,0,0
85,1.45342975594003,3.05614132478175,0,0
86,1.95165419933957,3.8241397521088,0,0
87,0.730936627360116,3.02691383621046,0,0
88,1.35744024864085,2.32013892801045,0,0
89,0.59679601411063,2.31863839691603,0,0
90,0.573120704076808,1.40530967014583,0,0
91,0.929217732843583,1.04709604684147,0,0
92,0.749227188420555,1.07850674619049,0,0
93,0.844740968289015,0.741928258295734,0,0
94,0.615237201298447,0.767765653721303,0,0
95,0.916930658218937,0.980281519880253,0,0
96,0.65494437511333,0.964367362466623,0,0
97,2.55013740774116,2.58320542423619,0,0
98,2.46370630999672,9.51707991340351,0,0
99,2.73891559354603,13.9233136316992,0,0
100,3.10288633455498,6.23687362323011,0,0
