patient,Q96PR1.2_N,Q96PR1.2_C,Q96PR1.6_N,Q96PR1.6_C
25,0,0,0.931936802111316,1.40880593433996
26,0,0,1.14022080716148,1.93781686456977
27,0,0,0.734817049427923,1.57143390927791
28,0,0,0.694213153247407,1.67147756726673
65,0.868502520105409,3.25134107132197,0,0
66,0.593627672548334,1.54499944566209,0,0
67,1.8098962108872,0.779733832521726,0,0
68,1.00535575701237,2.55925019401827,0,0
