patient,Q9BVC5_N,Q9BVC5_C,Q9BVC5.2_N,Q9BVC5.2_C
1,0,0,0.818940393037985,1.86728862404142
2,0,0,0.852268841889318,1.14214656702323
3,0,0,0.638281313600026,0.92035852097885
4,0,0,0.546404207167163,1.24582783829108
5,0,0,0.399696108378838,0.968138555708877
6,0,0,0.481440202541996,1.33551128880712
7,0,0,0.431779672677666,1.28194105367442
8,0,0,0.987193700440702,0.774734930238592
9,0,0,1.45694776094942,2.65824221455678
10,0,0,1.00455863812824,2.0658072253902
11,0,0,0.724213235456838,2.38710855524099
12,0,0,1.559992436639,1.7401511391502
17,0,0,1.47592159821294,1.74913432096874
18,0,0,0.995709178997374,0.860857751621583
19,0,0,0.479098456070657,1.75124731455313
20,0,0,1.02156903771856,1.15627016847956
21,0.648938798634326,2.20364907554991,1.31239355430368,3.08160920698586
22,0.827452070977358,1.24054089150338,1.21054076933155,1.58397494684014
23,0.850764140828529,1.12381276337548,0.902672101905693,1.03721946205242
24,0.824101090217917,1.88098502286274,1.16156315190116,2.96385129347267
29,1.22466341895483,0.914632418069088,0.682299203263655,1.44686971530187
30,1.25693976970771,0.74014171833481,0.841870624363345,2.51914632901052
31,0.779286979627989,0.948658104517272,0.800870706552465,1.66928841656435
32,1.07034986713906,1.46178476527901,0.794616861720542,1.45802751093987
33,0.466135793689411,1.34222592356926,0.338042452439691,0.995372286702982
34,0.598754538308942,1.5331436912827,0.672229580939451,1.06312399622498
35,0.618830707040461,1.20189392521615,0.518688014305346,1.21874430849214
36,0.334493019425834,0.822740202867088,0.311450072023445,1.0591668460354
41,0,0,2.30123204336841,2.99110165693916
42,0,0,2.04194052718675,2.63314138123918
43,0,0,1.49093311017609,4.6779637632348
44,0,0,0.842828794185952,4.31069921496853
49,0.611014507072404,1.51475077804673,0.309060322448422,1.3401677141686
50,0.797091998880271,0.886204284608671,0.574339902992212,1.09525293755978
51,0.955658746233266,1.51247509427127,0.8232639363301,1.35772475748053
52,0.761761267269344,1.52309934298276,0.72717840551988,1.40243288017489
53,0.844331707462431,1.30412911612592,1.26308095894148,0.826895724636314
54,0.665679597275688,1.38418789331456,0.88460172496916,1.66009323137474
55,0.621935661699659,1.7511840176704,0.887255919608957,2.13886567922162
56,0.632420945984956,1.2892038819763,0.792085798943469,1.29670533292385
57,0.833353176020509,2.25406179806494,2.10274684577262,4.6106569607298
58,0.897512520735608,1.77968267574668,2.22222167409555,3.0342305733597
59,0.769300981816161,0.968942226032018,2.14214999507075,2.17636666525689
60,0.873455246803343,1.43429292568517,1.74980535914833,5.59134967258937
61,1.21106062866934,1.40804849058643,2.42838462887973,4.41395742905868
63,0.825916530741406,1.42772463686087,2.22158657750444,3.90334670756482
64,0.913818067683062,1.49804216170046,1.93954243180885,4.54358866902244
65,0.671787072243346,1.5142718189053,1.22288655907945,2.83826523645529
66,0.904341674772305,1.88340259969935,1.74103803961803,3.44726536661838
67,0.834325758245645,1.96068617914935,1.7061645023304,3.52261048222725
68,0.82191617295959,1.11437792908303,1.36263581857092,1.98940748894327
69,0.763543307742963,1.229421424225,0,0
70,0.774788066718348,1.07176973667759,0,0
71,0.776367667775305,1.27163720023006,0,0
72,0.680637175223186,1.087794976952,0,0
73,1.93932854164973,1.88037573415086,0,0
74,1.74479241865945,2.18196469144844,0,0
75,0.997335186376975,2.31644817651916,0,0
76,1.77749471101078,2.31710525690274,0,0
77,2.06867328766636,3.49228188781446,0.723813518696069,0.859876358261425
78,1.82117313003237,2.35697106042498,0.815074704378396,0.745230105465005
79,1.6896520015532,2.96598658402213,0.615509148290189,0.834339046021093
80,1.41414117578772,2.40142757630351,0.518705057526366,0.773973314157878
81,1.05412634343238,1.44912707289792,0,0
82,0.916548169041482,1.59325973836502,0,0
83,0.782588143753343,1.81755580411419,0,0
84,0.994533871516802,1.29027865583816,0,0
89,0.614370221503779,1.50442570667133,0,0
90,0.619700292717026,1.50045873563721,0,0
91,0.781401546594434,1.13011490235484,0,0
92,0.832611298003408,1.56241862903578,0,0
93,0.791352362005287,1.22600462361729,0.668320409214876,0.882823595209069
94,0.707802123916628,1.22947694178111,0.619650734601028,0.716498359872812
95,0.432858077054148,1.3107218185,0.262561740420023,1.25486068344917
96,0.880347784439962,1.28673795510854,0.631169328993176,0.986996807721794
97,0,0,0.355347690893187,0.960218108913989
98,0,0,0.614134938928227,0.885178682024531
99,0,0,0.588135539110836,0.841850605609792
100,0,0,0.543116735517402,0.813228280093731
