patient,Q9P287_N,Q9P287_C,Q9P287.2_N,Q9P287.2_C
1,1.46496698400612,3.02992696267112,0.733891361731476,1.23903078111973
2,1.84041058364551,3.02656946428285,1.03081435769029,1.10577149457252
3,1.69002993213895,2.09833689080856,0.850750485412691,0.875570931189116
4,1.40742482771674,2.53107864595513,0.755255059786779,1.20425833649556
5,2.4701471009467,5.87664417851494,0,0
6,1.80514409550687,4.47860844433153,0,0
7,2.27779116247872,6.26753983672581,0,0
8,3.08350932039782,3.13007856106184,0,0
9,1.63033761088066,2.52884545796577,0,0
10,1.4668954864269,4.61500662311714,0,0
11,1.5470534157425,3.08663219590071,0,0
12,1.52716891048135,4.16036255471882,0,0
13,1.85909221922641,4.70189397272254,0.63326936065212,1.32982486642638
14,2.1814770814182,5.09023895520236,1.15562747838414,1.58619928716155
15,3.09680980381472,3.70827824421799,0.907374467544452,1.039436817504
16,2.39559601855989,4.66950159473652,0.905321546311095,1.35469396762135
17,2.52015484026852,3.06833018689536,1.06299121685704,1.06480557502783
18,1.90827934335136,1.94143454049026,0.816670652756587,0.733511195414622
19,1.50333198320975,2.39744560014235,0.777869778565832,1.15608428518412
20,1.93348903389148,4.52355701919971,0.973106263659231,1.68419446620758
21,5.02018859656604,26.3172035070198,0.786535695942476,2.30436055469954
22,5.3645217450387,6.82459567021253,0.818389830508475,1.09760657421674
23,6.69489598501268,9.49505543670448,1.02312018489985,1.1012583461736
24,5.33407636558515,11.372904196723,0.878225475089882,1.48206471494607
25,1.60429355880454,2.32329609797281,1.60982360470349,2.19065547940565
26,1.53480138448039,3.23359546262917,2.1877747938423,2.6877044036887
27,1.21500540407784,4.24806903330244,1.72191686409678,2.7209929542168
28,1.2576745106755,2.29788547758403,2.89393639031675,2.71255301977064
29,2.14573909801568,2.68506593211697,0,0
30,2.098828248819,4.92005410180667,0,0
31,2.05337119595211,7.86618146742337,0,0
32,2.02433841534847,3.06019020157523,0,0
33,0.567856407941639,0.703668793022191,0.313259897666038,1.9016370034168
34,0.738683960729909,1.18684823662952,0.750281333401329,1.76138167848097
35,0.604146061374453,0.690684969697774,0.783796556003196,1.33835823686403
36,0.690446003624319,0.759726251086964,0.399568225474697,1.04500314481446
37,0.714019658561821,1.41889981031212,0.89277092938127,0.889966164744059
38,0.570492996876856,0.981609856105459,0.869313797265478,1.23624329725558
39,0.537322526872449,1.22295798126114,0.659733077425355,1.4599937671897
40,0.633331417294169,1.2002490850913,0.824311422861552,1.91575812738677
41,1.47790046890342,2.57570582068356,0,0
42,1.20089207264284,3.0627437437021,0,0
43,0.846052527830368,5.39620678545214,0,0
44,0.807632559328443,2.94147007636717,0,0
45,1.81891909767908,4.67397439668804,0.635205543059417,0.969914791743302
46,1.48014632639661,17.5208205986916,0.695749838689252,0.924262342533574
47,1.89082391747848,5.22333620326582,0.824352194127686,1.37081571980775
48,1.17705159447831,3.83607091780495,0.434715882023048,1.38644929415241
49,1.26874385428781,4.55088204957616,0,0
51,2.77024936885219,3.39747979353415,0,0
52,1.66127663383925,4.32489955427155,0,0
53,3.42007990111793,8.89318057153472,0.979895552817784,1.17781460443446
54,2.72548456949421,9.98827939917403,0.836137125994411,0.774381003259886
55,2.87529032636727,12.3239721559473,0.796233505231445,2.26930219542598
56,3.09388024217827,5.02081691786739,0.849511017106224,1.17439481325614
