patient,Q8IWW6_N,Q8IWW6_C,Q8IWW6.3_N,Q8IWW6.3_C
9,0,0,0.880383252894606,1.57651030645967
10,0,0,0.768807208578018,1.34184636599225
11,0,0,0.718984332279309,1.03426927557595
12,0,0,0.821692304034616,1.31565583319465
13,0,0,0.745005538642684,1.4434167615595
14,0,0,1.01193325741907,1.85995367680664
15,0,0,1.11285274956814,1.64103785642909
16,0,0,0.757136328073559,1.13223799896199
17,0.849179342662,1.39036651425694,0,0
18,0.938367456327711,1.29166023730438,0,0
19,0.622422908562286,1.00903900660262,0,0
20,0.748290060341257,0.983530004141863,0,0
25,0,0,0.820625696858398,1.21652521807569
26,0,0,0.841883649242474,1.35441726241228
27,0,0,0.863970617170591,1.35660523381649
28,0,0,0.741037581163508,2.55035088869942
29,0,0,0.70582308689193,1.1104956222145
30,0,0,0.891780194076556,1.49655466700382
31,0,0,0.921081328823846,1.22104655940829
32,0,0,0.613150741220723,1.05135600720675
37,0.517298397838414,0.591758952696274,0,0
38,0.891766563915211,2.03387943829204,0,0
39,0.327203447882178,1.37869619819614,0,0
40,0.30509856528523,1.12618449594703,0,0
53,1.22612412674253,1.91602145490505,0.989512085212155,0.95507188555716
55,0.937262175476333,1.64545632687286,0.81962164287703,1.36753051799507
56,1.20755387651125,0.781718670962509,0.87712147783732,1.41221753094853
57,0,0,0.885875442556304,1.54048857318501
58,0,0,1.00006282168066,1.73758037809677
59,0,0,0.998375610828663,1.6040865503269
60,0,0,1.08252076480909,1.13032357652803
65,1.17082529890638,2.21796431494012,0,0
66,1.2402119161739,1.42593789222028,0,0
67,1.49054303519561,0.772050086007443,0,0
68,1.24239967832317,1.96556876034948,0,0
69,1.39075995003942,2.26119019567894,0.730484100075689,1.06659097742802
70,1.41203305902258,2.74665379266359,0.896145033023318,1.2761724055699
71,1.80330678808387,1.63591226780289,0.733091749872987,1.13025806919863
72,0.450393749612451,1.41255569630345,0.605757566331768,1.14622538803695
77,1.06840368048122,0.480108664253794,0.881681252397057,1.40459712004463
78,0.479932371582471,0.99131068291108,1.04668595934591,2.09562079425404
79,1.35874496610083,2.2319289391854,0.832663610055437,1.70167532512813
80,0.411751711950519,0.980476117653056,0.846819322896691,1.64546215264461
81,0.944929875571899,3.49974344721426,0,0
82,0.838859195279429,1.20732671997263,0,0
83,0.535810493008937,1.47510369008423,0,0
84,0.900955659126865,1.69374011202805,0,0
89,0,0,0.617903127411412,1.70828737763664
90,0,0,0.776580572961486,1.39155869602983
91,0,0,0.782806307343619,1.22696256075242
92,0,0,0.856319261800009,2.02956516820795
93,0.827679658689513,1.59974608987037,0,0
94,0.699158814740606,1.02820647902651,0,0
95,0.419792899152769,4.46483690160551,0,0
96,0.449630793944157,1.52690670098196,0,0
97,0.250587234368437,1.97581180738952,0,0
98,0.912038693449899,0.691212245586618,0,0
99,0.774843035214916,2.81744460013617,0,0
100,0.41550944899886,1.29144893424291,0,0
