patient,Q9Y223.2_N,Q9Y223.2_C,Q9Y223.3_N,Q9Y223.3_C
81,1.75211252838275,0.707814143373427,0,0
82,0.945849156135425,0.766735582546698,0,0
83,0.758809710258418,0.733246396660583,0,0
84,0.963057374927507,0.929519041424888,0,0
85,1.45033071835102,0.414109367789571,0,0
86,1.81327488078757,0.750876788186433,0,0
87,1.81747423473312,0.654733887094293,0,0
88,1.19678510998308,0.672346562067374,0,0
89,0,0,0.530738951368066,1.2207046793733
90,0,0,0.790796133883186,1.11108252878553
91,0,0,0.718902653065053,0.945344341101474
92,0,0,0.67910265788832,1.09992738302907
